embedding_index,dataset,method,scenario,split,morph_image_path,morph_filename,morph_stem,accomplice_stem,criminal_stem,accomplice_id,criminal_id,accomplice_image_path,criminal_image_path,morph_cache_index,accomplice_cache_index,criminal_cache_index
0,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_03-vs-010_03.jpg,001_03-vs-010_03.jpg,001_03-vs-010_03,001_03,010_03,001,010,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/010_03.jpg,0,0,16
1,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_03-vs-030_03.jpg,001_03-vs-030_03.jpg,001_03-vs-030_03,001_03,030_03,001,030,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/030_03.jpg,2,0,48
2,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_03-vs-032_03.jpg,001_03-vs-032_03.jpg,001_03-vs-032_03,001_03,032_03,001,032,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/032_03.jpg,3,0,52
3,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_03-vs-090_03.jpg,001_03-vs-090_03.jpg,001_03-vs-090_03,001_03,090_03,001,090,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/090_03.jpg,4,0,99
4,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_03-vs-113_03.jpg,001_03-vs-113_03.jpg,001_03-vs-113_03,001_03,113_03,001,113,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/113_03.jpg,6,0,127
5,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_03-vs-122_03.jpg,001_03-vs-122_03.jpg,001_03-vs-122_03,001_03,122_03,001,122,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/122_03.jpg,7,0,141
6,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_03-vs-129_03.jpg,001_03-vs-129_03.jpg,001_03-vs-129_03,001_03,129_03,001,129,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/129_03.jpg,8,0,154
7,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_08-vs-010_08.jpg,001_08-vs-010_08.jpg,001_08-vs-010_08,001_08,010_08,001,010,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/010_08.jpg,9,1,17
8,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_08-vs-032_08.jpg,001_08-vs-032_08.jpg,001_08-vs-032_08,001_08,032_08,001,032,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/032_08.jpg,11,1,53
9,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_08-vs-039_08.jpg,001_08-vs-039_08.jpg,001_08-vs-039_08,001_08,039_08,001,039,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/039_08.jpg,12,1,64
10,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_08-vs-087_08.jpg,001_08-vs-087_08.jpg,001_08-vs-087_08,001_08,087_08,001,087,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/087_08.jpg,13,1,98
11,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_08-vs-090_08.jpg,001_08-vs-090_08.jpg,001_08-vs-090_08,001_08,090_08,001,090,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/090_08.jpg,14,1,100
12,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_08-vs-107_08.jpg,001_08-vs-107_08.jpg,001_08-vs-107_08,001_08,107_08,001,107,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/107_08.jpg,16,1,122
13,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/001_08-vs-122_08.jpg,001_08-vs-122_08.jpg,001_08-vs-122_08,001_08,122_08,001,122,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/122_08.jpg,17,1,142
14,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-011_03.jpg,002_03-vs-011_03.jpg,002_03-vs-011_03,002_03,011_03,002,011,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/011_03.jpg,18,2,18
15,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-020_03.jpg,002_03-vs-020_03.jpg,002_03-vs-020_03,002_03,020_03,002,020,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/020_03.jpg,19,2,32
16,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-027_03.jpg,002_03-vs-027_03.jpg,002_03-vs-027_03,002_03,027_03,002,027,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/027_03.jpg,20,2,44
17,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-032_03.jpg,002_03-vs-032_03.jpg,002_03-vs-032_03,002_03,032_03,002,032,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/032_03.jpg,21,2,52
18,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-039_03.jpg,002_03-vs-039_03.jpg,002_03-vs-039_03,002_03,039_03,002,039,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/039_03.jpg,22,2,63
19,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-094_03.jpg,002_03-vs-094_03.jpg,002_03-vs-094_03,002_03,094_03,002,094,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/094_03.jpg,23,2,104
20,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-097_03.jpg,002_03-vs-097_03.jpg,002_03-vs-097_03,002_03,097_03,002,097,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/097_03.jpg,24,2,108
21,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-100_03.jpg,002_03-vs-100_03.jpg,002_03-vs-100_03,002_03,100_03,002,100,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/100_03.jpg,25,2,112
22,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-102_03.jpg,002_03-vs-102_03.jpg,002_03-vs-102_03,002_03,102_03,002,102,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/102_03.jpg,26,2,115
23,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-118_03.jpg,002_03-vs-118_03.jpg,002_03-vs-118_03,002_03,118_03,002,118,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/118_03.jpg,27,2,133
24,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-124_03.jpg,002_03-vs-124_03.jpg,002_03-vs-124_03,002_03,124_03,002,124,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/124_03.jpg,28,2,145
25,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-136_03.jpg,002_03-vs-136_03.jpg,002_03-vs-136_03,002_03,136_03,002,136,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/136_03.jpg,29,2,166
26,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_03-vs-144_03.jpg,002_03-vs-144_03.jpg,002_03-vs-144_03,002_03,144_03,002,144,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/144_03.jpg,30,2,179
27,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-003_08.jpg,002_08-vs-003_08.jpg,002_08-vs-003_08,002_08,003_08,002,003,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_08.jpg,31,3,5
28,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-011_08.jpg,002_08-vs-011_08.jpg,002_08-vs-011_08,002_08,011_08,002,011,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/011_08.jpg,32,3,19
29,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-025_08.jpg,002_08-vs-025_08.jpg,002_08-vs-025_08,002_08,025_08,002,025,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/025_08.jpg,33,3,41
30,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-030_08.jpg,002_08-vs-030_08.jpg,002_08-vs-030_08,002_08,030_08,002,030,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/030_08.jpg,35,3,49
31,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-032_08.jpg,002_08-vs-032_08.jpg,002_08-vs-032_08,002_08,032_08,002,032,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/032_08.jpg,36,3,53
32,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-039_08.jpg,002_08-vs-039_08.jpg,002_08-vs-039_08,002_08,039_08,002,039,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/039_08.jpg,37,3,64
33,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-081_08.jpg,002_08-vs-081_08.jpg,002_08-vs-081_08,002_08,081_08,002,081,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/081_08.jpg,38,3,91
34,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-097_08.jpg,002_08-vs-097_08.jpg,002_08-vs-097_08,002_08,097_08,002,097,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/097_08.jpg,40,3,109
35,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-124_08.jpg,002_08-vs-124_08.jpg,002_08-vs-124_08,002_08,124_08,002,124,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/124_08.jpg,43,3,146
36,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-135_08.jpg,002_08-vs-135_08.jpg,002_08-vs-135_08,002_08,135_08,002,135,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/135_08.jpg,44,3,165
37,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-136_08.jpg,002_08-vs-136_08.jpg,002_08-vs-136_08,002_08,136_08,002,136,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/136_08.jpg,45,3,167
38,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-139_08.jpg,002_08-vs-139_08.jpg,002_08-vs-139_08,002_08,139_08,002,139,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/139_08.jpg,46,3,171
39,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/002_08-vs-144_08.jpg,002_08-vs-144_08.jpg,002_08-vs-144_08,002_08,144_08,002,144,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/002_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/144_08.jpg,47,3,180
40,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_03-vs-011_03.jpg,003_03-vs-011_03.jpg,003_03-vs-011_03,003_03,011_03,003,011,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/011_03.jpg,48,4,18
41,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_03-vs-016_03.jpg,003_03-vs-016_03.jpg,003_03-vs-016_03,003_03,016_03,003,016,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/016_03.jpg,50,4,25
42,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_03-vs-027_03.jpg,003_03-vs-027_03.jpg,003_03-vs-027_03,003_03,027_03,003,027,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/027_03.jpg,51,4,44
43,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_03-vs-124_03.jpg,003_03-vs-124_03.jpg,003_03-vs-124_03,003_03,124_03,003,124,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/124_03.jpg,53,4,145
44,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_03-vs-136_03.jpg,003_03-vs-136_03.jpg,003_03-vs-136_03,003_03,136_03,003,136,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/136_03.jpg,54,4,166
45,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_08-vs-011_08.jpg,003_08-vs-011_08.jpg,003_08-vs-011_08,003_08,011_08,003,011,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/011_08.jpg,55,5,19
46,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_08-vs-032_08.jpg,003_08-vs-032_08.jpg,003_08-vs-032_08,003_08,032_08,003,032,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/032_08.jpg,56,5,53
47,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_08-vs-136_08.jpg,003_08-vs-136_08.jpg,003_08-vs-136_08,003_08,136_08,003,136,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/136_08.jpg,58,5,167
48,MAD22,FaceMorpher,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/FaceMorpher/003_08-vs-144_08.jpg,003_08-vs-144_08.jpg,003_08-vs-144_08,003_08,144_08,003,144,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/003_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/144_08.jpg,59,5,180
