cache_index,image_path,filename,stem
0,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_03-vs-010_03.png,001_03-vs-010_03.png,001_03-vs-010_03
1,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_03-vs-030_03.png,001_03-vs-030_03.png,001_03-vs-030_03
2,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_03-vs-032_03.png,001_03-vs-032_03.png,001_03-vs-032_03
3,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_03-vs-090_03.png,001_03-vs-090_03.png,001_03-vs-090_03
4,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_03-vs-122_03.png,001_03-vs-122_03.png,001_03-vs-122_03
5,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_03-vs-129_03.png,001_03-vs-129_03.png,001_03-vs-129_03
6,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-010_08.png,001_08-vs-010_08.png,001_08-vs-010_08
7,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-014_08.png,001_08-vs-014_08.png,001_08-vs-014_08
8,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-032_08.png,001_08-vs-032_08.png,001_08-vs-032_08
9,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-039_08.png,001_08-vs-039_08.png,001_08-vs-039_08
10,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-087_08.png,001_08-vs-087_08.png,001_08-vs-087_08
11,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-090_08.png,001_08-vs-090_08.png,001_08-vs-090_08
12,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-094_08.png,001_08-vs-094_08.png,001_08-vs-094_08
13,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-107_08.png,001_08-vs-107_08.png,001_08-vs-107_08
14,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/001_08-vs-122_08.png,001_08-vs-122_08.png,001_08-vs-122_08
15,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-011_03.png,002_03-vs-011_03.png,002_03-vs-011_03
16,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-020_03.png,002_03-vs-020_03.png,002_03-vs-020_03
17,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-032_03.png,002_03-vs-032_03.png,002_03-vs-032_03
18,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-039_03.png,002_03-vs-039_03.png,002_03-vs-039_03
19,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-094_03.png,002_03-vs-094_03.png,002_03-vs-094_03
20,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-097_03.png,002_03-vs-097_03.png,002_03-vs-097_03
21,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-100_03.png,002_03-vs-100_03.png,002_03-vs-100_03
22,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-102_03.png,002_03-vs-102_03.png,002_03-vs-102_03
23,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-118_03.png,002_03-vs-118_03.png,002_03-vs-118_03
24,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-124_03.png,002_03-vs-124_03.png,002_03-vs-124_03
25,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-136_03.png,002_03-vs-136_03.png,002_03-vs-136_03
26,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-139_03.png,002_03-vs-139_03.png,002_03-vs-139_03
27,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_03-vs-144_03.png,002_03-vs-144_03.png,002_03-vs-144_03
28,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-003_08.png,002_08-vs-003_08.png,002_08-vs-003_08
29,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-011_08.png,002_08-vs-011_08.png,002_08-vs-011_08
30,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-025_08.png,002_08-vs-025_08.png,002_08-vs-025_08
31,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-027_08.png,002_08-vs-027_08.png,002_08-vs-027_08
32,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-030_08.png,002_08-vs-030_08.png,002_08-vs-030_08
33,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-032_08.png,002_08-vs-032_08.png,002_08-vs-032_08
34,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-039_08.png,002_08-vs-039_08.png,002_08-vs-039_08
35,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-081_08.png,002_08-vs-081_08.png,002_08-vs-081_08
36,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-090_08.png,002_08-vs-090_08.png,002_08-vs-090_08
37,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-091_08.png,002_08-vs-091_08.png,002_08-vs-091_08
38,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-097_08.png,002_08-vs-097_08.png,002_08-vs-097_08
39,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-099_08.png,002_08-vs-099_08.png,002_08-vs-099_08
40,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-102_08.png,002_08-vs-102_08.png,002_08-vs-102_08
41,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_I/002_08-vs-118_08.png,002_08-vs-118_08.png,002_08-vs-118_08
