cache_index,image_path,filename,stem
0,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-010_03.png,001_03-vs-010_03.png,001_03-vs-010_03
1,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-014_03.png,001_03-vs-014_03.png,001_03-vs-014_03
2,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-030_03.png,001_03-vs-030_03.png,001_03-vs-030_03
3,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-090_03.png,001_03-vs-090_03.png,001_03-vs-090_03
4,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-107_03.png,001_03-vs-107_03.png,001_03-vs-107_03
5,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-113_03.png,001_03-vs-113_03.png,001_03-vs-113_03
6,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-122_03.png,001_03-vs-122_03.png,001_03-vs-122_03
7,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-014_08.png,001_08-vs-014_08.png,001_08-vs-014_08
8,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-039_08.png,001_08-vs-039_08.png,001_08-vs-039_08
9,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-087_08.png,001_08-vs-087_08.png,001_08-vs-087_08
10,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-090_08.png,001_08-vs-090_08.png,001_08-vs-090_08
11,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-094_08.png,001_08-vs-094_08.png,001_08-vs-094_08
12,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-107_08.png,001_08-vs-107_08.png,001_08-vs-107_08
13,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-122_08.png,001_08-vs-122_08.png,001_08-vs-122_08
14,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-011_03.png,002_03-vs-011_03.png,002_03-vs-011_03
15,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-020_03.png,002_03-vs-020_03.png,002_03-vs-020_03
16,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-027_03.png,002_03-vs-027_03.png,002_03-vs-027_03
17,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-032_03.png,002_03-vs-032_03.png,002_03-vs-032_03
18,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-094_03.png,002_03-vs-094_03.png,002_03-vs-094_03
19,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-097_03.png,002_03-vs-097_03.png,002_03-vs-097_03
20,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-100_03.png,002_03-vs-100_03.png,002_03-vs-100_03
21,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-102_03.png,002_03-vs-102_03.png,002_03-vs-102_03
22,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-118_03.png,002_03-vs-118_03.png,002_03-vs-118_03
23,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-124_03.png,002_03-vs-124_03.png,002_03-vs-124_03
24,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-136_03.png,002_03-vs-136_03.png,002_03-vs-136_03
25,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-139_03.png,002_03-vs-139_03.png,002_03-vs-139_03
26,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_03-vs-144_03.png,002_03-vs-144_03.png,002_03-vs-144_03
27,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-003_08.png,002_08-vs-003_08.png,002_08-vs-003_08
28,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-011_08.png,002_08-vs-011_08.png,002_08-vs-011_08
29,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-025_08.png,002_08-vs-025_08.png,002_08-vs-025_08
30,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-030_08.png,002_08-vs-030_08.png,002_08-vs-030_08
31,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-039_08.png,002_08-vs-039_08.png,002_08-vs-039_08
32,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-081_08.png,002_08-vs-081_08.png,002_08-vs-081_08
33,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-090_08.png,002_08-vs-090_08.png,002_08-vs-090_08
34,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-097_08.png,002_08-vs-097_08.png,002_08-vs-097_08
35,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-099_08.png,002_08-vs-099_08.png,002_08-vs-099_08
36,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-102_08.png,002_08-vs-102_08.png,002_08-vs-102_08
37,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-118_08.png,002_08-vs-118_08.png,002_08-vs-118_08
38,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-124_08.png,002_08-vs-124_08.png,002_08-vs-124_08
39,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-135_08.png,002_08-vs-135_08.png,002_08-vs-135_08
40,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-136_08.png,002_08-vs-136_08.png,002_08-vs-136_08
41,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/002_08-vs-139_08.png,002_08-vs-139_08.png,002_08-vs-139_08
42,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_03-vs-011_03.png,003_03-vs-011_03.png,003_03-vs-011_03
43,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_03-vs-016_03.png,003_03-vs-016_03.png,003_03-vs-016_03
44,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_03-vs-039_03.png,003_03-vs-039_03.png,003_03-vs-039_03
45,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_03-vs-102_03.png,003_03-vs-102_03.png,003_03-vs-102_03
46,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_03-vs-124_03.png,003_03-vs-124_03.png,003_03-vs-124_03
47,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_03-vs-136_03.png,003_03-vs-136_03.png,003_03-vs-136_03
48,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_08-vs-011_08.png,003_08-vs-011_08.png,003_08-vs-011_08
49,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_08-vs-016_08.png,003_08-vs-016_08.png,003_08-vs-016_08
50,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_08-vs-027_08.png,003_08-vs-027_08.png,003_08-vs-027_08
51,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_08-vs-032_08.png,003_08-vs-032_08.png,003_08-vs-032_08
52,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_08-vs-124_08.png,003_08-vs-124_08.png,003_08-vs-124_08
53,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/003_08-vs-144_08.png,003_08-vs-144_08.png,003_08-vs-144_08
54,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/004_03-vs-012_03.png,004_03-vs-012_03.png,004_03-vs-012_03
55,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/004_03-vs-092_03.png,004_03-vs-092_03.png,004_03-vs-092_03
56,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/004_03-vs-103_03.png,004_03-vs-103_03.png,004_03-vs-103_03
57,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/004_03-vs-105_03.png,004_03-vs-105_03.png,004_03-vs-105_03
