embedding_index,dataset,method,scenario,split,morph_image_path,morph_filename,morph_stem,accomplice_stem,criminal_stem,accomplice_id,criminal_id,accomplice_image_path,criminal_image_path,morph_cache_index,accomplice_cache_index,criminal_cache_index
0,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-010_03.png,001_03-vs-010_03.png,001_03-vs-010_03,001_03,010_03,001,010,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/010_03.jpg,0,0,16
1,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-030_03.png,001_03-vs-030_03.png,001_03-vs-030_03,001_03,030_03,001,030,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/030_03.jpg,2,0,48
2,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-090_03.png,001_03-vs-090_03.png,001_03-vs-090_03,001_03,090_03,001,090,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/090_03.jpg,3,0,99
3,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-107_03.png,001_03-vs-107_03.png,001_03-vs-107_03,001_03,107_03,001,107,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/107_03.jpg,4,0,121
4,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-122_03.png,001_03-vs-122_03.png,001_03-vs-122_03,001_03,122_03,001,122,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/122_03.jpg,6,0,141
5,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-014_08.png,001_08-vs-014_08.png,001_08-vs-014_08,001_08,014_08,001,014,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/014_08.jpg,7,1,24
6,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-039_08.png,001_08-vs-039_08.png,001_08-vs-039_08,001_08,039_08,001,039,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/039_08.jpg,8,1,64
7,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-087_08.png,001_08-vs-087_08.png,001_08-vs-087_08,001_08,087_08,001,087,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/087_08.jpg,9,1,98
8,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-094_08.png,001_08-vs-094_08.png,001_08-vs-094_08,001_08,094_08,001,094,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/094_08.jpg,11,1,105
9,MAD22,MIPGAN_II,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-107_08.png,001_08-vs-107_08.png,001_08-vs-107_08,001_08,107_08,001,107,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/107_08.jpg,12,1,122
