cache_index,image_path,filename,stem
0,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-010_03.jpg,001_03-vs-010_03.jpg,001_03-vs-010_03
1,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-014_03.jpg,001_03-vs-014_03.jpg,001_03-vs-014_03
2,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-030_03.jpg,001_03-vs-030_03.jpg,001_03-vs-030_03
3,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-032_03.jpg,001_03-vs-032_03.jpg,001_03-vs-032_03
4,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-090_03.jpg,001_03-vs-090_03.jpg,001_03-vs-090_03
5,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-107_03.jpg,001_03-vs-107_03.jpg,001_03-vs-107_03
6,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-113_03.jpg,001_03-vs-113_03.jpg,001_03-vs-113_03
7,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-122_03.jpg,001_03-vs-122_03.jpg,001_03-vs-122_03
8,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-129_03.jpg,001_03-vs-129_03.jpg,001_03-vs-129_03
9,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-010_08.jpg,001_08-vs-010_08.jpg,001_08-vs-010_08
10,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-014_08.jpg,001_08-vs-014_08.jpg,001_08-vs-014_08
11,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-032_08.jpg,001_08-vs-032_08.jpg,001_08-vs-032_08
12,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-039_08.jpg,001_08-vs-039_08.jpg,001_08-vs-039_08
13,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-087_08.jpg,001_08-vs-087_08.jpg,001_08-vs-087_08
14,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-090_08.jpg,001_08-vs-090_08.jpg,001_08-vs-090_08
15,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-094_08.jpg,001_08-vs-094_08.jpg,001_08-vs-094_08
16,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-122_08.jpg,001_08-vs-122_08.jpg,001_08-vs-122_08
17,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/002_03-vs-011_03.jpg,002_03-vs-011_03.jpg,002_03-vs-011_03
18,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/002_03-vs-020_03.jpg,002_03-vs-020_03.jpg,002_03-vs-020_03
19,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/002_03-vs-027_03.jpg,002_03-vs-027_03.jpg,002_03-vs-027_03
20,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/002_03-vs-032_03.jpg,002_03-vs-032_03.jpg,002_03-vs-032_03
21,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/002_03-vs-039_03.jpg,002_03-vs-039_03.jpg,002_03-vs-039_03
22,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/002_03-vs-094_03.jpg,002_03-vs-094_03.jpg,002_03-vs-094_03
