embedding_index,dataset,method,scenario,split,morph_image_path,morph_filename,morph_stem,accomplice_stem,criminal_stem,accomplice_id,criminal_id,accomplice_image_path,criminal_image_path,morph_cache_index,accomplice_cache_index,criminal_cache_index
0,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-010_03.jpg,001_03-vs-010_03.jpg,001_03-vs-010_03,001_03,010_03,001,010,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/010_03.jpg,0,0,16
1,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-030_03.jpg,001_03-vs-030_03.jpg,001_03-vs-030_03,001_03,030_03,001,030,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/030_03.jpg,2,0,48
2,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-032_03.jpg,001_03-vs-032_03.jpg,001_03-vs-032_03,001_03,032_03,001,032,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/032_03.jpg,3,0,52
3,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-090_03.jpg,001_03-vs-090_03.jpg,001_03-vs-090_03,001_03,090_03,001,090,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/090_03.jpg,4,0,99
4,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-113_03.jpg,001_03-vs-113_03.jpg,001_03-vs-113_03,001_03,113_03,001,113,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/113_03.jpg,6,0,127
5,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-122_03.jpg,001_03-vs-122_03.jpg,001_03-vs-122_03,001_03,122_03,001,122,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/122_03.jpg,7,0,141
6,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_03-vs-129_03.jpg,001_03-vs-129_03.jpg,001_03-vs-129_03,001_03,129_03,001,129,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/129_03.jpg,8,0,154
7,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-010_08.jpg,001_08-vs-010_08.jpg,001_08-vs-010_08,001_08,010_08,001,010,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/010_08.jpg,9,1,17
8,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-032_08.jpg,001_08-vs-032_08.jpg,001_08-vs-032_08,001_08,032_08,001,032,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/032_08.jpg,11,1,53
9,MAD22,OpenCV,random_80_20,train,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/OpenCV/001_08-vs-039_08.jpg,001_08-vs-039_08.jpg,001_08-vs-039_08,001_08,039_08,001,039,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/039_08.jpg,12,1,64
