cache_index,image_path,filename,stem
0,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-010_03.jpg,001_03-vs-010_03.jpg,001_03-vs-010_03
1,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-014_03.jpg,001_03-vs-014_03.jpg,001_03-vs-014_03
2,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-030_03.jpg,001_03-vs-030_03.jpg,001_03-vs-030_03
3,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-032_03.jpg,001_03-vs-032_03.jpg,001_03-vs-032_03
4,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-090_03.jpg,001_03-vs-090_03.jpg,001_03-vs-090_03
5,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-107_03.jpg,001_03-vs-107_03.jpg,001_03-vs-107_03
6,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-113_03.jpg,001_03-vs-113_03.jpg,001_03-vs-113_03
7,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-122_03.jpg,001_03-vs-122_03.jpg,001_03-vs-122_03
8,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/001_03-vs-129_03.jpg,001_03-vs-129_03.jpg,001_03-vs-129_03
9,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/002_03-vs-011_03.jpg,002_03-vs-011_03.jpg,002_03-vs-011_03
10,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/002_03-vs-020_03.jpg,002_03-vs-020_03.jpg,002_03-vs-020_03
11,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/002_03-vs-027_03.jpg,002_03-vs-027_03.jpg,002_03-vs-027_03
12,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/002_03-vs-032_03.jpg,002_03-vs-032_03.jpg,002_03-vs-032_03
13,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/002_03-vs-039_03.jpg,002_03-vs-039_03.jpg,002_03-vs-039_03
14,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/002_03-vs-094_03.jpg,002_03-vs-094_03.jpg,002_03-vs-094_03
15,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/Webmorph/002_03-vs-097_03.jpg,002_03-vs-097_03.jpg,002_03-vs-097_03
