cache_index,image_path,filename,stem
0,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000184_img282038.png,morphed_img000184_img282038.png,morphed_img000184_img282038
1,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000184_img496816.png,morphed_img000184_img496816.png,morphed_img000184_img496816
2,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img054553.png,morphed_img000270_img054553.png,morphed_img000270_img054553
3,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img099545.png,morphed_img000270_img099545.png,morphed_img000270_img099545
4,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img282038.png,morphed_img000270_img282038.png,morphed_img000270_img282038
5,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img337488.png,morphed_img000270_img337488.png,morphed_img000270_img337488
6,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img496816.png,morphed_img000270_img496816.png,morphed_img000270_img496816
7,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img054553.png,morphed_img000446_img054553.png,morphed_img000446_img054553
8,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img099545.png,morphed_img000446_img099545.png,morphed_img000446_img099545
9,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img282038.png,morphed_img000446_img282038.png,morphed_img000446_img282038
10,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img337488.png,morphed_img000446_img337488.png,morphed_img000446_img337488
11,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img496816.png,morphed_img000446_img496816.png,morphed_img000446_img496816
12,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000650_img282038.png,morphed_img000650_img282038.png,morphed_img000650_img282038
13,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000650_img337488.png,morphed_img000650_img337488.png,morphed_img000650_img337488
14,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img054553.png,morphed_img000663_img054553.png,morphed_img000663_img054553
15,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img099545.png,morphed_img000663_img099545.png,morphed_img000663_img099545
16,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img282038.png,morphed_img000663_img282038.png,morphed_img000663_img282038
17,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img337488.png,morphed_img000663_img337488.png,morphed_img000663_img337488
18,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img496816.png,morphed_img000663_img496816.png,morphed_img000663_img496816
19,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000679_img054553.png,morphed_img000679_img054553.png,morphed_img000679_img054553
