row_index_in_train_npy,embedding_index_original_dataset,smiling_probability,smiling_percentage,smiling_prediction,filename,image_path
0,52054,0.99857175,99.8572,1,52054.png,/nas-ctm01/datasets/public/ffhq256/52054.png
1,16089,0.75539643,75.5396,1,16089.png,/nas-ctm01/datasets/public/ffhq256/16089.png
2,40926,0.34664398,34.6644,0,40926.png,/nas-ctm01/datasets/public/ffhq256/40926.png
3,45777,0.03756470,3.7565,0,45777.png,/nas-ctm01/datasets/public/ffhq256/45777.png
4,37400,0.05202756,5.2028,0,37400.png,/nas-ctm01/datasets/public/ffhq256/37400.png
5,6370,0.74904287,74.9043,1,06370.png,/nas-ctm01/datasets/public/ffhq256/06370.png
6,37658,0.99949753,99.9498,1,37658.png,/nas-ctm01/datasets/public/ffhq256/37658.png
7,11192,0.00574064,0.5741,0,11192.png,/nas-ctm01/datasets/public/ffhq256/11192.png
8,57994,0.05734814,5.7348,0,57994.png,/nas-ctm01/datasets/public/ffhq256/57994.png
9,6034,0.99565613,99.5656,1,06034.png,/nas-ctm01/datasets/public/ffhq256/06034.png
10,43369,0.12732688,12.7327,0,43369.png,/nas-ctm01/datasets/public/ffhq256/43369.png
11,64991,0.00295462,0.2955,0,64991.png,/nas-ctm01/datasets/public/ffhq256/64991.png
12,12376,0.51534104,51.5341,1,12376.png,/nas-ctm01/datasets/public/ffhq256/12376.png
13,985,0.99316001,99.3160,1,00985.png,/nas-ctm01/datasets/public/ffhq256/00985.png
14,41902,0.82721925,82.7219,1,41902.png,/nas-ctm01/datasets/public/ffhq256/41902.png
15,57162,0.98112971,98.1130,1,57162.png,/nas-ctm01/datasets/public/ffhq256/57162.png
16,12584,0.66145563,66.1456,1,12584.png,/nas-ctm01/datasets/public/ffhq256/12584.png
17,62420,0.93532395,93.5324,1,62420.png,/nas-ctm01/datasets/public/ffhq256/62420.png
18,36285,0.27761781,27.7618,0,36285.png,/nas-ctm01/datasets/public/ffhq256/36285.png
19,30017,0.16738302,16.7383,0,30017.png,/nas-ctm01/datasets/public/ffhq256/30017.png
20,38554,0.37796333,37.7963,0,38554.png,/nas-ctm01/datasets/public/ffhq256/38554.png
21,59226,0.34536603,34.5366,0,59226.png,/nas-ctm01/datasets/public/ffhq256/59226.png
22,2212,0.14155573,14.1556,0,02212.png,/nas-ctm01/datasets/public/ffhq256/02212.png
23,45057,0.47343552,47.3436,0,45057.png,/nas-ctm01/datasets/public/ffhq256/45057.png
24,14704,0.99450350,99.4503,1,14704.png,/nas-ctm01/datasets/public/ffhq256/14704.png
25,380,0.97180825,97.1808,1,00380.png,/nas-ctm01/datasets/public/ffhq256/00380.png
26,36908,0.00690160,0.6902,0,36908.png,/nas-ctm01/datasets/public/ffhq256/36908.png
27,15517,0.83608168,83.6082,1,15517.png,/nas-ctm01/datasets/public/ffhq256/15517.png
28,48572,0.98862875,98.8629,1,48572.png,/nas-ctm01/datasets/public/ffhq256/48572.png
29,60036,0.97922027,97.9220,1,60036.png,/nas-ctm01/datasets/public/ffhq256/60036.png
30,16164,0.99543411,99.5434,1,16164.png,/nas-ctm01/datasets/public/ffhq256/16164.png
31,13048,0.10453357,10.4534,0,13048.png,/nas-ctm01/datasets/public/ffhq256/13048.png
32,13312,0.45145607,45.1456,0,13312.png,/nas-ctm01/datasets/public/ffhq256/13312.png
33,5476,0.98939949,98.9399,1,05476.png,/nas-ctm01/datasets/public/ffhq256/05476.png
34,40398,0.98383337,98.3833,1,40398.png,/nas-ctm01/datasets/public/ffhq256/40398.png
35,17147,0.12075491,12.0755,0,17147.png,/nas-ctm01/datasets/public/ffhq256/17147.png
36,50616,0.99984503,99.9845,1,50616.png,/nas-ctm01/datasets/public/ffhq256/50616.png
37,32612,0.99825197,99.8252,1,32612.png,/nas-ctm01/datasets/public/ffhq256/32612.png
38,29982,0.99398077,99.3981,1,29982.png,/nas-ctm01/datasets/public/ffhq256/29982.png
39,62467,0.04502270,4.5023,0,62467.png,/nas-ctm01/datasets/public/ffhq256/62467.png
40,65856,0.38418698,38.4187,0,65856.png,/nas-ctm01/datasets/public/ffhq256/65856.png
41,32434,0.39322582,39.3226,0,32434.png,/nas-ctm01/datasets/public/ffhq256/32434.png
42,21109,0.09088656,9.0887,0,21109.png,/nas-ctm01/datasets/public/ffhq256/21109.png
43,37227,0.92109609,92.1096,1,37227.png,/nas-ctm01/datasets/public/ffhq256/37227.png
44,2638,0.00315837,0.3158,0,02638.png,/nas-ctm01/datasets/public/ffhq256/02638.png
45,30821,0.01423544,1.4235,0,30821.png,/nas-ctm01/datasets/public/ffhq256/30821.png
46,48180,0.29046741,29.0467,0,48180.png,/nas-ctm01/datasets/public/ffhq256/48180.png
47,60898,0.98277575,98.2776,1,60898.png,/nas-ctm01/datasets/public/ffhq256/60898.png
48,441,0.01131486,1.1315,0,00441.png,/nas-ctm01/datasets/public/ffhq256/00441.png
49,22750,0.02834411,2.8344,0,22750.png,/nas-ctm01/datasets/public/ffhq256/22750.png
50,30096,0.97323698,97.3237,1,30096.png,/nas-ctm01/datasets/public/ffhq256/30096.png
51,28617,0.00395937,0.3959,0,28617.png,/nas-ctm01/datasets/public/ffhq256/28617.png
52,37553,0.00189795,0.1898,0,37553.png,/nas-ctm01/datasets/public/ffhq256/37553.png
53,11617,0.40786752,40.7868,0,11617.png,/nas-ctm01/datasets/public/ffhq256/11617.png
54,60822,0.67141819,67.1418,1,60822.png,/nas-ctm01/datasets/public/ffhq256/60822.png
55,33230,0.18733707,18.7337,0,33230.png,/nas-ctm01/datasets/public/ffhq256/33230.png
56,23972,0.99688500,99.6885,1,23972.png,/nas-ctm01/datasets/public/ffhq256/23972.png
57,46130,0.97504336,97.5043,1,46130.png,/nas-ctm01/datasets/public/ffhq256/46130.png
58,27333,0.00674262,0.6743,0,27333.png,/nas-ctm01/datasets/public/ffhq256/27333.png
59,8350,0.99527055,99.5271,1,08350.png,/nas-ctm01/datasets/public/ffhq256/08350.png
60,22227,0.99970382,99.9704,1,22227.png,/nas-ctm01/datasets/public/ffhq256/22227.png
61,26513,0.01329174,1.3292,0,26513.png,/nas-ctm01/datasets/public/ffhq256/26513.png
62,31264,0.94954318,94.9543,1,31264.png,/nas-ctm01/datasets/public/ffhq256/31264.png
63,49162,0.38382277,38.3823,0,49162.png,/nas-ctm01/datasets/public/ffhq256/49162.png
64,62848,0.07105182,7.1052,0,62848.png,/nas-ctm01/datasets/public/ffhq256/62848.png
65,37520,0.11692730,11.6927,0,37520.png,/nas-ctm01/datasets/public/ffhq256/37520.png
66,35107,0.99817121,99.8171,1,35107.png,/nas-ctm01/datasets/public/ffhq256/35107.png
67,12284,0.32757643,32.7576,0,12284.png,/nas-ctm01/datasets/public/ffhq256/12284.png
68,47474,0.01260928,1.2609,0,47474.png,/nas-ctm01/datasets/public/ffhq256/47474.png
69,57696,0.97496086,97.4961,1,57696.png,/nas-ctm01/datasets/public/ffhq256/57696.png
70,1786,0.01370644,1.3706,0,01786.png,/nas-ctm01/datasets/public/ffhq256/01786.png
71,64150,0.42106536,42.1065,0,64150.png,/nas-ctm01/datasets/public/ffhq256/64150.png
72,18709,0.98883355,98.8834,1,18709.png,/nas-ctm01/datasets/public/ffhq256/18709.png
73,14769,0.00560830,0.5608,0,14769.png,/nas-ctm01/datasets/public/ffhq256/14769.png
74,67588,0.40680417,40.6804,0,67588.png,/nas-ctm01/datasets/public/ffhq256/67588.png
75,54468,0.01402895,1.4029,0,54468.png,/nas-ctm01/datasets/public/ffhq256/54468.png
76,31502,0.25905398,25.9054,0,31502.png,/nas-ctm01/datasets/public/ffhq256/31502.png
77,65038,0.91760868,91.7609,1,65038.png,/nas-ctm01/datasets/public/ffhq256/65038.png
78,69929,0.98158526,98.1585,1,69929.png,/nas-ctm01/datasets/public/ffhq256/69929.png
79,26782,0.07171579,7.1716,0,26782.png,/nas-ctm01/datasets/public/ffhq256/26782.png
80,56764,0.15644778,15.6448,0,56764.png,/nas-ctm01/datasets/public/ffhq256/56764.png
81,28589,0.93025583,93.0256,1,28589.png,/nas-ctm01/datasets/public/ffhq256/28589.png
82,50165,0.98963588,98.9636,1,50165.png,/nas-ctm01/datasets/public/ffhq256/50165.png
83,34534,0.71663243,71.6632,1,34534.png,/nas-ctm01/datasets/public/ffhq256/34534.png
84,39614,0.05297325,5.2973,0,39614.png,/nas-ctm01/datasets/public/ffhq256/39614.png
85,37422,0.99241990,99.2420,1,37422.png,/nas-ctm01/datasets/public/ffhq256/37422.png
86,63013,0.01945730,1.9457,0,63013.png,/nas-ctm01/datasets/public/ffhq256/63013.png
87,10186,0.56014901,56.0149,1,10186.png,/nas-ctm01/datasets/public/ffhq256/10186.png
88,29964,0.17114416,17.1144,0,29964.png,/nas-ctm01/datasets/public/ffhq256/29964.png
89,64745,0.95202368,95.2024,1,64745.png,/nas-ctm01/datasets/public/ffhq256/64745.png
90,13108,0.05887549,5.8875,0,13108.png,/nas-ctm01/datasets/public/ffhq256/13108.png
91,20663,0.08642752,8.6428,0,20663.png,/nas-ctm01/datasets/public/ffhq256/20663.png
92,9977,0.69795048,69.7950,1,09977.png,/nas-ctm01/datasets/public/ffhq256/09977.png
93,67964,0.99366874,99.3669,1,67964.png,/nas-ctm01/datasets/public/ffhq256/67964.png
94,46401,0.96028244,96.0282,1,46401.png,/nas-ctm01/datasets/public/ffhq256/46401.png
95,15315,0.99871087,99.8711,1,15315.png,/nas-ctm01/datasets/public/ffhq256/15315.png
96,55842,0.42696932,42.6969,0,55842.png,/nas-ctm01/datasets/public/ffhq256/55842.png
97,54853,0.43328419,43.3284,0,54853.png,/nas-ctm01/datasets/public/ffhq256/54853.png
98,44141,0.15150778,15.1508,0,44141.png,/nas-ctm01/datasets/public/ffhq256/44141.png
99,69411,0.82282865,82.2829,1,69411.png,/nas-ctm01/datasets/public/ffhq256/69411.png
100,53257,0.04825389,4.8254,0,53257.png,/nas-ctm01/datasets/public/ffhq256/53257.png
101,19497,0.94614953,94.6150,1,19497.png,/nas-ctm01/datasets/public/ffhq256/19497.png
102,20571,0.08684474,8.6845,0,20571.png,/nas-ctm01/datasets/public/ffhq256/20571.png
103,1879,0.53092724,53.0927,1,01879.png,/nas-ctm01/datasets/public/ffhq256/01879.png
104,49225,0.25470465,25.4705,0,49225.png,/nas-ctm01/datasets/public/ffhq256/49225.png
105,14398,0.19065371,19.0654,0,14398.png,/nas-ctm01/datasets/public/ffhq256/14398.png
106,54950,0.00018956,0.0190,0,54950.png,/nas-ctm01/datasets/public/ffhq256/54950.png
107,40009,0.99323720,99.3237,1,40009.png,/nas-ctm01/datasets/public/ffhq256/40009.png
108,36982,0.99321282,99.3213,1,36982.png,/nas-ctm01/datasets/public/ffhq256/36982.png
109,17662,0.98067999,98.0680,1,17662.png,/nas-ctm01/datasets/public/ffhq256/17662.png
110,12691,0.97705203,97.7052,1,12691.png,/nas-ctm01/datasets/public/ffhq256/12691.png
111,1097,0.87347060,87.3471,1,01097.png,/nas-ctm01/datasets/public/ffhq256/01097.png
112,33280,0.00289066,0.2891,0,33280.png,/nas-ctm01/datasets/public/ffhq256/33280.png
113,6528,0.20749182,20.7492,0,06528.png,/nas-ctm01/datasets/public/ffhq256/06528.png
114,28171,0.99843806,99.8438,1,28171.png,/nas-ctm01/datasets/public/ffhq256/28171.png
115,50829,0.02982441,2.9824,0,50829.png,/nas-ctm01/datasets/public/ffhq256/50829.png
116,69287,0.02358027,2.3580,0,69287.png,/nas-ctm01/datasets/public/ffhq256/69287.png
117,33088,0.52392083,52.3921,1,33088.png,/nas-ctm01/datasets/public/ffhq256/33088.png
118,56216,0.00245692,0.2457,0,56216.png,/nas-ctm01/datasets/public/ffhq256/56216.png
119,45574,0.00429329,0.4293,0,45574.png,/nas-ctm01/datasets/public/ffhq256/45574.png
120,50043,0.99145168,99.1452,1,50043.png,/nas-ctm01/datasets/public/ffhq256/50043.png
121,25763,0.98677957,98.6780,1,25763.png,/nas-ctm01/datasets/public/ffhq256/25763.png
122,836,0.95192450,95.1925,1,00836.png,/nas-ctm01/datasets/public/ffhq256/00836.png
123,35663,0.63391054,63.3911,1,35663.png,/nas-ctm01/datasets/public/ffhq256/35663.png
124,27334,0.93502992,93.5030,1,27334.png,/nas-ctm01/datasets/public/ffhq256/27334.png
125,14544,0.21849357,21.8494,0,14544.png,/nas-ctm01/datasets/public/ffhq256/14544.png
126,10610,0.62845427,62.8454,1,10610.png,/nas-ctm01/datasets/public/ffhq256/10610.png
127,8018,0.61290300,61.2903,1,08018.png,/nas-ctm01/datasets/public/ffhq256/08018.png
128,12847,0.79547584,79.5476,1,12847.png,/nas-ctm01/datasets/public/ffhq256/12847.png
129,16242,0.91826952,91.8270,1,16242.png,/nas-ctm01/datasets/public/ffhq256/16242.png
130,2731,0.86609775,86.6098,1,02731.png,/nas-ctm01/datasets/public/ffhq256/02731.png
131,59869,0.00532076,0.5321,0,59869.png,/nas-ctm01/datasets/public/ffhq256/59869.png
132,18533,0.99827421,99.8274,1,18533.png,/nas-ctm01/datasets/public/ffhq256/18533.png
133,16013,0.49351504,49.3515,0,16013.png,/nas-ctm01/datasets/public/ffhq256/16013.png
134,28092,0.04602358,4.6024,0,28092.png,/nas-ctm01/datasets/public/ffhq256/28092.png
