embedding_index,filename,image_path,identity_id,label,split,images_per_identity
0,000024.png,/nas-ctm01/datasets/public/celeba/000024.png,9290,183,train,30
1,000052.png,/nas-ctm01/datasets/public/celeba/000052.png,3896,54,train,29
2,000057.png,/nas-ctm01/datasets/public/celeba/000057.png,10144,196,train,28
3,000105.png,/nas-ctm01/datasets/public/celeba/000105.png,1946,20,val,30
4,000172.png,/nas-ctm01/datasets/public/celeba/000172.png,6844,129,test,30
5,000185.png,/nas-ctm01/datasets/public/celeba/000185.png,5815,101,train,30
6,000239.png,/nas-ctm01/datasets/public/celeba/000239.png,3808,53,train,29
7,000258.png,/nas-ctm01/datasets/public/celeba/000258.png,5489,93,train,30
8,000317.png,/nas-ctm01/datasets/public/celeba/000317.png,1371,10,train,30
9,000328.png,/nas-ctm01/datasets/public/celeba/000328.png,6351,116,train,30
10,000333.png,/nas-ctm01/datasets/public/celeba/000333.png,4819,74,train,27
11,000490.png,/nas-ctm01/datasets/public/celeba/000490.png,8820,169,test,28
12,000534.png,/nas-ctm01/datasets/public/celeba/000534.png,6803,128,train,29
13,000549.png,/nas-ctm01/datasets/public/celeba/000549.png,5046,81,train,30
14,000564.png,/nas-ctm01/datasets/public/celeba/000564.png,8469,161,val,28
15,000649.png,/nas-ctm01/datasets/public/celeba/000649.png,5341,85,train,30
16,000670.png,/nas-ctm01/datasets/public/celeba/000670.png,4951,79,train,30
17,000685.png,/nas-ctm01/datasets/public/celeba/000685.png,8208,155,train,29
18,000698.png,/nas-ctm01/datasets/public/celeba/000698.png,10095,194,train,28
19,000756.png,/nas-ctm01/datasets/public/celeba/000756.png,6079,108,train,30
20,000759.png,/nas-ctm01/datasets/public/celeba/000759.png,9184,179,train,30
21,000781.png,/nas-ctm01/datasets/public/celeba/000781.png,8946,172,test,30
22,000801.png,/nas-ctm01/datasets/public/celeba/000801.png,10000,191,train,30
23,000821.png,/nas-ctm01/datasets/public/celeba/000821.png,2245,32,train,30
24,000822.png,/nas-ctm01/datasets/public/celeba/000822.png,6164,112,train,29
25,000839.png,/nas-ctm01/datasets/public/celeba/000839.png,9206,180,train,30
26,000848.png,/nas-ctm01/datasets/public/celeba/000848.png,6682,124,train,28
27,000942.png,/nas-ctm01/datasets/public/celeba/000942.png,4268,59,train,30
28,000962.png,/nas-ctm01/datasets/public/celeba/000962.png,7353,145,train,29
29,001051.png,/nas-ctm01/datasets/public/celeba/001051.png,5394,88,train,30
30,001063.png,/nas-ctm01/datasets/public/celeba/001063.png,3569,50,train,29
31,001133.png,/nas-ctm01/datasets/public/celeba/001133.png,4832,75,train,30
32,001162.png,/nas-ctm01/datasets/public/celeba/001162.png,534,2,train,30
33,001180.png,/nas-ctm01/datasets/public/celeba/001180.png,6921,134,train,26
34,001189.png,/nas-ctm01/datasets/public/celeba/001189.png,8247,156,train,29
35,001197.png,/nas-ctm01/datasets/public/celeba/001197.png,8469,161,train,28
36,001224.png,/nas-ctm01/datasets/public/celeba/001224.png,1467,13,train,30
37,001226.png,/nas-ctm01/datasets/public/celeba/001226.png,2236,31,test,29
38,001247.png,/nas-ctm01/datasets/public/celeba/001247.png,1947,21,train,30
39,001283.png,/nas-ctm01/datasets/public/celeba/001283.png,4321,61,train,30
