label,identity_id,count_total,count_train,count_val,count_test
0,95,30,24,3,3
1,289,30,24,3,3
2,534,30,24,3,3
3,661,30,24,3,3
4,894,30,24,3,3
5,953,29,23,3,3
6,1128,30,24,3,3
7,1135,30,24,3,3
8,1258,29,23,3,3
9,1341,29,23,3,3
10,1371,30,24,3,3
11,1422,30,24,3,3
12,1448,25,21,2,2
13,1467,30,24,3,3
14,1493,29,23,3,3
15,1582,30,24,3,3
16,1629,30,24,3,3
17,1642,30,24,3,3
18,1657,30,24,3,3
19,1852,30,24,3,3
20,1946,30,24,3,3
21,1947,30,24,3,3
22,1990,30,24,3,3
23,2015,30,24,3,3
24,2055,30,24,3,3
25,2066,30,24,3,3
26,2122,30,24,3,3
27,2158,29,23,3,3
28,2167,28,22,3,3
29,2180,30,24,3,3
30,2225,30,24,3,3
31,2236,29,23,3,3
32,2245,30,24,3,3
33,2261,30,24,3,3
34,2296,29,23,3,3
35,2318,30,24,3,3
36,2334,30,24,3,3
37,2546,25,21,2,2
38,2643,29,23,3,3
39,2762,30,24,3,3
40,2805,30,24,3,3
41,2870,29,23,3,3
42,2898,28,22,3,3
43,3017,29,23,3,3
44,3022,30,24,3,3
45,3024,28,22,3,3
46,3056,28,22,3,3
47,3111,30,24,3,3
48,3263,28,22,3,3
49,3386,28,22,3,3
50,3569,29,23,3,3
51,3600,30,24,3,3
52,3678,29,23,3,3
53,3808,29,23,3,3
54,3896,29,23,3,3
55,3901,29,23,3,3
56,3941,30,24,3,3
57,4077,28,22,3,3
58,4157,30,24,3,3
59,4268,30,24,3,3
60,4309,26,20,3,3
61,4321,30,24,3,3
62,4372,30,24,3,3
63,4423,29,23,3,3
64,4439,30,24,3,3
65,4441,29,23,3,3
66,4460,27,21,3,3
67,4474,29,23,3,3
68,4511,30,24,3,3
69,4577,30,24,3,3
70,4636,27,21,3,3
71,4672,30,24,3,3
72,4702,28,22,3,3
73,4808,30,24,3,3
74,4819,27,21,3,3
75,4832,30,24,3,3
76,4931,30,24,3,3
77,4936,30,24,3,3
78,4943,29,23,3,3
79,4951,30,24,3,3
80,4955,30,24,3,3
81,5046,30,24,3,3
82,5101,27,21,3,3
83,5142,30,24,3,3
84,5182,29,23,3,3
85,5341,30,24,3,3
86,5344,30,24,3,3
87,5382,29,23,3,3
88,5394,30,24,3,3
89,5426,30,24,3,3
90,5473,30,24,3,3
91,5479,29,23,3,3
92,5482,29,23,3,3
93,5489,30,24,3,3
94,5539,28,22,3,3
95,5545,30,24,3,3
96,5563,27,21,3,3
97,5704,27,21,3,3
98,5747,30,24,3,3
99,5774,30,24,3,3
100,5786,25,21,2,2
101,5815,30,24,3,3
102,5827,30,24,3,3
103,5911,29,23,3,3
104,5951,25,21,2,2
105,6042,29,23,3,3
106,6043,29,23,3,3
107,6044,29,23,3,3
108,6079,30,24,3,3
109,6080,28,22,3,3
110,6112,27,21,3,3
111,6143,30,24,3,3
112,6164,29,23,3,3
113,6185,30,24,3,3
114,6292,30,24,3,3
115,6337,29,23,3,3
116,6351,30,24,3,3
117,6354,30,24,3,3
118,6355,30,24,3,3
119,6365,30,24,3,3
120,6386,29,23,3,3
121,6420,30,24,3,3
122,6439,30,24,3,3
123,6483,30,24,3,3
124,6682,28,22,3,3
125,6708,30,24,3,3
126,6719,29,23,3,3
127,6751,28,22,3,3
128,6803,29,23,3,3
129,6844,30,24,3,3
130,6851,30,24,3,3
131,6860,30,24,3,3
132,6876,30,24,3,3
133,6877,26,20,3,3
134,6921,26,20,3,3
135,6928,30,24,3,3
136,6997,28,22,3,3
137,7001,30,24,3,3
138,7004,30,24,3,3
139,7138,29,23,3,3
140,7151,29,23,3,3
141,7156,30,24,3,3
142,7195,30,24,3,3
143,7260,30,24,3,3
144,7348,30,24,3,3
145,7353,29,23,3,3
146,7429,30,24,3,3
147,7533,29,23,3,3
148,7850,27,21,3,3
149,7883,30,24,3,3
150,7910,30,24,3,3
151,7923,27,21,3,3
152,8112,30,24,3,3
153,8148,30,24,3,3
154,8195,29,23,3,3
155,8208,29,23,3,3
156,8247,29,23,3,3
157,8446,28,22,3,3
158,8448,30,24,3,3
159,8454,30,24,3,3
160,8457,25,21,2,2
161,8469,28,22,3,3
162,8614,29,23,3,3
163,8692,27,21,3,3
164,8702,30,24,3,3
165,8728,30,24,3,3
166,8774,27,21,3,3
167,8783,30,24,3,3
168,8785,29,23,3,3
169,8820,28,22,3,3
170,8896,26,20,3,3
171,8940,28,22,3,3
172,8946,30,24,3,3
173,8951,26,20,3,3
174,9056,27,21,3,3
175,9086,30,24,3,3
176,9091,30,24,3,3
177,9138,30,24,3,3
178,9162,30,24,3,3
179,9184,30,24,3,3
180,9206,30,24,3,3
181,9245,30,24,3,3
182,9256,31,25,3,3
183,9290,30,24,3,3
184,9678,30,24,3,3
185,9731,30,24,3,3
186,9769,30,24,3,3
187,9789,30,24,3,3
188,9790,30,24,3,3
189,9810,28,22,3,3
190,9915,30,24,3,3
191,10000,30,24,3,3
192,10060,29,23,3,3
193,10085,26,20,3,3
194,10095,28,22,3,3
195,10134,30,24,3,3
196,10144,28,22,3,3
197,10160,30,24,3,3
