--- Semantic Distance Report (Dataset 1) ---
Average Distance:  0.136476
Closest Distance:  0.069029 (image_03981.jpg)
Farthest Distance: 0.456085 (image_07131.jpg)
--------------------------------------------

Individual Distances:
image_03981.jpg: 0.069029
image_01348.jpg: 0.069870
image_01347.jpg: 0.070576
image_01356.jpg: 0.070739
image_03958.jpg: 0.071285
image_01792.jpg: 0.071437
image_01707.jpg: 0.072160
image_01776.jpg: 0.072285
image_01607.jpg: 0.072332
image_01695.jpg: 0.072756
image_01770.jpg: 0.074451
image_01762.jpg: 0.074903
image_01359.jpg: 0.075283
image_01802.jpg: 0.075657
image_01750.jpg: 0.075904
image_01696.jpg: 0.075994
image_01332.jpg: 0.076395
image_01822.jpg: 0.076413
image_03930.jpg: 0.076615
image_01683.jpg: 0.076666
image_01756.jpg: 0.076805
image_01732.jpg: 0.076890
image_01595.jpg: 0.076903
image_01674.jpg: 0.077089
image_01824.jpg: 0.077171
image_01813.jpg: 0.077307
image_03942.jpg: 0.077488
image_01768.jpg: 0.077524
image_01339.jpg: 0.077990
image_01482.jpg: 0.078160
image_03985.jpg: 0.078265
image_01589.jpg: 0.078310
image_04528.jpg: 0.079139
image_07948.jpg: 0.079255
image_07498.jpg: 0.079403
image_01484.jpg: 0.079454
image_07473.jpg: 0.079496
image_01702.jpg: 0.079510
image_01784.jpg: 0.079668
image_07543.jpg: 0.079731
image_03991.jpg: 0.079924
image_01608.jpg: 0.079926
image_01797.jpg: 0.080007
image_05903.jpg: 0.080112
image_01704.jpg: 0.080204
image_07546.jpg: 0.080424
image_01778.jpg: 0.080475
image_02248.jpg: 0.080518
image_01337.jpg: 0.080618
image_01357.jpg: 0.080647
image_01739.jpg: 0.080720
image_01785.jpg: 0.080806
image_01815.jpg: 0.080811
image_01328.jpg: 0.080908
image_01677.jpg: 0.080925
image_01773.jpg: 0.081032
image_03934.jpg: 0.081071
image_01366.jpg: 0.081138
image_01360.jpg: 0.081294
image_01826.jpg: 0.081340
image_07469.jpg: 0.081378
image_02265.jpg: 0.081426
image_04555.jpg: 0.081442
image_01747.jpg: 0.081446
image_01179.jpg: 0.081537
image_01701.jpg: 0.081694
image_01754.jpg: 0.081724
image_01670.jpg: 0.081761
image_01624.jpg: 0.081890
image_01787.jpg: 0.081906
image_01801.jpg: 0.081927
image_01814.jpg: 0.081971
image_01336.jpg: 0.082233
image_01669.jpg: 0.082457
image_01716.jpg: 0.082550
image_01688.jpg: 0.082558
image_05085.jpg: 0.082569
image_01809.jpg: 0.082674
image_02781.jpg: 0.082690
image_07488.jpg: 0.082724
image_01818.jpg: 0.082731
image_01755.jpg: 0.082761
image_01806.jpg: 0.082789
image_07495.jpg: 0.082811
image_01330.jpg: 0.082817
image_01671.jpg: 0.082831
image_05197.jpg: 0.082908
image_04754.jpg: 0.082975
image_03621.jpg: 0.082982
image_07557.jpg: 0.083164
image_01375.jpg: 0.083172
image_03956.jpg: 0.083201
image_01706.jpg: 0.083278
image_01379.jpg: 0.083294
image_01798.jpg: 0.083566
image_02284.jpg: 0.083627
image_07485.jpg: 0.083663
image_01712.jpg: 0.083681
image_01335.jpg: 0.083733
image_07555.jpg: 0.083736
image_07536.jpg: 0.083831
image_07499.jpg: 0.083838
image_01812.jpg: 0.083917
image_01760.jpg: 0.083959
image_01659.jpg: 0.083977
image_03966.jpg: 0.084143
image_00921.jpg: 0.084181
image_05189.jpg: 0.084208
image_01641.jpg: 0.084216
image_01740.jpg: 0.084254
image_01708.jpg: 0.084309
image_01684.jpg: 0.084319
image_04551.jpg: 0.084340
image_01719.jpg: 0.084366
image_05193.jpg: 0.084384
image_04523.jpg: 0.084397
image_01718.jpg: 0.084424
image_03553.jpg: 0.084428
image_05571.jpg: 0.084571
image_01788.jpg: 0.084630
image_01661.jpg: 0.084787
