Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_Raw_Cos
1,0.324266,0.224159,N/A
2,0.214839,0.207325,N/A
3,0.198229,0.193649,N/A
4,0.183457,0.183811,N/A
5,0.171584,0.171282,0.733886
6,0.163401,0.166386,N/A
7,0.157863,0.165596,N/A
8,0.153385,0.158473,N/A
9,0.148048,0.156668,N/A
10,0.145030,0.154237,0.761019
11,0.142423,0.150168,N/A
12,0.139484,0.147834,N/A
13,0.136801,0.143722,N/A
14,0.134769,0.144844,N/A
15,0.133734,0.142381,0.780254
16,0.131508,0.141685,N/A
17,0.129977,0.139794,N/A
18,0.127815,0.136356,N/A
19,0.126151,0.135569,N/A
20,0.124907,0.135418,0.790465
21,0.123581,0.134909,N/A
22,0.122527,0.132016,N/A
23,0.121083,0.132571,N/A
24,0.119964,0.130891,N/A
25,0.119272,0.130708,0.802729
26,0.118476,0.130264,N/A
27,0.117792,0.132787,N/A
28,0.117055,0.128992,N/A
29,0.115809,0.128894,N/A
30,0.115130,0.130134,0.802588
31,0.116574,0.128437,N/A
32,0.114060,0.129016,N/A
33,0.112575,0.126299,N/A
34,0.111490,0.127167,N/A
35,0.110924,0.126267,0.808725
36,0.110754,0.126234,N/A
37,0.110787,0.125508,N/A
38,0.109784,0.124028,N/A
39,0.108212,0.126135,N/A
40,0.108001,0.127198,0.804850
41,0.108696,0.128375,N/A
42,0.109034,0.124759,N/A
43,0.107778,0.124657,N/A
44,0.106020,0.124594,N/A
45,0.105436,0.124573,0.814013
46,0.105651,0.123625,N/A
47,0.105016,0.122874,N/A
48,0.103776,0.122888,N/A
49,0.102807,0.123115,N/A
50,0.103958,0.123483,0.809472
