Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_Raw_Cos
1,0.303623,0.200785,N/A
2,0.190823,0.183720,N/A
3,0.177233,0.179520,N/A
4,0.165505,0.163757,N/A
5,0.154628,0.155861,0.723539
6,0.146895,0.152593,N/A
7,0.141706,0.143430,N/A
8,0.135617,0.138644,N/A
9,0.131495,0.137588,N/A
10,0.128704,0.131369,0.758241
11,0.125458,0.130413,N/A
12,0.122807,0.128935,N/A
13,0.121492,0.127760,N/A
14,0.118400,0.126663,N/A
15,0.117480,0.123886,0.771644
16,0.114904,0.123884,N/A
17,0.113814,0.121940,N/A
18,0.112548,0.121958,N/A
19,0.112306,0.119841,N/A
20,0.110211,0.119517,0.780181
21,0.108013,0.120364,N/A
22,0.108127,0.118162,N/A
23,0.106956,0.117107,N/A
24,0.105281,0.117733,N/A
25,0.105571,0.115095,0.785645
26,0.104255,0.116002,N/A
27,0.103829,0.113807,N/A
28,0.101814,0.112062,N/A
29,0.101194,0.115535,N/A
30,0.100052,0.123647,0.786108
31,0.103495,0.114386,N/A
32,0.100096,0.114656,N/A
33,0.099575,0.112036,N/A
34,0.097694,0.113852,N/A
35,0.097231,0.108122,0.800392
36,0.095691,0.110389,N/A
37,0.095736,0.110931,N/A
38,0.096278,0.109486,N/A
39,0.095349,0.110180,N/A
40,0.093920,0.108782,0.803303
41,0.093966,0.109589,N/A
42,0.092992,0.109384,N/A
43,0.091992,0.108523,N/A
44,0.092434,0.108012,N/A
45,0.090830,0.108121,0.802133
46,0.091085,0.107735,N/A
47,0.090279,0.109231,N/A
48,0.091827,0.109503,N/A
49,0.091361,0.108431,N/A
50,0.090075,0.107585,0.805458
