Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,0.014855,0.003868,0.218714,N/A
2,0.003690,0.003571,0.296270,N/A
3,0.003468,0.003382,0.364742,N/A
4,0.003284,0.003190,0.431897,N/A
5,0.003070,0.002944,0.500596,N/A
6,0.002787,0.002677,0.556171,N/A
7,0.002534,0.002394,0.616263,N/A
8,0.002377,0.002236,0.646875,N/A
9,0.002253,0.002221,0.649822,N/A
10,0.002088,0.002056,0.679575,N/A
11,0.002056,0.002002,0.689157,N/A
12,0.002007,0.002033,0.683520,N/A
13,0.001960,0.001953,0.697933,N/A
14,0.001948,0.001920,0.703665,N/A
15,0.001930,0.001911,0.705251,N/A
16,0.001915,0.001921,0.702316,N/A
17,0.001903,0.001897,0.707675,N/A
18,0.001897,0.001928,0.700925,N/A
19,0.001894,0.001934,0.699343,N/A
20,0.001887,0.001887,0.708037,N/A
21,0.001884,0.001883,0.709359,N/A
22,0.001885,0.001905,0.704804,N/A
23,0.001874,0.001910,0.704858,N/A
24,0.001877,0.001889,0.708606,N/A
25,0.001871,0.001897,0.707096,0.001742
26,0.001872,0.001903,0.704372,N/A
27,0.001872,0.001881,0.709545,N/A
28,0.001872,0.001877,0.709967,N/A
29,0.001868,0.001868,0.712459,N/A
30,0.001866,0.001890,0.708022,N/A
31,0.001865,0.001897,0.706598,N/A
32,0.001867,0.001886,0.709074,N/A
33,0.001865,0.001876,0.710092,N/A
34,0.001864,0.001880,0.709447,N/A
35,0.001865,0.001875,0.711448,N/A
36,0.001860,0.001893,0.706948,N/A
37,0.001864,0.001885,0.708084,N/A
38,0.001862,0.001877,0.710724,N/A
39,0.001861,0.001873,0.711582,N/A
40,0.001862,0.001871,0.711760,N/A
41,0.001859,0.001863,0.713168,N/A
42,0.001859,0.001879,0.709692,N/A
43,0.001862,0.001880,0.709186,N/A
44,0.001859,0.001881,0.708947,N/A
45,0.001860,0.001874,0.711082,N/A
46,0.001859,0.001876,0.710331,N/A
47,0.001858,0.001877,0.710930,N/A
48,0.001858,0.001872,0.711629,N/A
49,0.001856,0.001865,0.712174,N/A
