Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.573692,1.253488,0.606988,N/A
2,1.104970,1.015166,0.692646,N/A
3,0.990732,0.986321,0.702429,N/A
4,0.967456,0.974221,0.705598,N/A
5,0.953277,0.948368,0.715005,N/A
6,0.943130,0.960941,0.708922,N/A
7,0.934887,0.930969,0.719580,N/A
8,0.922009,0.927021,0.718433,N/A
9,0.908433,0.910237,0.724005,N/A
10,0.895083,0.898229,0.727024,N/A
11,0.883041,0.890338,0.727393,N/A
12,0.870736,0.877460,0.731100,N/A
13,0.858881,0.869378,0.733518,N/A
14,0.848384,0.861564,0.734585,N/A
15,0.836690,0.850942,0.739982,N/A
16,0.828778,0.858817,0.735219,N/A
17,0.819532,0.840907,0.742067,N/A
18,0.812714,0.834609,0.745173,N/A
