Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.606916,1.280860,0.594493,N/A
2,1.186832,1.054490,0.672617,N/A
3,1.085763,1.010377,0.687037,N/A
4,1.069100,0.996754,0.690842,N/A
5,1.041678,0.982169,0.694874,N/A
6,1.023912,0.964928,0.699500,N/A
7,1.006683,0.949680,0.701755,N/A
8,0.986158,0.935085,0.707531,N/A
9,0.968527,0.929950,0.709640,N/A
10,0.952310,0.926277,0.712894,N/A
11,0.937056,0.916798,0.714366,N/A
12,0.924721,0.897641,0.719467,N/A
13,0.912209,0.889911,0.725351,N/A
14,0.900651,0.879469,0.729198,N/A
15,0.888621,0.871909,0.732774,N/A
16,0.877354,0.873834,0.730541,N/A
17,0.868599,0.863641,0.734855,N/A
18,0.861002,0.864130,0.734814,N/A
19,0.854272,0.849187,0.739381,N/A
20,0.844087,0.846875,0.741099,N/A
21,0.835339,0.838108,0.744444,N/A
22,0.828994,0.844087,0.742297,N/A
23,0.822434,0.840010,0.742181,N/A
24,0.816306,0.819387,0.752332,N/A
25,0.809420,0.825430,0.748632,1.035553
26,0.803753,0.824857,0.749217,N/A
27,0.798041,0.819317,0.752479,N/A
28,0.793200,0.813219,0.753921,N/A
29,0.788743,0.812898,0.752355,N/A
30,0.782223,0.802773,0.757567,N/A
31,0.777921,0.824261,0.750888,N/A
32,0.773624,0.809073,0.755303,N/A
33,0.769337,0.797409,0.759433,N/A
34,0.765779,0.801070,0.758997,N/A
35,0.759997,0.800609,0.758902,N/A
36,0.756905,0.794644,0.761613,N/A
37,0.753013,0.789680,0.764272,N/A
38,0.748234,0.786840,0.765387,N/A
39,0.746163,0.785893,0.765985,N/A
40,0.740393,0.787776,0.763535,N/A
41,0.739128,0.785144,0.764892,N/A
42,0.734913,0.782388,0.767345,N/A
43,0.732109,0.779797,0.766342,N/A
44,0.728754,0.785397,0.765990,N/A
45,0.725313,0.779641,0.768705,N/A
46,0.722715,0.783202,0.766004,N/A
47,0.719366,0.783840,0.763924,N/A
48,0.715642,0.781197,0.767048,N/A
49,0.714425,0.774301,0.769619,N/A
50,0.710055,0.772622,0.769774,0.903388
51,0.709188,0.771259,0.772048,N/A
52,0.705354,0.766984,0.773792,N/A
53,0.702551,0.768729,0.772986,N/A
54,0.700654,0.767816,0.772039,N/A
55,0.698715,0.771573,0.769387,N/A
56,0.694188,0.767892,0.772723,N/A
57,0.693274,0.758157,0.776760,N/A
58,0.691475,0.762793,0.774084,N/A
59,0.688366,0.772185,0.770810,N/A
60,0.685688,0.767824,0.771600,N/A
61,0.684044,0.765554,0.771908,N/A
62,0.681855,0.757345,0.776500,N/A
63,0.679836,0.765907,0.772228,N/A
64,0.677155,0.764447,0.773312,N/A
65,0.676795,0.753586,0.777229,N/A
66,0.673230,0.755468,0.779315,N/A
67,0.671020,0.762821,0.774608,N/A
68,0.669400,0.758373,0.777949,N/A
69,0.669376,0.768114,0.774048,N/A
70,0.664316,0.760450,0.774907,N/A
71,0.664378,0.758538,0.776947,N/A
72,0.661796,0.754373,0.778077,N/A
73,0.659462,0.758663,0.777423,N/A
74,0.658565,0.757240,0.777522,N/A
75,0.657107,0.755473,0.777732,0.836335
76,0.655854,0.766472,0.772445,N/A
77,0.653263,0.762059,0.777126,N/A
78,0.651776,0.755772,0.779320,N/A
79,0.649656,0.753718,0.779916,N/A
80,0.648858,0.759927,0.776757,N/A
81,0.645238,0.765934,0.773829,N/A
82,0.645515,0.759756,0.776242,N/A
83,0.643247,0.748642,0.780108,N/A
84,0.643351,0.749834,0.779861,N/A
85,0.639476,0.754688,0.778194,N/A
86,0.636962,0.750552,0.780030,N/A
87,0.636126,0.753799,0.779650,N/A
88,0.635207,0.762681,0.775633,N/A
89,0.633516,0.759023,0.776928,N/A
90,0.632619,0.749692,0.780578,N/A
91,0.631196,0.751405,0.779679,N/A
92,0.629482,0.747552,0.782646,N/A
93,0.628250,0.758866,0.777586,N/A
94,0.626923,0.755124,0.779038,N/A
95,0.624469,0.752247,0.780335,N/A
96,0.625872,0.763706,0.774984,N/A
97,0.621783,0.753363,0.780201,N/A
98,0.620957,0.748488,0.781817,N/A
99,0.620949,0.748924,0.781630,N/A
100,0.619939,0.752298,0.781515,0.810721
101,0.617310,0.745435,0.783697,N/A
102,0.615747,0.746393,0.782761,N/A
103,0.615085,0.750367,0.781730,N/A
104,0.613876,0.753301,0.781250,N/A
105,0.613395,0.745017,0.783711,N/A
106,0.611805,0.752398,0.783664,N/A
107,0.609736,0.750931,0.780868,N/A
108,0.608647,0.749899,0.781125,N/A
109,0.606725,0.749027,0.782713,N/A
110,0.606963,0.747135,0.783926,N/A
111,0.604247,0.747942,0.783011,N/A
112,0.603425,0.752774,0.779746,N/A
113,0.603194,0.749105,0.782472,N/A
114,0.602333,0.755568,0.781019,N/A
115,0.600961,0.748752,0.782754,N/A
116,0.598762,0.746020,0.783619,N/A
117,0.598223,0.752237,0.780808,N/A
118,0.597976,0.749460,0.783304,N/A
119,0.596837,0.746554,0.785131,N/A
120,0.594413,0.742741,0.785616,N/A
121,0.593944,0.750865,0.782894,N/A
122,0.591879,0.755768,0.781647,N/A
123,0.592918,0.756665,0.781221,N/A
124,0.590497,0.754365,0.781936,N/A
125,0.589853,0.752876,0.782291,0.814365
126,0.589604,0.754678,0.781958,N/A
127,0.587288,0.746427,0.784801,N/A
128,0.587657,0.753209,0.781869,N/A
129,0.584759,0.756752,0.781388,N/A
130,0.583877,0.743275,0.785295,N/A
131,0.583561,0.745150,0.785864,N/A
132,0.583189,0.748541,0.784570,N/A
133,0.581395,0.744514,0.784933,N/A
134,0.581079,0.743804,0.785792,N/A
135,0.580728,0.747141,0.785051,N/A
136,0.577234,0.751552,0.784278,N/A
137,0.578558,0.761030,0.780555,N/A
138,0.576590,0.755179,0.783285,N/A
139,0.575935,0.747880,0.785126,N/A
140,0.575715,0.749838,0.785430,N/A
