Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.597909,1.277639,0.595911,N/A
2,1.171351,1.032107,0.683669,N/A
3,1.071338,0.996330,0.696514,N/A
4,1.044777,0.983028,0.699305,N/A
5,1.030307,0.962170,0.706765,N/A
6,1.013108,0.958595,0.706361,N/A
7,0.993913,0.944837,0.708175,N/A
8,0.975844,0.926693,0.713061,N/A
9,0.956995,0.926245,0.712241,N/A
10,0.946082,0.899948,0.721540,N/A
11,0.926853,0.918828,0.713242,N/A
12,0.911553,0.894924,0.720442,N/A
13,0.896791,0.882154,0.727765,N/A
14,0.885062,0.864348,0.731260,N/A
15,0.876764,0.862018,0.732580,N/A
16,0.863916,0.859782,0.732874,N/A
17,0.854938,0.842976,0.739644,N/A
18,0.845737,0.845911,0.738644,N/A
19,0.838763,0.833261,0.742598,N/A
20,0.830598,0.837601,0.743306,N/A
21,0.824028,0.830799,0.745779,N/A
22,0.817711,0.818327,0.750049,N/A
23,0.810392,0.817010,0.748848,N/A
24,0.803448,0.816820,0.751252,N/A
25,0.800657,0.826995,0.746064,1.086178
26,0.793810,0.811693,0.754951,N/A
27,0.787996,0.805352,0.754460,N/A
28,0.783195,0.803318,0.756435,N/A
29,0.779189,0.802101,0.755668,N/A
30,0.773743,0.802605,0.757729,N/A
31,0.768370,0.786654,0.763278,N/A
32,0.766261,0.794002,0.759433,N/A
33,0.760012,0.787201,0.761358,N/A
34,0.758540,0.798394,0.758023,N/A
35,0.753452,0.787407,0.763138,N/A
36,0.750101,0.788507,0.763095,N/A
37,0.745620,0.785330,0.763321,N/A
38,0.742602,0.796381,0.759090,N/A
39,0.740419,0.787198,0.761289,N/A
40,0.735765,0.785488,0.763292,N/A
41,0.732110,0.780434,0.765893,N/A
42,0.729265,0.780948,0.764780,N/A
43,0.727789,0.772313,0.766709,N/A
44,0.723871,0.780699,0.764284,N/A
45,0.720682,0.783634,0.765330,N/A
46,0.719600,0.779924,0.766393,N/A
47,0.715232,0.767760,0.771470,N/A
48,0.713120,0.776116,0.767427,N/A
49,0.709252,0.775743,0.768905,N/A
50,0.708568,0.770652,0.769934,0.940226
51,0.705533,0.766593,0.771091,N/A
52,0.703324,0.768738,0.770350,N/A
53,0.700336,0.771504,0.769401,N/A
54,0.698062,0.773485,0.767205,N/A
55,0.696561,0.769252,0.770974,N/A
56,0.693293,0.767860,0.771240,N/A
57,0.691246,0.774438,0.768303,N/A
58,0.689130,0.771839,0.768708,N/A
59,0.686847,0.762905,0.773590,N/A
60,0.685905,0.762640,0.772122,N/A
61,0.682359,0.758978,0.774580,N/A
62,0.680772,0.759214,0.776321,N/A
63,0.678617,0.765142,0.773509,N/A
64,0.677255,0.763056,0.773396,N/A
65,0.675053,0.763126,0.774203,N/A
66,0.672903,0.767181,0.771444,N/A
67,0.671381,0.764487,0.773509,N/A
68,0.668960,0.767626,0.772140,N/A
69,0.668194,0.758077,0.775703,N/A
70,0.664728,0.767718,0.771883,N/A
71,0.664667,0.755814,0.776889,N/A
72,0.662911,0.766547,0.772240,N/A
73,0.660858,0.755502,0.777851,N/A
74,0.658062,0.760683,0.776123,N/A
75,0.657350,0.761080,0.775581,0.931718
76,0.654954,0.752980,0.777822,N/A
77,0.654072,0.755967,0.778147,N/A
78,0.651974,0.755037,0.778659,N/A
79,0.653062,0.770394,0.772562,N/A
80,0.648450,0.756561,0.777870,N/A
81,0.648044,0.767824,0.774158,N/A
82,0.646289,0.756622,0.776996,N/A
83,0.644919,0.760131,0.775916,N/A
84,0.642113,0.756397,0.776592,N/A
85,0.642582,0.761779,0.777147,N/A
86,0.640167,0.758170,0.777567,N/A
87,0.639417,0.754071,0.778461,N/A
88,0.637707,0.756178,0.778584,N/A
89,0.635830,0.754724,0.778111,N/A
90,0.634393,0.757109,0.777537,N/A
91,0.633751,0.755504,0.779119,N/A
92,0.631658,0.758151,0.777491,N/A
93,0.630561,0.757021,0.777624,N/A
94,0.629456,0.758763,0.779070,N/A
95,0.627335,0.755145,0.779785,N/A
96,0.626141,0.756684,0.778508,N/A
