Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.598263,1.273718,0.598528,N/A
2,1.166547,1.067634,0.671111,N/A
3,1.063610,0.997919,0.694522,N/A
4,1.037442,0.981141,0.700213,N/A
5,1.017755,0.960098,0.705919,N/A
6,1.001810,0.952422,0.707424,N/A
7,0.984900,0.946388,0.708404,N/A
8,0.965216,0.936881,0.709397,N/A
9,0.948539,0.927536,0.711493,N/A
10,0.934212,0.910738,0.717477,N/A
11,0.919256,0.894786,0.720524,N/A
12,0.905660,0.895343,0.719826,N/A
13,0.894147,0.876300,0.728283,N/A
14,0.882207,0.872582,0.732390,N/A
15,0.872230,0.858711,0.735758,N/A
16,0.863641,0.856687,0.737726,N/A
17,0.853206,0.848920,0.738673,N/A
18,0.845725,0.842100,0.742202,N/A
19,0.836470,0.845276,0.741674,N/A
20,0.830032,0.842169,0.741962,N/A
21,0.823752,0.830250,0.746232,N/A
22,0.815470,0.832014,0.747423,N/A
23,0.810000,0.818055,0.752068,N/A
24,0.804212,0.816205,0.751816,N/A
25,0.798810,0.823132,0.750295,1.032550
26,0.792524,0.819600,0.752273,N/A
27,0.786298,0.808801,0.754554,N/A
28,0.782599,0.802044,0.758263,N/A
29,0.776502,0.805101,0.756109,N/A
30,0.772342,0.795850,0.759776,N/A
31,0.767280,0.790209,0.762496,N/A
32,0.762750,0.787715,0.763049,N/A
33,0.758991,0.791797,0.760896,N/A
34,0.754744,0.786056,0.763243,N/A
35,0.750630,0.787607,0.762259,N/A
36,0.746316,0.786462,0.764439,N/A
37,0.743545,0.784683,0.763936,N/A
38,0.739480,0.785832,0.764415,N/A
39,0.736046,0.782264,0.765025,N/A
40,0.734317,0.779175,0.765605,N/A
41,0.728041,0.782539,0.765645,N/A
42,0.726875,0.778427,0.766356,N/A
43,0.722631,0.774063,0.767658,N/A
44,0.719858,0.777637,0.767515,N/A
45,0.717853,0.771647,0.769912,N/A
46,0.713709,0.765776,0.772210,N/A
47,0.711655,0.762441,0.772794,N/A
48,0.707035,0.765366,0.772761,N/A
49,0.705330,0.768012,0.771554,N/A
50,0.703780,0.767362,0.769960,0.883401
51,0.699452,0.770525,0.770455,N/A
52,0.697428,0.770813,0.769638,N/A
53,0.694630,0.759095,0.774867,N/A
54,0.694315,0.755720,0.775663,N/A
55,0.689782,0.764455,0.772004,N/A
56,0.687506,0.761957,0.772863,N/A
57,0.685242,0.759199,0.775367,N/A
58,0.683450,0.752332,0.777369,N/A
59,0.680341,0.761931,0.775587,N/A
60,0.678961,0.758882,0.773430,N/A
61,0.677880,0.756456,0.774906,N/A
62,0.674257,0.755435,0.775429,N/A
63,0.671862,0.748202,0.778972,N/A
64,0.670321,0.749607,0.778504,N/A
65,0.668028,0.760127,0.774061,N/A
66,0.666080,0.752699,0.777152,N/A
67,0.665339,0.756505,0.776048,N/A
68,0.662387,0.747176,0.779185,N/A
69,0.659366,0.761124,0.774267,N/A
70,0.660053,0.746483,0.780978,N/A
71,0.656734,0.754516,0.776057,N/A
72,0.654747,0.748441,0.778848,N/A
73,0.654081,0.752721,0.777406,N/A
74,0.651617,0.749523,0.778915,N/A
75,0.649803,0.750358,0.778840,0.826022
76,0.648061,0.747519,0.779128,N/A
77,0.646104,0.750415,0.779768,N/A
78,0.645870,0.744670,0.780765,N/A
79,0.643574,0.750410,0.778531,N/A
80,0.641028,0.743346,0.781506,N/A
81,0.641158,0.756740,0.777644,N/A
82,0.638510,0.740516,0.783218,N/A
83,0.635875,0.741227,0.783042,N/A
84,0.635065,0.743914,0.782813,N/A
85,0.634428,0.744074,0.781946,N/A
86,0.632771,0.751011,0.779887,N/A
87,0.629647,0.738882,0.783528,N/A
88,0.629128,0.747710,0.779212,N/A
89,0.628024,0.735750,0.784140,N/A
90,0.626396,0.742108,0.782459,N/A
91,0.624184,0.750077,0.779412,N/A
92,0.624691,0.733850,0.786071,N/A
93,0.621143,0.746268,0.781248,N/A
94,0.622210,0.744525,0.782747,N/A
95,0.619946,0.744564,0.782823,N/A
96,0.617600,0.739166,0.784652,N/A
97,0.616584,0.748559,0.780498,N/A
98,0.616390,0.733799,0.787458,N/A
99,0.613565,0.744728,0.781818,N/A
100,0.612746,0.742441,0.782996,0.809767
101,0.611616,0.746682,0.783202,N/A
102,0.610231,0.743146,0.781995,N/A
103,0.609796,0.739347,0.785728,N/A
104,0.606809,0.742163,0.784552,N/A
105,0.606939,0.729426,0.788420,N/A
106,0.604634,0.742024,0.783114,N/A
107,0.605463,0.737903,0.785043,N/A
108,0.602825,0.741039,0.784404,N/A
109,0.602301,0.739831,0.786304,N/A
110,0.600155,0.755940,0.778153,N/A
111,0.599238,0.742331,0.784289,N/A
112,0.597371,0.749545,0.781407,N/A
113,0.598690,0.740408,0.785445,N/A
114,0.596150,0.735009,0.786782,N/A
115,0.593708,0.741987,0.785069,N/A
116,0.594369,0.739289,0.785530,N/A
117,0.593649,0.752362,0.780880,N/A
118,0.591370,0.743603,0.783590,N/A
119,0.591188,0.741705,0.784755,N/A
120,0.589528,0.737726,0.786623,N/A
121,0.589499,0.746404,0.783825,N/A
122,0.587225,0.749485,0.782000,N/A
123,0.587868,0.748943,0.783721,N/A
124,0.584637,0.736697,0.786691,N/A
125,0.583613,0.744023,0.785561,0.784729
