Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.603918,1.313509,0.578427,N/A
2,1.165880,1.076611,0.659948,N/A
3,1.046759,1.041265,0.663603,N/A
4,1.017301,1.001348,0.671737,N/A
5,0.991409,0.978333,0.674921,N/A
6,0.969168,0.966536,0.678592,N/A
7,0.953110,0.968228,0.675040,N/A
8,0.940265,0.932059,0.692049,N/A
9,0.935207,0.924291,0.692648,N/A
10,0.921518,0.924106,0.691131,N/A
11,0.910273,0.918508,0.697249,N/A
12,0.902435,0.905171,0.699238,N/A
13,0.893069,0.903429,0.699244,N/A
14,0.885224,0.895160,0.702349,N/A
15,0.878970,0.889164,0.705104,N/A
16,0.870759,0.885254,0.708030,N/A
17,0.864391,0.885053,0.706786,N/A
18,0.856827,0.882370,0.708195,N/A
19,0.849465,0.880998,0.710239,N/A
20,0.845972,0.872486,0.712057,N/A
21,0.839832,0.867522,0.716749,N/A
22,0.833008,0.866102,0.715167,N/A
23,0.827967,0.865576,0.715732,N/A
24,0.822208,0.859358,0.718516,N/A
25,0.817930,0.855425,0.720487,1.488731
26,0.811852,0.858834,0.717685,N/A
27,0.809033,0.847080,0.722016,N/A
28,0.803859,0.857100,0.719691,N/A
29,0.799735,0.848692,0.723110,N/A
30,0.794912,0.852416,0.723088,N/A
31,0.791749,0.854246,0.722880,N/A
32,0.786304,0.844921,0.723854,N/A
33,0.782723,0.850874,0.724359,N/A
34,0.779490,0.845265,0.724749,N/A
35,0.774575,0.842553,0.726119,N/A
36,0.772403,0.847748,0.724514,N/A
37,0.769534,0.848010,0.726332,N/A
38,0.764703,0.827660,0.734892,N/A
39,0.761657,0.845268,0.725808,N/A
40,0.758229,0.839988,0.731390,N/A
41,0.755718,0.838577,0.729409,N/A
42,0.752072,0.836362,0.730667,N/A
43,0.749893,0.839654,0.729678,N/A
44,0.746596,0.841833,0.730730,N/A
45,0.744539,0.845817,0.727707,N/A
46,0.740850,0.829864,0.735524,N/A
47,0.738949,0.848931,0.727728,N/A
48,0.735136,0.843030,0.732168,N/A
49,0.733413,0.844432,0.732235,N/A
50,0.730768,0.842453,0.731779,1.177824
51,0.727667,0.838326,0.732521,N/A
52,0.725859,0.846752,0.730445,N/A
53,0.722075,0.841307,0.734700,N/A
54,0.722082,0.843425,0.731509,N/A
55,0.718050,0.853515,0.729425,N/A
56,0.716406,0.838662,0.735759,N/A
57,0.714569,0.851877,0.730491,N/A
58,0.710886,0.840985,0.736491,N/A
