Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.631976,1.315467,0.578527,N/A
2,1.232771,1.092680,0.655678,N/A
3,1.133881,1.050249,0.669585,N/A
4,1.104439,1.030231,0.675416,N/A
5,1.080427,1.023078,0.672501,N/A
6,1.060524,1.006013,0.677799,N/A
7,1.036982,0.994762,0.682360,N/A
8,1.012973,0.964763,0.692806,N/A
9,0.993219,0.946448,0.699987,N/A
10,0.972999,0.937390,0.704174,N/A
11,0.958310,0.932432,0.704931,N/A
12,0.943015,0.929813,0.707775,N/A
13,0.930201,0.916155,0.712381,N/A
14,0.917496,0.900876,0.720450,N/A
15,0.906795,0.898430,0.720673,N/A
16,0.895558,0.878800,0.726504,N/A
17,0.892706,0.883662,0.724573,N/A
1,1.644510,1.324916,0.577031,N/A
2,1.238304,1.095779,0.655205,N/A
3,1.135823,1.053992,0.667922,N/A
4,1.103866,1.032869,0.674572,N/A
5,1.085519,1.010890,0.680307,N/A
6,1.060737,1.011282,0.677649,N/A
7,1.037016,0.980827,0.687677,N/A
8,1.014948,0.977805,0.686202,N/A
9,0.994521,0.960695,0.694007,N/A
10,0.975813,0.934115,0.704587,N/A
11,0.959217,0.923594,0.708881,N/A
12,0.944992,0.922556,0.711652,N/A
13,0.933631,0.907753,0.715671,N/A
14,0.920584,0.891749,0.723064,N/A
15,0.906423,0.891113,0.724145,N/A
16,0.897089,0.889602,0.724283,N/A
17,0.886872,0.885621,0.726924,N/A
18,0.877903,0.877658,0.729319,N/A
19,0.868372,0.871587,0.732467,N/A
20,0.861028,0.859561,0.736504,N/A
21,0.852652,0.866696,0.732008,N/A
22,0.844642,0.853333,0.739074,N/A
23,0.838537,0.849640,0.740715,N/A
24,0.833962,0.843415,0.743808,N/A
25,0.825643,0.834242,0.746978,1.142778
26,0.819399,0.840384,0.742340,N/A
27,0.813023,0.840430,0.745368,N/A
28,0.807183,0.834346,0.745640,N/A
29,0.802449,0.828994,0.748015,N/A
30,0.799616,0.820264,0.752234,N/A
31,0.791848,0.823541,0.752555,N/A
32,0.789426,0.820814,0.751986,N/A
33,0.782815,0.815747,0.755951,N/A
34,0.780710,0.815708,0.755128,N/A
35,0.774302,0.816131,0.755286,N/A
36,0.770310,0.820480,0.752614,N/A
37,0.768458,0.814942,0.755674,N/A
38,0.764620,0.799821,0.759784,N/A
39,0.758618,0.812860,0.754835,N/A
40,0.755929,0.807953,0.757984,N/A
41,0.752171,0.800526,0.760317,N/A
42,0.749159,0.813237,0.755407,N/A
43,0.745392,0.798164,0.761828,N/A
44,0.742114,0.794912,0.764154,N/A
45,0.738070,0.807271,0.758915,N/A
46,0.737085,0.792678,0.763861,N/A
47,0.733345,0.798400,0.760642,N/A
48,0.730424,0.794257,0.762134,N/A
49,0.727857,0.790802,0.764908,N/A
50,0.723966,0.793088,0.763954,0.961215
51,0.721818,0.782129,0.767567,N/A
52,0.718741,0.787108,0.768712,N/A
53,0.716960,0.788756,0.764924,N/A
54,0.713667,0.787253,0.765240,N/A
55,0.711760,0.786143,0.765411,N/A
56,0.707484,0.785612,0.769009,N/A
57,0.708313,0.786746,0.767939,N/A
58,0.703221,0.785896,0.767816,N/A
59,0.701803,0.788101,0.765715,N/A
60,0.699620,0.779148,0.769840,N/A
61,0.697568,0.779741,0.770910,N/A
62,0.694536,0.790381,0.766613,N/A
63,0.692451,0.780801,0.771329,N/A
64,0.689815,0.783812,0.768733,N/A
65,0.687361,0.787151,0.766576,N/A
66,0.686621,0.771122,0.773134,N/A
67,0.683806,0.785183,0.769020,N/A
68,0.682805,0.786893,0.769088,N/A
69,0.680530,0.775966,0.771308,N/A
70,0.679127,0.784005,0.769610,N/A
71,0.675370,0.777673,0.772209,N/A
72,0.674871,0.782084,0.770234,N/A
73,0.671946,0.771500,0.774810,N/A
74,0.670444,0.769355,0.774222,N/A
75,0.668641,0.777620,0.772733,0.883298
76,0.666967,0.781332,0.770793,N/A
77,0.664587,0.786593,0.768337,N/A
78,0.663453,0.775492,0.772820,N/A
79,0.661211,0.769542,0.775180,N/A
80,0.659905,0.774416,0.773716,N/A
81,0.658248,0.776418,0.773126,N/A
82,0.656877,0.773735,0.774544,N/A
83,0.654786,0.781049,0.772679,N/A
84,0.653265,0.768900,0.775489,N/A
85,0.651480,0.785740,0.770406,N/A
86,0.651770,0.772055,0.775489,N/A
87,0.648349,0.777924,0.773372,N/A
88,0.646131,0.766850,0.777501,N/A
89,0.646515,0.773062,0.774757,N/A
90,0.644075,0.767685,0.775453,N/A
91,0.643429,0.776735,0.773901,N/A
92,0.639723,0.763753,0.777359,N/A
93,0.639673,0.778753,0.773999,N/A
94,0.639257,0.765309,0.779674,N/A
95,0.636145,0.761368,0.779606,N/A
96,0.634600,0.773112,0.774214,N/A
97,0.634434,0.766769,0.778677,N/A
98,0.633233,0.773828,0.778035,N/A
99,0.631290,0.777288,0.775507,N/A
100,0.629039,0.771302,0.777708,0.842527
101,0.630090,0.771827,0.777037,N/A
102,0.627556,0.764887,0.779614,N/A
103,0.624849,0.770429,0.777853,N/A
104,0.625037,0.776984,0.774262,N/A
105,0.624904,0.766992,0.778592,N/A
106,0.621952,0.770861,0.776630,N/A
107,0.620927,0.779233,0.774415,N/A
108,0.619793,0.766083,0.779311,N/A
109,0.618302,0.767777,0.778801,N/A
110,0.617575,0.769381,0.779179,N/A
111,0.616206,0.766473,0.779915,N/A
112,0.614399,0.765199,0.780281,N/A
113,0.614085,0.773015,0.778366,N/A
114,0.611594,0.772114,0.778168,N/A
115,0.610620,0.779874,0.776269,N/A
