Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.629727,1.330856,0.577711,N/A
2,1.172913,1.052171,0.678870,N/A
3,1.015515,0.985524,0.701426,N/A
4,0.979921,0.976942,0.704605,N/A
5,0.965111,0.972097,0.705386,N/A
6,0.955325,0.956662,0.709563,N/A
7,0.946372,0.949645,0.712378,N/A
8,0.936107,0.937231,0.714922,N/A
9,0.926577,0.921450,0.720455,N/A
10,0.913322,0.917203,0.720225,N/A
11,0.903867,0.915147,0.717918,N/A
12,0.888719,0.892372,0.726200,N/A
13,0.879442,0.890836,0.725841,N/A
14,0.868308,0.874137,0.732532,N/A
15,0.856337,0.867808,0.732573,N/A
16,0.847433,0.856819,0.738678,N/A
17,0.838284,0.857968,0.737294,N/A
18,0.829162,0.846618,0.739432,N/A
19,0.822416,0.838911,0.742977,N/A
20,0.814622,0.833883,0.744361,N/A
21,0.806596,0.834265,0.745374,N/A
22,0.800217,0.827538,0.747019,N/A
23,0.793818,0.834300,0.741906,N/A
24,0.787416,0.822529,0.748697,N/A
25,0.782171,0.815956,0.751277,0.978118
26,0.778454,0.814835,0.751065,N/A
27,0.771199,0.804334,0.755768,N/A
28,0.768640,0.806456,0.753936,N/A
29,0.761983,0.810726,0.753820,N/A
30,0.757421,0.790147,0.760824,N/A
31,0.753327,0.798853,0.757332,N/A
32,0.747747,0.803094,0.754139,N/A
33,0.745275,0.785978,0.761642,N/A
34,0.740675,0.796010,0.758303,N/A
35,0.736287,0.792091,0.759586,N/A
36,0.732844,0.785270,0.761433,N/A
37,0.728614,0.782847,0.763560,N/A
38,0.725329,0.777011,0.764939,N/A
39,0.722161,0.784378,0.761944,N/A
40,0.719482,0.777978,0.764277,N/A
41,0.715304,0.778336,0.765039,N/A
42,0.711605,0.772702,0.767854,N/A
43,0.710006,0.776366,0.766495,N/A
44,0.706854,0.768130,0.770072,N/A
45,0.703640,0.773144,0.766542,N/A
46,0.701643,0.767072,0.769593,N/A
47,0.698220,0.781493,0.763555,N/A
48,0.696125,0.763803,0.769729,N/A
49,0.693005,0.754144,0.774914,N/A
50,0.688790,0.767161,0.768220,0.917091
51,0.688729,0.767509,0.768858,N/A
52,0.685280,0.770658,0.767679,N/A
53,0.684114,0.753780,0.774322,N/A
54,0.679924,0.756675,0.774003,N/A
55,0.677290,0.761573,0.772003,N/A
56,0.675944,0.758569,0.773430,N/A
57,0.673779,0.767264,0.769655,N/A
58,0.670406,0.752519,0.775048,N/A
59,0.669136,0.755261,0.773643,N/A
60,0.666736,0.758615,0.773248,N/A
61,0.664874,0.753810,0.775353,N/A
62,0.663192,0.748686,0.777023,N/A
63,0.660214,0.759533,0.771505,N/A
64,0.659227,0.749272,0.776871,N/A
65,0.657660,0.763176,0.770732,N/A
66,0.654944,0.749386,0.776348,N/A
67,0.654402,0.752365,0.776077,N/A
68,0.649460,0.753523,0.775783,N/A
69,0.650635,0.744630,0.778311,N/A
70,0.647133,0.753605,0.776043,N/A
71,0.646987,0.762288,0.771786,N/A
72,0.643480,0.742449,0.780833,N/A
73,0.642714,0.749209,0.777547,N/A
74,0.641698,0.742740,0.780089,N/A
75,0.638854,0.748359,0.777291,0.880770
76,0.637636,0.744996,0.779310,N/A
77,0.635928,0.744239,0.778907,N/A
78,0.634385,0.749641,0.778148,N/A
79,0.632668,0.746519,0.778602,N/A
80,0.631776,0.745916,0.778959,N/A
81,0.629441,0.740848,0.779180,N/A
82,0.627646,0.753834,0.776440,N/A
83,0.625983,0.744908,0.778406,N/A
84,0.625131,0.748541,0.779301,N/A
85,0.624433,0.743787,0.780378,N/A
86,0.621430,0.741840,0.779859,N/A
87,0.621547,0.744763,0.779380,N/A
88,0.619144,0.737574,0.782481,N/A
89,0.617982,0.740042,0.781493,N/A
90,0.616739,0.741483,0.782215,N/A
91,0.614933,0.746543,0.779505,N/A
92,0.614139,0.756488,0.776668,N/A
93,0.613598,0.744087,0.780323,N/A
94,0.611091,0.741458,0.781294,N/A
95,0.609664,0.747588,0.779184,N/A
96,0.608733,0.744238,0.782041,N/A
97,0.607690,0.739878,0.783116,N/A
98,0.606367,0.742725,0.780757,N/A
99,0.604789,0.745591,0.781080,N/A
100,0.603937,0.749583,0.778829,0.858253
101,0.603340,0.742648,0.780068,N/A
102,0.600704,0.742062,0.781596,N/A
103,0.600174,0.746591,0.780440,N/A
104,0.599357,0.749419,0.778927,N/A
105,0.598895,0.730278,0.786741,N/A
106,0.594907,0.750605,0.778896,N/A
107,0.595587,0.751300,0.779231,N/A
108,0.594700,0.743323,0.780671,N/A
109,0.593456,0.739829,0.783382,N/A
110,0.591144,0.739137,0.783800,N/A
111,0.591625,0.743896,0.783009,N/A
112,0.589549,0.739005,0.784323,N/A
113,0.588193,0.747126,0.781408,N/A
114,0.588460,0.732301,0.787521,N/A
115,0.585752,0.732937,0.785577,N/A
116,0.586462,0.737575,0.784164,N/A
117,0.583550,0.744540,0.782743,N/A
118,0.582717,0.738780,0.782944,N/A
119,0.582755,0.741428,0.783086,N/A
120,0.580905,0.749158,0.780921,N/A
121,0.581128,0.730195,0.788290,N/A
122,0.579269,0.742163,0.784050,N/A
123,0.578324,0.746738,0.782419,N/A
124,0.577388,0.738008,0.785151,N/A
125,0.576632,0.746113,0.782996,0.830013
126,0.575422,0.738659,0.784940,N/A
127,0.575357,0.750296,0.780889,N/A
128,0.573524,0.733393,0.785687,N/A
129,0.571406,0.743157,0.783063,N/A
130,0.572963,0.739868,0.784000,N/A
131,0.571447,0.731897,0.787597,N/A
132,0.568643,0.744161,0.782271,N/A
133,0.569507,0.722726,0.791167,N/A
134,0.567351,0.742323,0.784753,N/A
135,0.567425,0.739970,0.784109,N/A
136,0.566169,0.738897,0.785340,N/A
137,0.563877,0.749090,0.782327,N/A
138,0.565503,0.741588,0.783860,N/A
139,0.562563,0.745164,0.784146,N/A
140,0.562528,0.748847,0.783810,N/A
141,0.560749,0.747140,0.783323,N/A
142,0.561143,0.744315,0.784097,N/A
143,0.559566,0.738773,0.786610,N/A
144,0.560490,0.738432,0.786217,N/A
145,0.557965,0.748893,0.783021,N/A
146,0.556846,0.737587,0.786216,N/A
147,0.556820,0.732385,0.788126,N/A
148,0.555003,0.733640,0.787187,N/A
149,0.554894,0.739638,0.786596,N/A
150,0.554198,0.741276,0.785017,0.802842
