Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.641608,1.140067,0.605602,N/A
2,1.171003,1.045403,0.625607,N/A
3,1.104731,1.024675,0.636075,N/A
4,1.083392,1.009626,0.647464,N/A
5,1.067353,1.013971,0.642381,N/A
6,1.053548,0.990366,0.656660,N/A
7,1.036610,0.993560,0.656065,N/A
8,1.019861,0.979042,0.663456,N/A
9,1.004504,0.988252,0.662346,N/A
10,0.989577,0.954950,0.669796,N/A
11,0.974267,0.954525,0.676744,N/A
12,0.961385,0.957857,0.675192,N/A
13,0.946513,0.957608,0.678217,N/A
14,0.934643,0.970747,0.674611,N/A
15,0.923935,0.941061,0.684878,N/A
16,0.912631,0.952055,0.685718,N/A
17,0.902512,0.950510,0.684906,N/A
18,0.892522,0.949917,0.684213,N/A
19,0.883001,0.939617,0.692090,N/A
20,0.875442,0.966330,0.680751,N/A
21,0.865226,0.962360,0.686456,N/A
22,0.857950,0.957433,0.686200,N/A
23,0.851010,0.964576,0.685910,N/A
24,0.842601,0.966598,0.689016,N/A
25,0.835777,0.969889,0.687897,1.112373
26,0.828493,0.973813,0.688706,N/A
27,0.822049,0.973195,0.689591,N/A
28,0.815337,0.988294,0.687244,N/A
29,0.810899,0.977903,0.688270,N/A
30,0.803838,1.007836,0.684246,N/A
31,0.798360,0.994045,0.689149,N/A
32,0.792666,0.989619,0.689680,N/A
33,0.788335,0.999090,0.689247,N/A
34,0.781421,0.991803,0.689335,N/A
35,0.776473,1.008806,0.683976,N/A
36,0.771131,0.988414,0.692895,N/A
37,0.768276,1.010458,0.689404,N/A
38,0.762714,1.026707,0.684112,N/A
39,0.757552,1.022846,0.683196,N/A
