Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_z1_L1,Val_TACOs_z2_L1
1,0.512155,0.411255,N/A,N/A
2,0.398754,0.393838,N/A,N/A
3,0.390292,0.391371,N/A,N/A
4,0.385205,0.386134,N/A,N/A
5,0.379009,0.381002,0.520208,0.520315
6,0.372996,0.373649,N/A,N/A
7,0.365897,0.366564,N/A,N/A
8,0.358841,0.361767,N/A,N/A
9,0.352885,0.358540,N/A,N/A
10,0.347731,0.356392,0.481453,0.482401
11,0.343159,0.350977,N/A,N/A
12,0.339455,0.349160,N/A,N/A
13,0.335956,0.345805,N/A,N/A
14,0.333031,0.344955,N/A,N/A
15,0.329790,0.343717,0.460697,0.461293
16,0.327453,0.336932,N/A,N/A
17,0.324962,0.339522,N/A,N/A
18,0.322806,0.337729,N/A,N/A
19,0.320496,0.336175,N/A,N/A
20,0.318627,0.335182,0.452734,0.453093
21,0.316885,0.331989,N/A,N/A
22,0.315546,0.334415,N/A,N/A
23,0.313654,0.327446,N/A,N/A
24,0.311982,0.333500,N/A,N/A
25,0.310646,0.329243,0.441585,0.441724
26,0.308591,0.327854,N/A,N/A
27,0.307372,0.326353,N/A,N/A
28,0.306525,0.331565,N/A,N/A
29,0.305132,0.327935,N/A,N/A
30,0.303804,0.327250,0.437576,0.438280
31,0.302688,0.327975,N/A,N/A
32,0.301533,0.325531,N/A,N/A
33,0.300693,0.325965,N/A,N/A
34,0.299954,0.325185,N/A,N/A
35,0.298344,0.324143,0.432904,0.432870
36,0.297866,0.324664,N/A,N/A
37,0.296683,0.325008,N/A,N/A
38,0.295551,0.325286,N/A,N/A
39,0.294629,0.324474,N/A,N/A
40,0.293829,0.321768,0.431202,0.431943
41,0.292883,0.320448,N/A,N/A
42,0.292183,0.322278,N/A,N/A
43,0.291508,0.323225,N/A,N/A
44,0.290690,0.322887,N/A,N/A
45,0.289990,0.323559,0.428712,0.429034
46,0.289093,0.322986,N/A,N/A
47,0.288240,0.323206,N/A,N/A
48,0.288011,0.323975,N/A,N/A
49,0.286940,0.322744,N/A,N/A
50,0.286020,0.319652,0.427948,0.428145
51,0.285263,0.321717,N/A,N/A
52,0.284554,0.322718,N/A,N/A
53,0.284350,0.324013,N/A,N/A
54,0.283729,0.323974,N/A,N/A
55,0.283190,0.320016,0.427543,0.428069
56,0.282349,0.321579,N/A,N/A
57,0.282143,0.320956,N/A,N/A
58,0.281300,0.323152,N/A,N/A
59,0.280901,0.321621,N/A,N/A
60,0.279853,0.320324,0.425719,0.425646
61,0.279192,0.319417,N/A,N/A
62,0.278961,0.321778,N/A,N/A
63,0.278450,0.321207,N/A,N/A
64,0.277966,0.320472,N/A,N/A
65,0.277415,0.320083,0.425367,0.425400
66,0.276323,0.320429,N/A,N/A
67,0.275965,0.321918,N/A,N/A
68,0.275349,0.320204,N/A,N/A
69,0.275141,0.321301,N/A,N/A
70,0.275103,0.322240,0.423842,0.425032
71,0.275278,0.320721,N/A,N/A
72,0.274014,0.318986,N/A,N/A
73,0.273437,0.321229,N/A,N/A
74,0.273065,0.322504,N/A,N/A
75,0.272373,0.321765,0.425597,0.425693
76,0.272471,0.321813,N/A,N/A
77,0.271907,0.319807,N/A,N/A
78,0.270953,0.321643,N/A,N/A
79,0.271241,0.321962,N/A,N/A
80,0.270301,0.318964,0.421734,0.422080
81,0.269696,0.321257,N/A,N/A
82,0.269367,0.323123,N/A,N/A
83,0.268728,0.319926,N/A,N/A
84,0.268453,0.321426,N/A,N/A
85,0.268304,0.322946,0.422322,0.422468
86,0.267406,0.319550,N/A,N/A
87,0.266773,0.320177,N/A,N/A
88,0.266579,0.318368,N/A,N/A
89,0.266396,0.317322,N/A,N/A
90,0.265977,0.317477,0.421801,0.422101
91,0.265433,0.323545,N/A,N/A
92,0.264860,0.319530,N/A,N/A
93,0.265012,0.322075,N/A,N/A
94,0.263983,0.323133,N/A,N/A
95,0.263979,0.319146,0.420558,0.420962
96,0.263250,0.322016,N/A,N/A
97,0.263351,0.324255,N/A,N/A
98,0.262924,0.322704,N/A,N/A
99,0.262656,0.321862,N/A,N/A
100,0.262270,0.320557,0.421181,0.421582
