Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_z1_L1,Val_TACOs_z2_L1
1,0.597949,0.449844,N/A,N/A
2,0.436601,0.429163,N/A,N/A
3,0.424306,0.419411,N/A,N/A
4,0.418215,0.413875,N/A,N/A
5,0.411596,0.404656,0.518751,0.519007
6,0.401896,0.397889,N/A,N/A
7,0.392367,0.391500,N/A,N/A
8,0.383400,0.383907,N/A,N/A
9,0.375753,0.377633,N/A,N/A
10,0.369757,0.375765,0.477247,0.477712
11,0.364127,0.368191,N/A,N/A
12,0.359064,0.364809,N/A,N/A
13,0.354837,0.360759,N/A,N/A
14,0.350743,0.358190,N/A,N/A
15,0.347185,0.357362,0.453682,0.454005
16,0.343958,0.353705,N/A,N/A
17,0.341255,0.349564,N/A,N/A
18,0.338526,0.352033,N/A,N/A
19,0.335871,0.348026,N/A,N/A
20,0.333639,0.350753,0.444946,0.444953
21,0.331472,0.345091,N/A,N/A
22,0.329507,0.347869,N/A,N/A
23,0.327296,0.343220,N/A,N/A
24,0.325254,0.343270,N/A,N/A
25,0.323666,0.343546,0.437334,0.437929
26,0.321934,0.340370,N/A,N/A
27,0.320536,0.340680,N/A,N/A
28,0.318623,0.341502,N/A,N/A
29,0.316843,0.343737,N/A,N/A
30,0.315515,0.340670,0.432099,0.433192
31,0.314308,0.338355,N/A,N/A
32,0.312858,0.339110,N/A,N/A
33,0.311617,0.337133,N/A,N/A
34,0.310212,0.337456,N/A,N/A
35,0.308996,0.341734,0.427597,0.428480
36,0.308030,0.338728,N/A,N/A
37,0.306926,0.334949,N/A,N/A
38,0.305909,0.338830,N/A,N/A
39,0.304572,0.334892,N/A,N/A
40,0.303431,0.336982,0.425260,0.425638
41,0.302691,0.334341,N/A,N/A
42,0.301378,0.335177,N/A,N/A
43,0.300573,0.335753,N/A,N/A
44,0.299664,0.333302,N/A,N/A
45,0.298686,0.334822,0.424920,0.425264
46,0.297786,0.336344,N/A,N/A
47,0.296813,0.331391,N/A,N/A
48,0.295799,0.332158,N/A,N/A
49,0.295137,0.334721,N/A,N/A
50,0.294154,0.333545,0.422201,0.423142
51,0.293319,0.336286,N/A,N/A
52,0.292419,0.333916,N/A,N/A
53,0.291671,0.336654,N/A,N/A
54,0.291007,0.336895,N/A,N/A
55,0.289873,0.333310,0.421469,0.422369
56,0.289255,0.337441,N/A,N/A
57,0.288592,0.336503,N/A,N/A
58,0.288068,0.335984,N/A,N/A
59,0.286987,0.334278,N/A,N/A
60,0.286519,0.333371,0.422281,0.422705
61,0.285654,0.335767,N/A,N/A
62,0.285114,0.337378,N/A,N/A
63,0.284152,0.335825,N/A,N/A
64,0.283717,0.333117,N/A,N/A
65,0.282943,0.336809,0.420806,0.420766
66,0.282166,0.337741,N/A,N/A
67,0.281766,0.334765,N/A,N/A
68,0.281155,0.335264,N/A,N/A
69,0.280468,0.339156,N/A,N/A
70,0.279750,0.338660,0.420472,0.420443
71,0.279052,0.334164,N/A,N/A
72,0.278355,0.336861,N/A,N/A
73,0.277763,0.337208,N/A,N/A
74,0.277109,0.335685,N/A,N/A
75,0.276556,0.336724,0.421480,0.421212
76,0.275958,0.339764,N/A,N/A
77,0.275377,0.337118,N/A,N/A
78,0.274984,0.334613,N/A,N/A
79,0.274190,0.339042,N/A,N/A
80,0.273684,0.337973,0.420867,0.420961
81,0.273189,0.337162,N/A,N/A
82,0.272417,0.338987,N/A,N/A
83,0.271914,0.337805,N/A,N/A
84,0.271441,0.338993,N/A,N/A
85,0.270914,0.335321,0.422165,0.422163
86,0.270580,0.340610,N/A,N/A
87,0.269843,0.337535,N/A,N/A
88,0.269440,0.340537,N/A,N/A
89,0.268849,0.339089,N/A,N/A
90,0.268499,0.337867,0.421376,0.421720
91,0.267852,0.340747,N/A,N/A
92,0.267332,0.337209,N/A,N/A
93,0.266821,0.339052,N/A,N/A
94,0.266408,0.339397,N/A,N/A
95,0.265926,0.338101,0.421730,0.421900
96,0.265330,0.338481,N/A,N/A
97,0.264887,0.340839,N/A,N/A
98,0.264479,0.339992,N/A,N/A
99,0.263962,0.341712,N/A,N/A
100,0.263552,0.339480,0.421891,0.421932
