Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.632594,1.377703,0.574284,N/A
2,1.229168,1.123451,0.680175,N/A
3,1.091965,1.066767,0.699990,N/A
4,1.055415,1.044746,0.705587,N/A
5,1.030943,1.027953,0.712976,N/A
6,1.013984,1.013287,0.716899,N/A
7,0.995364,0.996690,0.721769,N/A
8,0.979243,0.993504,0.719362,N/A
9,0.964311,0.976110,0.727195,N/A
10,0.948704,0.963141,0.727127,N/A
11,0.934212,0.952809,0.732227,N/A
12,0.920675,0.946599,0.733771,N/A
13,0.906947,0.937783,0.736193,N/A
14,0.896553,0.944088,0.734790,N/A
15,0.885375,0.920930,0.740544,N/A
16,0.873324,0.926570,0.741329,N/A
17,0.865682,0.921506,0.741803,N/A
18,0.854487,0.917410,0.743161,N/A
19,0.845318,0.905572,0.743590,N/A
20,0.835975,0.902956,0.744797,N/A
21,0.829106,0.900766,0.744973,N/A
22,0.821947,0.899195,0.746972,N/A
23,0.813016,0.898848,0.746081,N/A
24,0.804739,0.897471,0.747752,N/A
25,0.796506,0.901181,0.745122,1.095315
26,0.794040,0.886990,0.749164,N/A
27,0.784545,0.896330,0.747369,N/A
28,0.779583,0.888414,0.747332,N/A
29,0.772517,0.897253,0.747259,N/A
30,0.765629,0.887842,0.747737,N/A
31,0.761129,0.886345,0.750076,N/A
32,0.754701,0.885080,0.748779,N/A
33,0.750071,0.877607,0.750941,N/A
34,0.744833,0.888004,0.752435,N/A
35,0.738265,0.898352,0.751399,N/A
36,0.736993,0.887970,0.748304,N/A
37,0.729633,0.885496,0.753270,N/A
38,0.725085,0.897396,0.751327,N/A
39,0.719558,0.885458,0.748486,N/A
40,0.717201,0.884859,0.753245,N/A
41,0.713213,0.886876,0.752217,N/A
42,0.706983,0.902392,0.751579,N/A
43,0.704579,0.887722,0.751114,N/A
44,0.699046,0.896437,0.752041,N/A
45,0.696689,0.894630,0.749021,N/A
46,0.692078,0.898035,0.750899,N/A
47,0.688078,0.890402,0.751013,N/A
48,0.685513,0.899783,0.750805,N/A
49,0.680789,0.901715,0.751207,N/A
50,0.677050,0.888943,0.753456,1.056470
51,0.675474,0.899324,0.750961,N/A
52,0.669743,0.900351,0.750774,N/A
53,0.666654,0.911171,0.753856,N/A
