Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.631615,0.505914,N/A
2,0.407441,0.388315,N/A
3,0.321179,0.320943,N/A
4,0.277049,0.289170,N/A
5,0.247290,0.268445,0.895155
6,0.227869,0.251504,N/A
7,0.215497,0.227654,N/A
8,0.203542,0.227012,N/A
9,0.195954,0.214091,N/A
10,0.188989,0.223929,0.898768
11,0.183806,0.211875,N/A
12,0.177945,0.209907,N/A
13,0.175211,0.193679,N/A
14,0.171214,0.186362,N/A
15,0.166408,0.192642,0.813734
16,0.164307,0.182155,N/A
17,0.162095,0.180706,N/A
18,0.159426,0.196709,N/A
19,0.157758,0.175724,N/A
20,0.154383,0.172972,0.793740
21,0.152635,0.171216,N/A
22,0.150320,0.172473,N/A
23,0.149320,0.190452,N/A
24,0.149762,0.166864,N/A
25,0.148937,0.187054,0.846115
26,0.147457,0.167098,N/A
27,0.142773,0.167533,N/A
28,0.142667,0.162089,N/A
29,0.142119,0.166301,N/A
30,0.140747,0.163834,0.809874
31,0.139873,0.157492,N/A
32,0.138786,0.166270,N/A
33,0.138568,0.160500,N/A
34,0.137431,0.153760,N/A
35,0.135483,0.172401,0.841552
36,0.135359,0.154883,N/A
37,0.133142,0.166447,N/A
38,0.133290,0.159527,N/A
39,0.131679,0.161610,N/A
40,0.132250,0.157237,0.803827
41,0.130420,0.155339,N/A
42,0.129302,0.153225,N/A
43,0.129996,0.149124,N/A
44,0.128392,0.154107,N/A
45,0.128114,0.155898,0.791795
46,0.125104,0.164121,N/A
47,0.129555,0.149633,N/A
48,0.127115,0.155082,N/A
49,0.125299,0.151957,N/A
50,0.126039,0.152046,0.810425
51,0.124627,0.146948,N/A
52,0.123423,0.150098,N/A
53,0.121569,0.150920,N/A
54,0.121109,0.147004,N/A
55,0.120978,0.147706,0.788873
56,0.120047,0.146854,N/A
57,0.121894,0.149081,N/A
58,0.119980,0.151059,N/A
59,0.121054,0.154405,N/A
60,0.121061,0.156979,0.815292
61,0.121024,0.144078,N/A
62,0.118743,0.143130,N/A
63,0.118779,0.145203,N/A
64,0.118084,0.141587,N/A
65,0.117314,0.146772,0.804983
66,0.115765,0.145364,N/A
67,0.115809,0.144229,N/A
68,0.116385,0.141628,N/A
69,0.115408,0.149743,N/A
70,0.115699,0.144706,0.809802
71,0.113854,0.148077,N/A
72,0.113940,0.141515,N/A
73,0.112758,0.146848,N/A
74,0.113744,0.142890,N/A
75,0.114530,0.150935,0.826579
76,0.114900,0.138613,N/A
77,0.112599,0.138357,N/A
78,0.110676,0.140111,N/A
79,0.111169,0.136497,N/A
80,0.109065,0.143359,0.809342
81,0.111858,0.144298,N/A
82,0.111915,0.144004,N/A
83,0.111833,0.147435,N/A
84,0.110360,0.136774,N/A
85,0.109005,0.136790,0.799423
86,0.109690,0.154334,N/A
87,0.109710,0.143080,N/A
88,0.109956,0.135056,N/A
89,0.107583,0.143341,N/A
90,0.107949,0.142221,0.801611
91,0.108340,0.142423,N/A
92,0.105923,0.144700,N/A
93,0.108730,0.141397,N/A
94,0.107642,0.147788,N/A
95,0.107665,0.142959,0.818640
96,0.105314,0.138943,N/A
97,0.105684,0.142154,N/A
98,0.105321,0.134861,N/A
99,0.106313,0.142276,N/A
100,0.104427,0.139012,0.822358
