Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.614088,0.478308,N/A
2,0.378767,0.369190,N/A
3,0.292947,0.285582,N/A
4,0.246038,0.275867,N/A
5,0.218482,0.239053,1.010464
6,0.198910,0.251451,N/A
7,0.188812,0.239936,N/A
8,0.176814,0.204762,N/A
9,0.166664,0.202918,N/A
10,0.159885,0.190575,1.066007
11,0.154889,0.195757,N/A
12,0.150491,0.172653,N/A
13,0.145024,0.173508,N/A
14,0.141612,0.174203,N/A
15,0.137668,0.151284,0.950243
16,0.132377,0.155355,N/A
17,0.131095,0.148973,N/A
18,0.129006,0.152919,N/A
19,0.126991,0.163187,N/A
20,0.126657,0.162850,1.118840
21,0.127526,0.166587,N/A
22,0.124096,0.158564,N/A
23,0.121305,0.143039,N/A
24,0.117828,0.144576,N/A
25,0.117313,0.134775,0.992832
26,0.115893,0.142614,N/A
27,0.116577,0.125002,N/A
28,0.113025,0.154887,N/A
29,0.116395,0.136635,N/A
30,0.112684,0.134156,0.997449
31,0.111129,0.129147,N/A
32,0.109482,0.128253,N/A
33,0.108280,0.119748,N/A
34,0.107230,0.127267,N/A
35,0.106773,0.125794,1.006262
36,0.106319,0.141602,N/A
37,0.107690,0.142244,N/A
38,0.109199,0.133725,N/A
39,0.106593,0.125227,N/A
40,0.103859,0.115294,0.948179
41,0.101140,0.118511,N/A
42,0.100179,0.121948,N/A
43,0.100109,0.132734,N/A
44,0.101729,0.118322,N/A
45,0.099700,0.111259,0.937845
46,0.098752,0.112094,N/A
47,0.097879,0.117352,N/A
48,0.098644,0.115041,N/A
49,0.097411,0.122987,N/A
50,0.100406,0.114488,0.977845
