Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.399615,0.274961,N/A
2,0.265255,0.262455,N/A
3,0.258524,0.253354,N/A
4,0.252777,0.252588,N/A
5,0.250669,0.249907,0.302033
6,0.247678,0.246302,N/A
7,0.243373,0.244640,N/A
8,0.239328,0.241294,N/A
9,0.235788,0.240539,N/A
10,0.233286,0.236794,0.284227
11,0.230595,0.236804,N/A
12,0.228258,0.233664,N/A
13,0.225770,0.236796,N/A
14,0.223766,0.236086,N/A
15,0.222202,0.234984,0.277296
16,0.220645,0.235630,N/A
17,0.218941,0.235545,N/A
18,0.217507,0.230310,N/A
19,0.216132,0.232840,N/A
20,0.214580,0.229657,0.272317
21,0.213201,0.230567,N/A
22,0.211874,0.231336,N/A
23,0.210266,0.231630,N/A
24,0.209532,0.230420,N/A
25,0.208160,0.233225,0.271045
26,0.206755,0.232163,N/A
27,0.205853,0.230982,N/A
28,0.204994,0.236012,N/A
29,0.203675,0.233276,N/A
30,0.203024,0.235080,0.270815
31,0.201579,0.235929,N/A
32,0.200968,0.233902,N/A
33,0.199812,0.232874,N/A
34,0.198720,0.230686,N/A
35,0.197761,0.236500,0.272492
36,0.197278,0.233833,N/A
37,0.196406,0.233927,N/A
38,0.195078,0.236347,N/A
39,0.195003,0.236595,N/A
40,0.194054,0.233895,0.270966
41,0.192722,0.234612,N/A
42,0.192101,0.236510,N/A
43,0.191433,0.236593,N/A
44,0.190387,0.237358,N/A
45,0.189564,0.238046,0.274017
46,0.188801,0.236423,N/A
47,0.187866,0.238925,N/A
48,0.187555,0.237135,N/A
49,0.186721,0.238553,N/A
50,0.185922,0.242550,0.277344
1,0.370472,0.245967,N/A
2,0.228937,0.222162,N/A
3,0.219026,0.218022,N/A
4,0.214909,0.213626,N/A
5,0.211055,0.209904,0.289061
6,0.208259,0.211585,N/A
7,0.205294,0.206047,N/A
8,0.202543,0.204260,N/A
9,0.199850,0.204052,N/A
10,0.197502,0.204409,0.275771
11,0.195499,0.202032,N/A
12,0.193359,0.199735,N/A
13,0.191245,0.199668,N/A
14,0.189612,0.200451,N/A
15,0.188045,0.197312,0.266759
16,0.186567,0.197954,N/A
17,0.185280,0.198040,N/A
18,0.183919,0.195235,N/A
19,0.182658,0.200932,N/A
20,0.181689,0.193897,0.263002
