Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.407789,0.302655,N/A
2,0.296531,0.294444,N/A
3,0.289071,0.294466,N/A
4,0.286222,0.286207,N/A
5,0.281162,0.279130,0.307916
6,0.277026,0.276026,N/A
7,0.272205,0.272497,N/A
8,0.267197,0.274236,N/A
9,0.263695,0.271942,N/A
10,0.260849,0.267996,0.297184
11,0.258176,0.267287,N/A
12,0.255696,0.269412,N/A
13,0.253318,0.267318,N/A
14,0.250715,0.266519,N/A
15,0.248950,0.261350,0.294407
16,0.246499,0.264279,N/A
17,0.244468,0.261200,N/A
18,0.242582,0.262952,N/A
19,0.241739,0.260790,N/A
20,0.239339,0.260365,0.291660
21,0.238048,0.258808,N/A
22,0.236437,0.259268,N/A
23,0.235022,0.257531,N/A
24,0.233347,0.256662,N/A
25,0.231999,0.256876,0.288396
26,0.230742,0.258962,N/A
27,0.229451,0.258996,N/A
28,0.228180,0.257673,N/A
29,0.227194,0.259833,N/A
30,0.225799,0.259292,0.289064
31,0.224699,0.260331,N/A
32,0.223745,0.258803,N/A
33,0.223118,0.261377,N/A
34,0.222037,0.259991,N/A
35,0.220981,0.259421,0.289838
36,0.220280,0.258759,N/A
37,0.219690,0.259749,N/A
38,0.218985,0.259089,N/A
39,0.218248,0.258072,N/A
40,0.217675,0.260389,0.289797
41,0.217290,0.260753,N/A
42,0.217081,0.258715,N/A
43,0.216577,0.261238,N/A
44,0.216276,0.259560,N/A
45,0.215865,0.260469,0.290453
46,0.215765,0.261453,N/A
47,0.215541,0.260874,N/A
48,0.215446,0.261256,N/A
49,0.215318,0.260840,N/A
50,0.215475,0.259567,0.290578
