Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.420831,0.315904,N/A
2,0.309098,0.306703,N/A
3,0.303083,0.304160,N/A
4,0.298653,0.295751,N/A
5,0.294218,0.295081,0.485919
6,0.290203,0.291391,N/A
7,0.285920,0.293428,N/A
8,0.282494,0.289035,N/A
9,0.279195,0.284446,N/A
10,0.276151,0.281413,0.463276
11,0.273419,0.282208,N/A
12,0.270681,0.277409,N/A
13,0.268450,0.277777,N/A
14,0.266648,0.275157,N/A
15,0.264607,0.277925,0.459561
16,0.262852,0.276809,N/A
17,0.260598,0.274771,N/A
18,0.258915,0.275666,N/A
19,0.257264,0.271332,N/A
20,0.255948,0.274195,0.451109
21,0.254243,0.270171,N/A
22,0.253076,0.272135,N/A
23,0.251499,0.269135,N/A
24,0.250221,0.272804,N/A
25,0.248913,0.270426,0.447348
26,0.247469,0.268652,N/A
27,0.246243,0.271915,N/A
28,0.245229,0.269533,N/A
29,0.244597,0.267634,N/A
30,0.243292,0.269197,0.442568
31,0.242394,0.269785,N/A
32,0.241439,0.268554,N/A
33,0.240117,0.268373,N/A
34,0.239362,0.270691,N/A
35,0.238304,0.268441,0.441798
36,0.237835,0.269074,N/A
37,0.237209,0.268972,N/A
38,0.236794,0.269501,N/A
39,0.235753,0.269196,N/A
40,0.235459,0.269505,0.440275
41,0.234889,0.269135,N/A
42,0.234647,0.268437,N/A
43,0.234104,0.267824,N/A
44,0.233780,0.268039,N/A
45,0.233209,0.268256,0.439358
46,0.233219,0.268512,N/A
47,0.233204,0.268561,N/A
48,0.233243,0.267940,N/A
49,0.233149,0.270936,N/A
50,0.233021,0.268758,0.439048
