Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.509299,0.347418,N/A
2,0.306454,0.281587,N/A
3,0.263706,0.249055,N/A
4,0.236191,0.233581,N/A
5,0.215538,0.200820,0.052988
6,0.196108,0.200332,N/A
7,0.183623,0.189102,N/A
8,0.174524,0.167768,N/A
9,0.165294,0.163016,N/A
10,0.157962,0.159749,0.053788
11,0.152538,0.149331,N/A
12,0.146567,0.149212,N/A
13,0.142402,0.141144,N/A
14,0.138165,0.145376,N/A
15,0.134982,0.136262,0.050955
16,0.131645,0.128546,N/A
17,0.128570,0.127223,N/A
18,0.126186,0.134125,N/A
19,0.124229,0.123929,N/A
20,0.122193,0.122241,0.049305
21,0.120374,0.123396,N/A
22,0.118646,0.113929,N/A
23,0.116828,0.117768,N/A
24,0.115214,0.116015,N/A
25,0.113766,0.117995,0.049573
26,0.112542,0.113624,N/A
27,0.110937,0.114850,N/A
28,0.110120,0.113241,N/A
29,0.109085,0.116872,N/A
30,0.107913,0.109824,0.047648
31,0.106508,0.113423,N/A
32,0.105647,0.112325,N/A
33,0.104428,0.106296,N/A
34,0.103684,0.103937,N/A
35,0.102612,0.111034,0.048389
36,0.102225,0.101130,N/A
37,0.101526,0.102496,N/A
38,0.100448,0.100748,N/A
39,0.099793,0.101163,N/A
40,0.099223,0.098203,0.045879
41,0.098304,0.098975,N/A
42,0.097683,0.103110,N/A
43,0.097113,0.101989,N/A
44,0.096749,0.096372,N/A
45,0.096257,0.102025,0.047700
46,0.095590,0.096319,N/A
47,0.095011,0.092773,N/A
48,0.094243,0.095103,N/A
49,0.093850,0.093597,N/A
50,0.093624,0.093025,0.045203
