Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.441518,0.328461,N/A
2,0.320704,0.321724,N/A
3,0.316079,0.315420,N/A
4,0.311420,0.307916,N/A
5,0.309333,0.308265,0.558018
6,0.306869,0.305961,N/A
7,0.303900,0.306307,N/A
8,0.301614,0.301153,N/A
9,0.299087,0.304653,N/A
10,0.296880,0.298145,0.560265
11,0.294721,0.295767,N/A
12,0.292771,0.300309,N/A
13,0.290781,0.299720,N/A
14,0.289721,0.294784,N/A
15,0.287885,0.294427,0.563111
16,0.286725,0.295911,N/A
17,0.285492,0.293340,N/A
18,0.284029,0.294203,N/A
19,0.282752,0.292228,N/A
20,0.282642,0.293824,0.568495
21,0.280796,0.291646,N/A
22,0.280102,0.297907,N/A
23,0.279458,0.291315,N/A
24,0.277949,0.290334,N/A
25,0.276830,0.291438,0.566516
26,0.276962,0.294608,N/A
27,0.275532,0.292430,N/A
28,0.274689,0.291524,N/A
29,0.273742,0.291055,N/A
30,0.273387,0.291959,0.572810
31,0.272213,0.296467,N/A
32,0.272124,0.290942,N/A
33,0.270968,0.292823,N/A
34,0.269888,0.291276,N/A
35,0.269704,0.293203,0.574205
36,0.269575,0.291870,N/A
37,0.268908,0.294723,N/A
38,0.267879,0.291245,N/A
39,0.267437,0.290382,N/A
40,0.266644,0.295972,0.572498
41,0.266166,0.292305,N/A
42,0.265641,0.293143,N/A
43,0.264833,0.294756,N/A
44,0.264601,0.294894,N/A
45,0.263718,0.295413,0.573397
46,0.262920,0.294061,N/A
47,0.262666,0.292906,N/A
48,0.262145,0.300049,N/A
49,0.261367,0.296449,N/A
50,0.260725,0.300134,0.577159
