Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.450440,0.331788,N/A
2,0.318962,0.314780,N/A
3,0.310469,0.311262,N/A
4,0.305579,0.307258,N/A
5,0.300091,0.302734,0.520063
6,0.294076,0.296613,N/A
7,0.288690,0.291412,N/A
8,0.284293,0.292523,N/A
9,0.280135,0.288361,N/A
10,0.277277,0.284429,0.479258
11,0.274435,0.280425,N/A
12,0.271232,0.278747,N/A
13,0.268818,0.275591,N/A
14,0.266345,0.275712,N/A
15,0.264623,0.275952,0.462924
16,0.263221,0.274156,N/A
17,0.261523,0.271713,N/A
18,0.260032,0.271283,N/A
19,0.258569,0.270822,N/A
20,0.257164,0.271404,0.454603
21,0.255313,0.268432,N/A
22,0.254570,0.269566,N/A
23,0.253744,0.268519,N/A
24,0.252747,0.270378,N/A
25,0.251450,0.266678,0.445620
26,0.249991,0.268488,N/A
27,0.249252,0.270275,N/A
28,0.248342,0.267192,N/A
29,0.247291,0.265699,N/A
30,0.246566,0.268008,0.444458
31,0.245849,0.264341,N/A
32,0.245131,0.265732,N/A
33,0.244085,0.264036,N/A
34,0.243317,0.263958,N/A
35,0.243039,0.264863,0.439179
36,0.241946,0.263227,N/A
37,0.241216,0.265822,N/A
38,0.240238,0.268139,N/A
39,0.240099,0.260624,N/A
40,0.239344,0.265348,0.437900
41,0.239136,0.263922,N/A
42,0.237937,0.265161,N/A
43,0.237083,0.266429,N/A
44,0.236759,0.261548,N/A
45,0.235704,0.264947,0.433106
46,0.235265,0.264025,N/A
47,0.235043,0.265270,N/A
48,0.234333,0.266061,N/A
49,0.232892,0.266287,N/A
50,0.232923,0.261275,0.432490
