Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.422253,0.288436,N/A
2,0.281584,0.275172,N/A
3,0.274078,0.281955,N/A
4,0.271048,0.271621,N/A
5,0.267814,0.267647,0.536412
6,0.265183,0.265805,N/A
7,0.262218,0.262532,N/A
8,0.259193,0.262020,N/A
9,0.256312,0.259549,N/A
10,0.253088,0.255999,0.507787
11,0.250492,0.251224,N/A
12,0.248249,0.250779,N/A
13,0.245986,0.250587,N/A
14,0.243874,0.247501,N/A
15,0.242887,0.244301,0.484382
16,0.240887,0.246204,N/A
17,0.239420,0.245350,N/A
18,0.238064,0.245100,N/A
19,0.236783,0.244410,N/A
20,0.235205,0.243595,0.474092
21,0.234147,0.244482,N/A
22,0.232645,0.243615,N/A
23,0.232434,0.240881,N/A
24,0.231223,0.242550,N/A
25,0.230611,0.242553,0.469736
26,0.229607,0.239034,N/A
27,0.228623,0.239006,N/A
28,0.227798,0.238135,N/A
29,0.226845,0.239671,N/A
30,0.226248,0.239175,0.462479
31,0.225460,0.236488,N/A
32,0.224848,0.240396,N/A
33,0.224409,0.237692,N/A
34,0.223295,0.237266,N/A
35,0.222734,0.239568,0.454074
36,0.221817,0.236329,N/A
37,0.221544,0.235328,N/A
38,0.221199,0.235741,N/A
39,0.220418,0.234985,N/A
40,0.219357,0.239574,0.462085
41,0.219579,0.237349,N/A
42,0.218569,0.236226,N/A
43,0.218463,0.235180,N/A
44,0.217746,0.237871,N/A
45,0.216527,0.237542,0.453502
46,0.216200,0.237299,N/A
47,0.215975,0.239290,N/A
48,0.215280,0.236050,N/A
49,0.215568,0.235904,N/A
50,0.214430,0.237515,0.448233
