Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.338602,0.332521,N/A
2,0.331420,0.330714,N/A
3,0.328308,0.325915,N/A
4,0.324913,0.323844,N/A
5,0.321736,0.318537,0.511403
6,0.317661,0.316418,N/A
7,0.313013,0.313292,N/A
8,0.309185,0.311572,N/A
9,0.306024,0.311558,N/A
10,0.302819,0.307296,0.476733
11,0.300469,0.305616,N/A
12,0.298332,0.302736,N/A
13,0.296495,0.300736,N/A
14,0.294943,0.301538,N/A
15,0.293075,0.296966,0.466398
16,0.292171,0.298490,N/A
17,0.290931,0.295527,N/A
18,0.289528,0.295272,N/A
19,0.289093,0.297725,N/A
20,0.287728,0.292895,0.456254
21,0.287274,0.293320,N/A
22,0.286633,0.292897,N/A
23,0.285651,0.292338,N/A
24,0.285656,0.293142,N/A
25,0.284477,0.289549,0.451066
26,0.284087,0.292100,N/A
27,0.283847,0.290983,N/A
28,0.283186,0.292055,N/A
29,0.282515,0.290944,N/A
30,0.282600,0.291515,0.449180
31,0.282095,0.290887,N/A
32,0.281368,0.292529,N/A
33,0.282294,0.291724,N/A
34,0.280647,0.288085,N/A
35,0.280530,0.289740,0.446790
36,0.279320,0.289557,N/A
37,0.279103,0.290250,N/A
38,0.278827,0.288790,N/A
39,0.279690,0.290989,N/A
40,0.279221,0.294031,0.451627
41,0.280010,0.289912,N/A
42,0.278376,0.289085,N/A
43,0.278095,0.288527,N/A
44,0.278480,0.287580,N/A
45,0.278553,0.288880,0.445834
46,0.278863,0.289121,N/A
47,0.276881,0.288868,N/A
48,0.277367,0.287576,N/A
49,0.276036,0.291647,N/A
50,0.276570,0.288483,0.440389
