Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.453138,0.346890,N/A
2,0.343360,0.339377,N/A
3,0.336410,0.338320,N/A
4,0.330051,0.331202,N/A
5,0.323934,0.322267,0.509362
6,0.317751,0.318881,N/A
7,0.312825,0.313422,N/A
8,0.307433,0.312455,N/A
9,0.303537,0.310312,N/A
10,0.300608,0.310489,0.472131
11,0.297822,0.303135,N/A
12,0.295419,0.304882,N/A
13,0.293065,0.301939,N/A
14,0.291171,0.301409,N/A
15,0.288915,0.298994,0.460454
16,0.286748,0.298951,N/A
17,0.285132,0.295660,N/A
18,0.283793,0.295746,N/A
19,0.281957,0.294792,N/A
20,0.281151,0.292495,0.451748
21,0.279656,0.294813,N/A
22,0.277931,0.294340,N/A
23,0.276759,0.293442,N/A
24,0.275961,0.292068,N/A
25,0.274865,0.290313,0.446550
26,0.273802,0.293411,N/A
27,0.272799,0.292468,N/A
28,0.272550,0.292456,N/A
29,0.271289,0.288777,N/A
30,0.269860,0.290809,0.441938
31,0.268955,0.289967,N/A
32,0.268164,0.290461,N/A
33,0.267126,0.292223,N/A
34,0.266645,0.288160,N/A
35,0.265462,0.286754,0.435736
36,0.264740,0.290899,N/A
37,0.264052,0.286980,N/A
38,0.262840,0.287114,N/A
39,0.262369,0.289038,N/A
40,0.262765,0.288791,0.437709
41,0.261858,0.287805,N/A
42,0.261068,0.288928,N/A
43,0.260466,0.285100,N/A
44,0.259107,0.287434,N/A
45,0.258200,0.286949,0.433754
46,0.257595,0.286839,N/A
47,0.257729,0.285612,N/A
48,0.257008,0.287066,N/A
49,0.256363,0.288410,N/A
50,0.255809,0.287568,0.431820
