Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.446767,0.348951,N/A
2,0.342729,0.343791,N/A
3,0.336006,0.333417,N/A
4,0.329597,0.332172,N/A
5,0.323584,0.323026,0.511507
6,0.316746,0.319867,N/A
7,0.312082,0.314367,N/A
8,0.306902,0.311555,N/A
9,0.303185,0.307898,N/A
10,0.299816,0.305792,0.477854
11,0.297099,0.306350,N/A
12,0.294472,0.303635,N/A
13,0.291997,0.302641,N/A
14,0.290005,0.300610,N/A
15,0.287547,0.298701,0.463487
16,0.285761,0.298417,N/A
17,0.284349,0.296616,N/A
18,0.282568,0.295059,N/A
19,0.280917,0.294842,N/A
20,0.279205,0.294691,0.457182
21,0.278000,0.293511,N/A
22,0.276792,0.291466,N/A
23,0.275569,0.290781,N/A
24,0.274101,0.293104,N/A
25,0.272955,0.291476,0.450525
26,0.272293,0.290041,N/A
27,0.271046,0.292079,N/A
28,0.270092,0.289618,N/A
29,0.268890,0.293756,N/A
30,0.268042,0.290357,0.445985
31,0.266995,0.290032,N/A
32,0.266294,0.289270,N/A
33,0.265780,0.291496,N/A
34,0.264547,0.289952,N/A
35,0.263998,0.291004,0.441071
36,0.263052,0.289827,N/A
37,0.261924,0.288048,N/A
38,0.261212,0.286366,N/A
39,0.260559,0.288480,N/A
40,0.259811,0.288618,0.440637
41,0.259403,0.289588,N/A
42,0.258470,0.290310,N/A
43,0.257801,0.286468,N/A
44,0.257150,0.287274,N/A
45,0.256241,0.288798,0.441177
46,0.256041,0.289027,N/A
47,0.255155,0.284469,N/A
48,0.254444,0.288096,N/A
49,0.253543,0.290298,N/A
50,0.253189,0.286518,0.437263
