Epoch,Train_Total_L1,Train_Z1_L1,Train_Xt_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.739120,0.458341,0.280779,0.468301,N/A
2,0.441891,0.349731,0.092160,0.426636,N/A
3,0.417354,0.343390,0.073963,0.412515,N/A
4,0.407182,0.340823,0.066359,0.402268,N/A
5,0.400989,0.339605,0.061384,0.395051,0.539699
6,0.396126,0.338187,0.057939,0.395214,N/A
7,0.393423,0.337483,0.055941,0.394076,N/A
8,0.390237,0.335726,0.054512,0.390172,N/A
9,0.387420,0.334681,0.052739,0.386518,N/A
10,0.385193,0.333729,0.051464,0.382965,0.534016
11,0.382811,0.332584,0.050227,0.383126,N/A
12,0.380971,0.331662,0.049309,0.384299,N/A
13,0.379477,0.330868,0.048608,0.379067,N/A
14,0.377563,0.329522,0.048042,0.381554,N/A
15,0.376310,0.328550,0.047760,0.379280,0.530135
16,0.374806,0.327668,0.047138,0.379725,N/A
17,0.372652,0.326175,0.046477,0.373352,N/A
18,0.371575,0.325145,0.046430,0.370907,N/A
19,0.369973,0.323850,0.046123,0.370134,N/A
20,0.367930,0.321761,0.046169,0.370313,0.523665
21,0.366040,0.320282,0.045758,0.370415,N/A
22,0.364262,0.318538,0.045724,0.366936,N/A
23,0.362595,0.316914,0.045681,0.363745,N/A
24,0.360653,0.315020,0.045633,0.366708,N/A
25,0.359187,0.313344,0.045843,0.361191,0.508241
26,0.357447,0.311595,0.045852,0.361854,N/A
27,0.355509,0.309617,0.045892,0.362693,N/A
28,0.354069,0.307985,0.046084,0.360546,N/A
29,0.352181,0.306160,0.046021,0.358776,N/A
30,0.349984,0.304266,0.045719,0.354642,0.495014
31,0.348641,0.302774,0.045866,0.353595,N/A
32,0.347037,0.301037,0.046000,0.354031,N/A
33,0.345368,0.299369,0.045999,0.355371,N/A
34,0.343743,0.297996,0.045747,0.353723,N/A
35,0.342282,0.296486,0.045797,0.352221,0.487246
36,0.341164,0.295443,0.045721,0.353250,N/A
37,0.339619,0.293792,0.045827,0.350643,N/A
38,0.338481,0.292661,0.045821,0.349739,N/A
39,0.336805,0.291233,0.045572,0.347783,N/A
40,0.335403,0.289945,0.045459,0.346172,0.473099
41,0.334151,0.288627,0.045525,0.345646,N/A
42,0.333031,0.287618,0.045412,0.346710,N/A
43,0.331348,0.285994,0.045354,0.348685,N/A
44,0.330001,0.284930,0.045071,0.343512,N/A
45,0.329414,0.284395,0.045020,0.342461,0.468927
46,0.327869,0.282845,0.045023,0.342991,N/A
47,0.326820,0.281920,0.044899,0.342918,N/A
48,0.325763,0.280945,0.044818,0.345161,N/A
49,0.324866,0.280135,0.044731,0.339051,N/A
50,0.323456,0.278759,0.044698,0.342627,0.462617
