Epoch,Train_Total_L1,Train_Z1_L1,Train_Xt_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.740309,0.458727,0.281582,0.471250,N/A
2,0.442150,0.350028,0.092123,0.426684,N/A
3,0.416854,0.343103,0.073751,0.411411,N/A
4,0.405889,0.340442,0.065447,0.407178,N/A
5,0.400333,0.339601,0.060731,0.400175,0.539500
6,0.395506,0.338352,0.057154,0.399067,N/A
7,0.393162,0.337620,0.055542,0.390620,N/A
8,0.390999,0.336985,0.054014,0.392666,N/A
9,0.388221,0.335465,0.052756,0.386875,N/A
10,0.385259,0.334087,0.051172,0.383438,0.536173
11,0.383885,0.333589,0.050296,0.381323,N/A
12,0.381769,0.332266,0.049503,0.378544,N/A
13,0.379270,0.331145,0.048126,0.380869,N/A
14,0.377750,0.330108,0.047642,0.380696,N/A
15,0.376563,0.329051,0.047512,0.379720,0.531632
16,0.374870,0.328202,0.046669,0.376161,N/A
17,0.373239,0.326826,0.046412,0.375354,N/A
18,0.371798,0.325650,0.046147,0.376176,N/A
19,0.370036,0.324177,0.045860,0.370339,N/A
20,0.367663,0.322249,0.045414,0.370392,0.521682
21,0.366259,0.320640,0.045619,0.368411,N/A
22,0.364847,0.319306,0.045541,0.366822,N/A
23,0.362349,0.316920,0.045429,0.367077,N/A
24,0.361166,0.315482,0.045684,0.363387,N/A
25,0.359093,0.313458,0.045635,0.363114,0.508101
26,0.357657,0.312007,0.045650,0.360382,N/A
27,0.355547,0.309876,0.045670,0.360964,N/A
28,0.354278,0.308491,0.045787,0.360294,N/A
29,0.352502,0.306578,0.045924,0.359047,N/A
30,0.350514,0.304542,0.045972,0.355835,0.495474
31,0.348493,0.302695,0.045798,0.356155,N/A
32,0.347432,0.301595,0.045837,0.353223,N/A
33,0.345976,0.299914,0.046062,0.354848,N/A
34,0.344808,0.298661,0.046148,0.353838,N/A
35,0.343481,0.297484,0.045998,0.353742,0.488047
36,0.341681,0.295760,0.045921,0.351225,N/A
37,0.339997,0.293999,0.045998,0.350757,N/A
38,0.338665,0.292942,0.045722,0.349079,N/A
39,0.337404,0.291768,0.045637,0.348997,N/A
40,0.336152,0.290643,0.045509,0.344856,0.473989
41,0.334740,0.289049,0.045691,0.346959,N/A
42,0.333889,0.288267,0.045621,0.347106,N/A
43,0.331957,0.286726,0.045231,0.342601,N/A
44,0.330815,0.285519,0.045296,0.344055,N/A
45,0.329872,0.284587,0.045286,0.347092,0.469494
46,0.328865,0.283610,0.045256,0.342491,N/A
47,0.327324,0.282239,0.045085,0.342473,N/A
48,0.325768,0.280699,0.045069,0.344933,N/A
49,0.325431,0.280297,0.045134,0.338400,N/A
50,0.324549,0.279649,0.044900,0.340219,0.458946
51,0.323181,0.278663,0.044518,0.339593,N/A
52,0.322717,0.277833,0.044884,0.339438,N/A
53,0.321177,0.276709,0.044468,0.339376,N/A
54,0.319869,0.275552,0.044317,0.337629,N/A
55,0.319039,0.274621,0.044417,0.336504,0.456562
56,0.318100,0.273708,0.044392,0.340167,N/A
57,0.317967,0.273493,0.044473,0.340292,N/A
58,0.316360,0.272448,0.043912,0.337106,N/A
59,0.315599,0.271531,0.044068,0.335730,N/A
60,0.314555,0.270399,0.044156,0.338998,0.452224
61,0.313570,0.269704,0.043866,0.341255,N/A
62,0.313239,0.269354,0.043885,0.334806,N/A
63,0.312591,0.268918,0.043673,0.337683,N/A
64,0.311389,0.267892,0.043497,0.336850,N/A
65,0.310782,0.267305,0.043477,0.335401,0.449074
66,0.309527,0.266188,0.043339,0.330484,N/A
67,0.309081,0.266119,0.042962,0.337578,N/A
68,0.308172,0.265059,0.043113,0.332400,N/A
69,0.307623,0.264446,0.043177,0.337511,N/A
70,0.306670,0.263642,0.043027,0.334278,0.446641
71,0.306043,0.262962,0.043081,0.333264,N/A
72,0.305235,0.262288,0.042948,0.333928,N/A
73,0.304533,0.261467,0.043066,0.331350,N/A
74,0.303415,0.260792,0.042624,0.335404,N/A
75,0.302942,0.260408,0.042533,0.337309,0.443929
76,0.301687,0.259514,0.042173,0.331834,N/A
77,0.301507,0.258991,0.042516,0.332985,N/A
78,0.301165,0.258826,0.042340,0.330361,N/A
79,0.299976,0.257791,0.042185,0.333734,N/A
80,0.299684,0.257388,0.042296,0.333198,0.444689
81,0.299103,0.256791,0.042312,0.332836,N/A
82,0.298377,0.256218,0.042159,0.333013,N/A
83,0.297763,0.255799,0.041964,0.332936,N/A
84,0.296877,0.254976,0.041901,0.329874,N/A
85,0.296126,0.254371,0.041754,0.333993,0.440805
86,0.295576,0.253608,0.041968,0.332065,N/A
87,0.295117,0.253434,0.041683,0.334977,N/A
88,0.294143,0.252616,0.041527,0.331308,N/A
89,0.293657,0.251956,0.041701,0.333473,N/A
90,0.293841,0.252044,0.041797,0.329332,0.435920
91,0.293385,0.251762,0.041623,0.332276,N/A
92,0.291878,0.250716,0.041162,0.334638,N/A
93,0.291688,0.250538,0.041149,0.331191,N/A
94,0.290894,0.249860,0.041034,0.334512,N/A
95,0.291157,0.249858,0.041299,0.332298,0.440018
96,0.290808,0.249610,0.041197,0.333510,N/A
97,0.289903,0.248867,0.041036,0.334941,N/A
98,0.289184,0.248238,0.040946,0.332949,N/A
99,0.288905,0.248174,0.040732,0.332282,N/A
100,0.287873,0.247313,0.040560,0.332952,0.438736
