Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.451352,0.348832,N/A
2,0.342787,0.339352,N/A
3,0.336517,0.337435,N/A
4,0.330749,0.328955,N/A
5,0.323232,0.330343,0.539768
6,0.318372,0.318685,N/A
7,0.312574,0.315771,N/A
8,0.307861,0.310890,N/A
9,0.302815,0.308246,N/A
10,0.300144,0.306116,0.498588
11,0.297101,0.304882,N/A
12,0.294428,0.302776,N/A
13,0.291782,0.300802,N/A
14,0.289709,0.302011,N/A
15,0.287535,0.300031,0.479962
16,0.286165,0.296929,N/A
17,0.284151,0.293356,N/A
18,0.282718,0.294463,N/A
19,0.281124,0.297470,N/A
20,0.279963,0.295961,0.470246
21,0.278699,0.294125,N/A
22,0.277323,0.291187,N/A
23,0.275738,0.292774,N/A
24,0.275072,0.290464,N/A
25,0.273626,0.292527,0.462564
26,0.272590,0.290794,N/A
27,0.272179,0.292290,N/A
28,0.270507,0.292317,N/A
29,0.270562,0.291526,N/A
30,0.268998,0.289856,0.455873
31,0.267562,0.289967,N/A
32,0.267203,0.289740,N/A
33,0.266340,0.290283,N/A
34,0.266209,0.286567,N/A
35,0.264920,0.288025,0.450715
36,0.263578,0.287820,N/A
37,0.262916,0.286980,N/A
38,0.262986,0.289191,N/A
39,0.261304,0.288333,N/A
40,0.260819,0.286793,0.451515
41,0.259998,0.288694,N/A
42,0.259498,0.288334,N/A
43,0.258688,0.287519,N/A
44,0.258160,0.289412,N/A
45,0.257171,0.287852,0.447561
46,0.256743,0.287886,N/A
47,0.255971,0.288286,N/A
48,0.255261,0.286165,N/A
49,0.254653,0.290101,N/A
50,0.254352,0.286608,0.446465
