Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.051063,0.030116,N/A
2,0.027212,0.024477,N/A
3,0.022820,0.020355,N/A
4,0.018584,0.016808,N/A
5,0.016174,0.015435,0.020843
6,0.014775,0.013895,N/A
7,0.013813,0.013614,N/A
8,0.013137,0.012897,N/A
9,0.012544,0.012613,N/A
10,0.012141,0.012041,0.019563
11,0.011764,0.011550,N/A
12,0.011460,0.011117,N/A
13,0.011207,0.011303,N/A
14,0.010956,0.010920,N/A
15,0.010762,0.010727,0.018879
16,0.010590,0.010563,N/A
17,0.010431,0.010388,N/A
18,0.010302,0.010368,N/A
19,0.010167,0.010120,N/A
20,0.010047,0.009937,0.018653
21,0.009885,0.010040,N/A
22,0.009747,0.009659,N/A
23,0.009618,0.009536,N/A
24,0.009470,0.009704,N/A
25,0.009351,0.009308,0.018554
26,0.009227,0.009239,N/A
27,0.009097,0.008822,N/A
28,0.008981,0.009062,N/A
29,0.008885,0.009091,N/A
30,0.008752,0.008921,0.018354
31,0.008658,0.008666,N/A
32,0.008526,0.008771,N/A
33,0.008422,0.008676,N/A
34,0.008339,0.008455,N/A
35,0.008213,0.008345,0.018083
36,0.008103,0.008307,N/A
37,0.008009,0.008011,N/A
38,0.007897,0.007978,N/A
39,0.007796,0.007515,N/A
40,0.007686,0.007700,0.018500
41,0.007607,0.007594,N/A
42,0.007506,0.007520,N/A
43,0.007405,0.007499,N/A
44,0.007312,0.007423,N/A
45,0.007205,0.007167,0.018375
46,0.007110,0.007032,N/A
47,0.007028,0.007267,N/A
48,0.006935,0.007170,N/A
49,0.006863,0.006808,N/A
50,0.006767,0.006744,0.018557
