Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.448797,0.282874,N/A
2,0.261257,0.251450,N/A
3,0.246005,0.244316,N/A
4,0.240998,0.241737,N/A
5,0.238417,0.237779,0.411682
6,0.235720,0.233245,N/A
7,0.233945,0.235656,N/A
8,0.232448,0.233807,N/A
9,0.230886,0.228327,N/A
10,0.228793,0.230545,0.405429
11,0.227263,0.229842,N/A
12,0.225585,0.224815,N/A
13,0.223800,0.225316,N/A
14,0.222458,0.224152,N/A
15,0.220513,0.225432,0.396697
16,0.219101,0.225144,N/A
17,0.218176,0.222475,N/A
18,0.216741,0.219409,N/A
19,0.215628,0.221391,N/A
20,0.214514,0.224449,0.392618
21,0.213227,0.217690,N/A
22,0.212277,0.217928,N/A
23,0.211199,0.216750,N/A
24,0.210319,0.216575,N/A
25,0.209401,0.215080,0.384171
26,0.208615,0.216352,N/A
27,0.207502,0.218579,N/A
28,0.206802,0.217946,N/A
29,0.206158,0.214411,N/A
30,0.205251,0.216254,0.382246
31,0.204524,0.214784,N/A
32,0.203618,0.213998,N/A
33,0.203119,0.215480,N/A
34,0.202549,0.214296,N/A
35,0.201287,0.213463,0.380428
36,0.200924,0.215384,N/A
37,0.200515,0.214054,N/A
38,0.199955,0.213693,N/A
39,0.198781,0.214400,N/A
40,0.198443,0.215207,0.381996
41,0.198540,0.213927,N/A
42,0.197684,0.212816,N/A
43,0.196829,0.211900,N/A
44,0.196400,0.214399,N/A
45,0.195482,0.212798,0.374211
46,0.195034,0.213693,N/A
47,0.194454,0.214891,N/A
48,0.194359,0.214926,N/A
49,0.193830,0.214551,N/A
50,0.192821,0.212336,0.375275
