Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.253809,0.106214,N/A
2,0.097065,0.091389,N/A
3,0.088298,0.083518,N/A
4,0.082824,0.085833,N/A
5,0.079199,0.078500,1.826631
6,0.074874,0.075515,N/A
7,0.071293,0.068334,N/A
8,0.067163,0.065718,N/A
9,0.062668,0.056882,N/A
10,0.058878,0.057043,1.888080
11,0.055083,0.055940,N/A
12,0.052016,0.051310,N/A
13,0.048367,0.053601,N/A
14,0.045897,0.051999,N/A
15,0.043974,0.042573,1.949021
16,0.041332,0.037855,N/A
17,0.040013,0.042193,N/A
18,0.038167,0.037165,N/A
19,0.036330,0.034570,N/A
20,0.035271,0.038692,1.965574
21,0.034532,0.035789,N/A
22,0.033471,0.032953,N/A
23,0.032437,0.032474,N/A
24,0.032002,0.034580,N/A
25,0.031000,0.030530,1.969789
26,0.030574,0.032333,N/A
27,0.030021,0.030170,N/A
28,0.029404,0.032213,N/A
29,0.029106,0.030780,N/A
30,0.028951,0.032175,1.965228
31,0.028472,0.027568,N/A
32,0.027954,0.027043,N/A
33,0.027915,0.027899,N/A
34,0.027490,0.028487,N/A
35,0.027242,0.026088,1.973242
36,0.026719,0.025416,N/A
37,0.026769,0.028199,N/A
38,0.026124,0.028408,N/A
39,0.026220,0.025796,N/A
40,0.025534,0.025089,1.967610
41,0.025321,0.027894,N/A
42,0.025472,0.028373,N/A
43,0.024718,0.026876,N/A
44,0.025907,0.026043,N/A
45,0.024195,0.025039,1.962398
46,0.023944,0.028107,N/A
47,0.024075,0.026349,N/A
48,0.024242,0.023357,N/A
49,0.023534,0.024881,N/A
50,0.023643,0.024808,1.928945
