Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,1.191866,1.005211,N/A
2,0.985478,0.979269,N/A
3,0.972192,0.980488,N/A
4,0.965337,0.968325,N/A
5,0.958214,0.958817,0.551798
6,0.950203,0.954240,N/A
7,0.940469,0.945974,N/A
8,0.929688,0.933614,N/A
9,0.917182,0.929033,N/A
10,0.905726,0.924038,0.547207
11,0.895205,0.915846,N/A
12,0.885492,0.917288,N/A
13,0.876639,0.914064,N/A
14,0.868927,0.910183,N/A
15,0.861056,0.910697,0.532559
16,0.853850,0.906067,N/A
17,0.846808,0.912685,N/A
18,0.840106,0.916262,N/A
19,0.833160,0.909870,N/A
20,0.827123,0.909882,0.523867
21,0.821676,0.915640,N/A
22,0.817897,0.912202,N/A
23,0.811102,0.912004,N/A
24,0.805731,0.919834,N/A
25,0.801607,0.922347,0.520337
26,0.796061,0.921280,N/A
27,0.791700,0.925114,N/A
28,0.787037,0.925329,N/A
29,0.782193,0.929064,N/A
30,0.778250,0.925113,0.513643
31,0.773049,0.936486,N/A
32,0.770099,0.932067,N/A
33,0.764910,0.932471,N/A
34,0.761525,0.935184,N/A
35,0.757105,0.944549,0.514660
36,0.753577,0.942765,N/A
37,0.749967,0.942789,N/A
38,0.746110,0.946370,N/A
39,0.742372,0.944262,N/A
40,0.738775,0.951904,0.514040
41,0.735158,0.949362,N/A
42,0.731820,0.952221,N/A
43,0.728669,0.956221,N/A
44,0.725443,0.952452,N/A
45,0.721081,0.958170,0.511135
46,0.718181,0.956255,N/A
47,0.715527,0.958741,N/A
48,0.712136,0.959384,N/A
49,0.708761,0.960626,N/A
50,0.705303,0.962156,0.510673
