Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,1.210276,1.056192,N/A
2,1.029762,1.017533,N/A
3,1.003341,1.016594,N/A
4,0.991054,0.991489,N/A
5,0.976713,0.979515,0.533470
6,0.960067,0.965499,N/A
7,0.942820,0.951689,N/A
8,0.926591,0.941534,N/A
9,0.912329,0.930445,N/A
10,0.900431,0.922397,0.515406
11,0.889700,0.924480,N/A
12,0.881007,0.915520,N/A
13,0.872505,0.909369,N/A
14,0.863927,0.909318,N/A
15,0.857629,0.911235,0.503550
16,0.850956,0.905027,N/A
17,0.844647,0.905668,N/A
18,0.839215,0.899901,N/A
19,0.833961,0.903749,N/A
20,0.828473,0.902299,0.496938
21,0.825132,0.896876,N/A
22,0.819150,0.899627,N/A
23,0.813430,0.902855,N/A
24,0.810682,0.902921,N/A
25,0.806246,0.898785,0.491625
26,0.801906,0.897170,N/A
27,0.798167,0.907002,N/A
28,0.795492,0.902212,N/A
29,0.791450,0.899482,N/A
30,0.786862,0.906115,0.494391
31,0.785074,0.908561,N/A
32,0.781090,0.903619,N/A
33,0.778000,0.905644,N/A
34,0.775359,0.906879,N/A
35,0.772824,0.905856,0.489052
36,0.768729,0.901426,N/A
37,0.767021,0.904690,N/A
38,0.763821,0.908232,N/A
39,0.761907,0.909826,N/A
40,0.758881,0.908669,0.491015
41,0.755477,0.914185,N/A
42,0.753814,0.912700,N/A
43,0.750844,0.910129,N/A
44,0.748540,0.911018,N/A
45,0.745700,0.914297,0.490111
46,0.743941,0.913291,N/A
47,0.741020,0.913584,N/A
48,0.738129,0.911829,N/A
49,0.736025,0.918757,N/A
50,0.734752,0.914038,0.488448
