Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,1.269782,1.089382,N/A
2,1.026086,0.942828,N/A
3,0.847065,0.786807,N/A
4,0.712703,0.655543,N/A
5,0.627107,0.587450,0.052345
6,0.565852,0.555906,N/A
7,0.520910,0.513673,N/A
8,0.481917,0.468760,N/A
9,0.451064,0.451260,N/A
10,0.427986,0.408465,0.050800
11,0.405732,0.406267,N/A
12,0.388658,0.376593,N/A
13,0.373158,0.377774,N/A
14,0.359946,0.348124,N/A
15,0.348048,0.359912,0.050923
16,0.338998,0.324072,N/A
17,0.330560,0.327331,N/A
18,0.321540,0.346033,N/A
19,0.314471,0.330064,N/A
20,0.307206,0.310699,0.048986
21,0.301417,0.308013,N/A
22,0.296379,0.304834,N/A
23,0.290655,0.316018,N/A
24,0.285858,0.278299,N/A
25,0.280988,0.281169,0.047976
26,0.277128,0.305044,N/A
27,0.273498,0.261058,N/A
28,0.269277,0.262453,N/A
29,0.265978,0.267531,N/A
30,0.262616,0.264966,0.047372
31,0.260073,0.254423,N/A
32,0.256878,0.245840,N/A
33,0.254011,0.248525,N/A
34,0.252017,0.251152,N/A
35,0.248691,0.264073,0.045863
36,0.246532,0.257405,N/A
37,0.245023,0.266454,N/A
38,0.243033,0.261934,N/A
39,0.240906,0.261474,N/A
40,0.238522,0.249667,0.045637
41,0.236332,0.230328,N/A
42,0.234893,0.251216,N/A
43,0.233421,0.233925,N/A
44,0.231401,0.229060,N/A
45,0.229536,0.236656,0.044827
46,0.228743,0.231801,N/A
47,0.226948,0.254014,N/A
48,0.225666,0.224909,N/A
49,0.224509,0.220865,N/A
50,0.222810,0.223019,0.044338
