Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.582196,0.418611,N/A
2,0.367338,0.335748,N/A
3,0.319848,0.305637,N/A
4,0.291021,0.281338,N/A
5,0.270474,0.271032,0.054907
6,0.253096,0.247030,N/A
7,0.239089,0.232307,N/A
8,0.228486,0.224429,N/A
9,0.220228,0.215534,N/A
10,0.212343,0.220660,0.054019
11,0.206640,0.206829,N/A
12,0.200921,0.202229,N/A
13,0.196489,0.201365,N/A
14,0.192987,0.189387,N/A
15,0.189154,0.188422,0.051848
16,0.185817,0.178632,N/A
17,0.182204,0.184311,N/A
18,0.180715,0.178848,N/A
19,0.178447,0.178763,N/A
20,0.175790,0.168951,0.050136
21,0.174232,0.171013,N/A
22,0.172023,0.172260,N/A
23,0.170308,0.170203,N/A
24,0.169566,0.170952,N/A
25,0.167783,0.167200,0.050839
26,0.166574,0.158971,N/A
27,0.164516,0.161889,N/A
28,0.163769,0.164042,N/A
29,0.161858,0.163221,N/A
30,0.161191,0.156103,0.049939
31,0.160086,0.167921,N/A
32,0.158997,0.164010,N/A
33,0.157234,0.165959,N/A
34,0.157253,0.160082,N/A
35,0.155423,0.156327,0.049331
36,0.155096,0.156466,N/A
37,0.154020,0.155457,N/A
38,0.153202,0.156806,N/A
39,0.152309,0.148551,N/A
40,0.151613,0.154334,0.049238
41,0.150618,0.155703,N/A
42,0.149923,0.154088,N/A
43,0.149097,0.158954,N/A
44,0.147585,0.151972,N/A
45,0.147893,0.150803,0.048888
46,0.147310,0.146932,N/A
47,0.147140,0.147837,N/A
48,0.145912,0.146036,N/A
49,0.145306,0.147993,N/A
50,0.145091,0.147667,0.048846
