Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.898047,0.736452,N/A
2,0.692947,0.673206,N/A
3,0.654623,0.649611,N/A
4,0.635387,0.636078,N/A
5,0.618082,0.610629,0.053738
6,0.603792,0.598512,N/A
7,0.590756,0.585512,N/A
8,0.580307,0.579825,N/A
9,0.569341,0.578005,N/A
10,0.560113,0.562436,0.051044
11,0.552008,0.555170,N/A
12,0.544339,0.546199,N/A
13,0.538124,0.536786,N/A
14,0.530543,0.541329,N/A
15,0.524486,0.540121,0.049768
16,0.519206,0.538815,N/A
17,0.515725,0.516515,N/A
18,0.510812,0.525426,N/A
19,0.506026,0.519890,N/A
20,0.502329,0.519883,0.048038
21,0.498327,0.516662,N/A
22,0.494511,0.511773,N/A
23,0.491455,0.503020,N/A
24,0.489728,0.499234,N/A
25,0.485541,0.503607,0.047785
26,0.482420,0.507531,N/A
27,0.479796,0.506916,N/A
28,0.477613,0.498914,N/A
29,0.474849,0.498362,N/A
30,0.472809,0.485640,0.047633
31,0.470369,0.500228,N/A
32,0.468017,0.488634,N/A
33,0.465811,0.493842,N/A
34,0.464413,0.481719,N/A
35,0.462793,0.485739,0.047866
36,0.460381,0.485040,N/A
37,0.458745,0.486412,N/A
38,0.457150,0.483358,N/A
39,0.455758,0.482105,N/A
40,0.453395,0.475156,0.047395
41,0.452092,0.470751,N/A
42,0.451251,0.475353,N/A
43,0.449781,0.473665,N/A
44,0.448603,0.477969,N/A
45,0.446042,0.469718,0.047096
46,0.445317,0.472072,N/A
47,0.443447,0.470025,N/A
48,0.442850,0.470582,N/A
49,0.441113,0.468526,N/A
50,0.439424,0.468762,0.047213
