Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.034095,0.027283,N/A
2,0.022559,0.019042,N/A
3,0.017214,0.015927,N/A
4,0.015208,0.014639,N/A
5,0.014076,0.013606,0.051780
6,0.013465,0.013387,N/A
7,0.012959,0.012806,N/A
8,0.012570,0.012134,N/A
9,0.012131,0.011932,N/A
10,0.011737,0.011596,0.054202
11,0.011429,0.011196,N/A
12,0.011129,0.011631,N/A
13,0.010737,0.010247,N/A
14,0.010378,0.010059,N/A
15,0.010025,0.009852,0.054594
16,0.009615,0.010031,N/A
17,0.009374,0.009516,N/A
18,0.009099,0.009109,N/A
19,0.008694,0.008960,N/A
20,0.008404,0.008250,0.055012
21,0.008120,0.008283,N/A
22,0.007866,0.007859,N/A
23,0.007581,0.007535,N/A
24,0.007423,0.007249,N/A
25,0.007281,0.007594,0.055979
26,0.007038,0.006952,N/A
27,0.006898,0.006789,N/A
28,0.006756,0.006674,N/A
29,0.006619,0.006532,N/A
30,0.006460,0.006890,0.055368
31,0.006360,0.006252,N/A
32,0.006239,0.006751,N/A
33,0.006158,0.006059,N/A
34,0.006017,0.006032,N/A
35,0.005901,0.006087,0.054242
36,0.005885,0.005701,N/A
37,0.005727,0.005540,N/A
38,0.005663,0.005541,N/A
39,0.005597,0.005504,N/A
40,0.005525,0.005313,0.054190
41,0.005464,0.005451,N/A
42,0.005387,0.005354,N/A
43,0.005380,0.005362,N/A
44,0.005298,0.005352,N/A
45,0.005245,0.005047,0.053393
46,0.005223,0.005058,N/A
47,0.005166,0.005500,N/A
48,0.005138,0.005145,N/A
49,0.005052,0.005251,N/A
50,0.005012,0.005380,0.054236
