Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.455582,0.227495,N/A
2,0.173185,0.142049,N/A
3,0.126250,0.121737,N/A
4,0.110826,0.108832,N/A
5,0.101876,0.105891,0.053358
6,0.096041,0.091940,N/A
7,0.090926,0.091729,N/A
8,0.087184,0.083440,N/A
9,0.084950,0.079289,N/A
10,0.084629,0.079567,0.050674
11,0.081384,0.104860,N/A
12,0.078925,0.071137,N/A
13,0.076315,0.075350,N/A
14,0.072882,0.063254,N/A
15,0.071295,0.063201,0.049878
16,0.068864,0.082208,N/A
17,0.065707,0.058410,N/A
18,0.063764,0.057690,N/A
19,0.061151,0.054630,N/A
20,0.058870,0.053638,0.051458
21,0.057382,0.058270,N/A
22,0.056398,0.057682,N/A
23,0.054824,0.099852,N/A
24,0.053472,0.072971,N/A
25,0.052431,0.048726,0.053850
26,0.050688,0.055586,N/A
27,0.048411,0.045124,N/A
28,0.047142,0.043217,N/A
29,0.046108,0.039931,N/A
30,0.043773,0.055819,0.058665
31,0.043579,0.044659,N/A
32,0.041904,0.038361,N/A
33,0.040297,0.036284,N/A
34,0.040415,0.045956,N/A
35,0.038160,0.036713,0.048988
36,0.037017,0.041771,N/A
37,0.036201,0.031805,N/A
38,0.036357,0.033779,N/A
39,0.036165,0.032526,N/A
40,0.034497,0.045800,0.054798
41,0.034327,0.031565,N/A
42,0.033563,0.039935,N/A
43,0.032903,0.029978,N/A
44,0.032447,0.033993,N/A
45,0.031656,0.030808,0.047991
46,0.031765,0.030424,N/A
47,0.030713,0.033037,N/A
48,0.030056,0.029266,N/A
49,0.030296,0.029241,N/A
50,0.029442,0.040169,0.053725
