Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.551111,0.386223,N/A
2,0.333973,0.300720,N/A
3,0.280530,0.267218,N/A
4,0.248315,0.230733,N/A
5,0.220511,0.208572,1.205955
6,0.200717,0.196794,N/A
7,0.186382,0.184013,N/A
8,0.176614,0.165631,N/A
9,0.167921,0.173307,N/A
10,0.160265,0.159987,1.234876
11,0.154706,0.155844,N/A
12,0.148693,0.150159,N/A
13,0.144256,0.148592,N/A
14,0.140254,0.138888,N/A
15,0.136715,0.136895,1.164108
16,0.133320,0.131196,N/A
17,0.130169,0.130646,N/A
18,0.127672,0.130095,N/A
19,0.125012,0.128460,N/A
20,0.122593,0.119442,1.131201
21,0.120523,0.128175,N/A
22,0.118577,0.120441,N/A
23,0.117154,0.114657,N/A
24,0.115092,0.116484,N/A
25,0.113936,0.115822,1.131453
26,0.112296,0.114268,N/A
27,0.111024,0.112074,N/A
28,0.109963,0.113711,N/A
29,0.108496,0.115502,N/A
30,0.107680,0.109342,1.125975
31,0.106101,0.109465,N/A
32,0.105832,0.106808,N/A
33,0.104733,0.108303,N/A
34,0.103717,0.111947,N/A
35,0.102996,0.101127,1.103418
36,0.102232,0.104271,N/A
37,0.101634,0.105180,N/A
38,0.100855,0.101471,N/A
39,0.099703,0.104608,N/A
40,0.099347,0.107615,1.120360
41,0.098999,0.098393,N/A
42,0.098347,0.106261,N/A
43,0.097875,0.098631,N/A
44,0.097422,0.097162,N/A
45,0.096128,0.107126,1.132696
46,0.096385,0.099020,N/A
47,0.097019,0.105274,N/A
48,0.099406,0.100324,N/A
49,0.097407,0.101540,N/A
50,0.097155,0.100644,1.083899
