Epoch,Train_L1_Noise,Val_L1_Noise,Val_Perm_Inv_Reconstruct_L1
1,0.717911,0.558457,N/A
2,0.456938,0.386001,N/A
3,0.358519,0.340453,N/A
4,0.327561,0.317341,N/A
5,0.311512,0.306103,3.472086
6,0.299938,0.289338,N/A
7,0.289611,0.291566,N/A
8,0.280848,0.281616,N/A
9,0.273047,0.272042,N/A
10,0.267367,0.270102,2.323970
11,0.262124,0.257869,N/A
12,0.257064,0.256554,N/A
13,0.252679,0.252056,N/A
14,0.248692,0.247262,N/A
15,0.245115,0.243781,1.946547
16,0.242247,0.243556,N/A
17,0.239656,0.238372,N/A
18,0.236866,0.242400,N/A
19,0.234579,0.232304,N/A
20,0.232429,0.234801,1.786824
21,0.230035,0.230363,N/A
22,0.228183,0.226374,N/A
23,0.226791,0.229379,N/A
24,0.225224,0.229389,N/A
25,0.223550,0.222190,1.702196
26,0.222498,0.225765,N/A
27,0.221078,0.225148,N/A
28,0.220405,0.219612,N/A
29,0.219363,0.226181,N/A
30,0.218628,0.216285,1.689533
31,0.217024,0.220267,N/A
32,0.216266,0.220232,N/A
33,0.215311,0.220011,N/A
34,0.214349,0.218494,N/A
35,0.213631,0.219650,1.649988
36,0.213428,0.213345,N/A
37,0.211845,0.213634,N/A
38,0.211489,0.217139,N/A
39,0.210869,0.211984,N/A
40,0.210164,0.211627,1.620306
41,0.209585,0.209497,N/A
42,0.208660,0.212260,N/A
43,0.208463,0.210171,N/A
44,0.207703,0.208491,N/A
45,0.206953,0.212853,1.638637
46,0.207170,0.209543,N/A
47,0.206743,0.212250,N/A
48,0.205877,0.208812,N/A
49,0.205612,0.207165,N/A
50,0.205866,0.206355,1.587933
