Epoch,Train_L1_Noise,Val_L1_Noise,Val_Perm_Inv_Reconstruct_L1
1,0.717899,0.558568,N/A
2,0.457062,0.390291,N/A
3,0.359058,0.340967,N/A
4,0.328788,0.317540,N/A
5,0.312921,0.304998,3.560303
6,0.300675,0.288257,N/A
7,0.290929,0.282186,N/A
8,0.281486,0.281406,N/A
9,0.274375,0.274176,N/A
10,0.267683,0.263258,2.330127
11,0.262483,0.258748,N/A
12,0.257542,0.253510,N/A
13,0.253885,0.253388,N/A
14,0.249566,0.251476,N/A
15,0.246411,0.251384,1.960704
16,0.243206,0.246343,N/A
17,0.240519,0.241257,N/A
18,0.237410,0.239474,N/A
19,0.235103,0.236577,N/A
20,0.233250,0.234570,1.799355
21,0.231216,0.232982,N/A
22,0.229345,0.229406,N/A
23,0.228080,0.226818,N/A
24,0.225999,0.224019,N/A
25,0.224289,0.226890,1.748067
26,0.223239,0.228668,N/A
27,0.222054,0.222412,N/A
28,0.220941,0.228342,N/A
29,0.220241,0.221766,N/A
30,0.218712,0.223931,1.683355
31,0.218040,0.223796,N/A
32,0.216891,0.221709,N/A
33,0.215663,0.215441,N/A
34,0.215417,0.214097,N/A
35,0.214417,0.219985,1.637155
36,0.214021,0.220524,N/A
37,0.212950,0.215989,N/A
38,0.212390,0.214577,N/A
39,0.211579,0.215128,N/A
40,0.211000,0.214589,1.649620
41,0.210159,0.211815,N/A
42,0.209792,0.211108,N/A
43,0.209197,0.212272,N/A
44,0.208824,0.209315,N/A
45,0.208409,0.211199,1.615171
46,0.207852,0.208312,N/A
47,0.207491,0.210956,N/A
48,0.207094,0.209182,N/A
49,0.206553,0.203633,N/A
50,0.205680,0.209078,1.575399
