Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.619866,0.491058,N/A
2,0.415699,0.388687,N/A
3,0.336893,0.356040,N/A
4,0.297612,0.302537,N/A
5,0.272086,0.275972,0.764683
6,0.249392,0.261334,N/A
7,0.238225,0.285853,N/A
8,0.227312,0.266532,N/A
9,0.220160,0.241318,N/A
10,0.208384,0.221630,0.768749
11,0.201825,0.233183,N/A
12,0.197352,0.221997,N/A
13,0.191753,0.223838,N/A
14,0.189133,0.252447,N/A
15,0.186788,0.199734,0.782827
16,0.180863,0.198647,N/A
17,0.178776,0.193483,N/A
18,0.175771,0.190871,N/A
19,0.173272,0.210138,N/A
20,0.172444,0.181132,0.770888
21,0.170421,0.208492,N/A
22,0.168779,0.202326,N/A
23,0.166590,0.195953,N/A
24,0.164249,0.186754,N/A
25,0.163014,0.182041,0.769732
26,0.160774,0.198701,N/A
27,0.160165,0.172586,N/A
28,0.158679,0.177371,N/A
29,0.156898,0.193698,N/A
30,0.157054,0.188424,0.814247
31,0.156391,0.175658,N/A
32,0.153314,0.192055,N/A
33,0.153966,0.174312,N/A
34,0.152042,0.197389,N/A
35,0.152402,0.190736,0.823773
36,0.151022,0.173662,N/A
37,0.148038,0.171842,N/A
38,0.147277,0.175984,N/A
39,0.147603,0.167171,N/A
40,0.145464,0.180550,0.811736
41,0.145596,0.207514,N/A
42,0.148074,0.170543,N/A
43,0.144550,0.197635,N/A
44,0.145327,0.160441,N/A
45,0.141204,0.204073,0.858414
46,0.142651,0.163381,N/A
47,0.140575,0.158378,N/A
48,0.138156,0.159949,N/A
49,0.139192,0.177799,N/A
50,0.140127,0.163865,0.778060
