Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.348475,1.184915,1.178541,N/A
2,1.136560,1.106146,1.152809,N/A
3,1.096473,1.094101,1.145078,N/A
4,1.083551,1.085645,1.138797,N/A
5,1.075789,1.079776,1.132681,N/A
6,1.068613,1.076319,1.125772,N/A
7,1.062440,1.064162,1.116706,N/A
8,1.055477,1.059083,1.113055,N/A
9,1.050405,1.058382,1.105056,N/A
10,1.043875,1.051075,1.097582,N/A
11,1.038683,1.048210,1.093396,N/A
12,1.032859,1.053057,1.092674,N/A
13,1.028852,1.041425,1.084485,N/A
14,1.023351,1.040698,1.083030,N/A
15,1.018786,1.036035,1.077451,N/A
16,1.013899,1.034953,1.073412,N/A
17,1.009396,1.032929,1.069455,N/A
18,1.005536,1.031485,1.069098,N/A
19,1.001854,1.032225,1.069399,N/A
20,0.998347,1.024885,1.061938,N/A
21,0.994726,1.024418,1.061575,N/A
22,0.990218,1.022097,1.057359,N/A
23,0.986832,1.023961,1.057728,N/A
24,0.983074,1.023986,1.054765,N/A
25,0.980031,1.023121,1.054093,1.072434
26,0.977636,1.027351,1.053194,N/A
27,0.974318,1.019238,1.049305,N/A
28,0.971418,1.019769,1.044921,N/A
29,0.968362,1.018969,1.046432,N/A
30,0.965743,1.016966,1.044307,N/A
31,0.962226,1.019243,1.044626,N/A
32,0.959788,1.016352,1.042067,N/A
33,0.956931,1.015733,1.039937,N/A
34,0.954332,1.019431,1.038708,N/A
35,0.952592,1.020206,1.037019,N/A
36,0.949943,1.017696,1.037971,N/A
37,0.948667,1.015566,1.035681,N/A
38,0.945470,1.014171,1.034113,N/A
39,0.943417,1.017368,1.035562,N/A
40,0.940712,1.015284,1.032521,N/A
41,0.938907,1.015599,1.033784,N/A
42,0.936525,1.018563,1.031406,N/A
43,0.934553,1.012807,1.030467,N/A
44,0.932684,1.016091,1.028414,N/A
45,0.930998,1.016727,1.029401,N/A
46,0.928826,1.013831,1.026594,N/A
47,0.926377,1.016297,1.028864,N/A
48,0.925059,1.013997,1.027277,N/A
49,0.923006,1.017130,1.027757,N/A
50,0.920579,1.016488,1.025619,1.046047
51,0.918407,1.015765,1.027038,N/A
52,0.917212,1.015753,1.024093,N/A
53,0.915383,1.017520,1.024123,N/A
54,0.914111,1.017186,1.023790,N/A
55,0.912021,1.016709,1.025687,N/A
56,0.910935,1.016102,1.027120,N/A
57,0.908604,1.020114,1.022656,N/A
58,0.907486,1.019770,1.023933,N/A
59,0.906216,1.020573,1.022240,N/A
60,0.904678,1.020090,1.021567,N/A
61,0.903182,1.025116,1.024464,N/A
62,0.900837,1.023695,1.022608,N/A
63,0.899595,1.021044,1.022768,N/A
64,0.897370,1.021449,1.022150,N/A
65,0.896310,1.023186,1.020610,N/A
66,0.894669,1.024304,1.020196,N/A
67,0.894239,1.025748,1.019763,N/A
68,0.892036,1.023188,1.019498,N/A
69,0.890908,1.023532,1.019607,N/A
70,0.889950,1.021481,1.018728,N/A
71,0.888090,1.023222,1.018787,N/A
72,0.886843,1.026642,1.017425,N/A
73,0.885070,1.023774,1.016833,N/A
74,0.884186,1.023116,1.018641,N/A
75,0.883412,1.026109,1.020572,1.046868
76,0.881732,1.027897,1.020434,N/A
77,0.880483,1.025960,1.017731,N/A
78,0.878898,1.024477,1.016482,N/A
79,0.877516,1.031013,1.019395,N/A
80,0.876452,1.029959,1.016826,N/A
81,0.875456,1.028675,1.019459,N/A
82,0.874096,1.028430,1.018649,N/A
83,0.872844,1.030075,1.018448,N/A
84,0.871926,1.033247,1.018168,N/A
85,0.870836,1.027289,1.020274,N/A
86,0.869683,1.032888,1.020854,N/A
87,0.868920,1.036701,1.019238,N/A
88,0.867162,1.031163,1.018602,N/A
89,0.865744,1.035990,1.017346,N/A
90,0.864733,1.033683,1.014559,N/A
91,0.863663,1.034407,1.019411,N/A
92,0.863779,1.035794,1.017438,N/A
93,0.862370,1.032903,1.017225,N/A
94,0.860898,1.035162,1.016779,N/A
95,0.859500,1.041824,1.020717,N/A
96,0.858608,1.036256,1.016771,N/A
97,0.857776,1.036818,1.016567,N/A
98,0.856315,1.039497,1.018585,N/A
99,0.855028,1.037335,1.016698,N/A
100,0.854489,1.044040,1.018803,1.049396
101,0.854009,1.034879,1.014240,N/A
102,0.851957,1.038992,1.016773,N/A
103,0.851495,1.038455,1.016330,N/A
104,0.850391,1.037359,1.015608,N/A
105,0.849627,1.039747,1.016730,N/A
106,0.848615,1.044157,1.015556,N/A
107,0.847348,1.041566,1.016312,N/A
108,0.847457,1.042016,1.016996,N/A
109,0.845745,1.042781,1.016942,N/A
110,0.845088,1.041400,1.016930,N/A
111,0.843512,1.043580,1.017336,N/A
112,0.843328,1.046023,1.016999,N/A
113,0.842233,1.044370,1.018897,N/A
114,0.841468,1.045436,1.019757,N/A
115,0.840093,1.044812,1.017077,N/A
116,0.839124,1.046038,1.017538,N/A
117,0.837875,1.050960,1.019550,N/A
118,0.837872,1.043386,1.018095,N/A
119,0.837479,1.049589,1.020547,N/A
120,0.835769,1.049065,1.018922,N/A
121,0.835964,1.050686,1.018995,N/A
122,0.834373,1.043270,1.015398,N/A
123,0.833407,1.051655,1.016487,N/A
124,0.832914,1.048332,1.017152,N/A
125,0.831839,1.045305,1.016792,1.045530
126,0.830516,1.049372,1.014683,N/A
127,0.829657,1.051315,1.015352,N/A
128,0.828946,1.048419,1.014808,N/A
