Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,1.541475,1.340396,N/A
2,1.298929,1.268571,N/A
3,1.260879,1.257475,N/A
4,1.237845,1.234937,N/A
5,1.218056,1.215823,N/A
6,1.204500,1.209671,N/A
7,1.194463,1.193852,N/A
8,1.185602,1.190777,N/A
9,1.177065,1.188395,N/A
10,1.169531,1.180058,N/A
11,1.162093,1.174485,N/A
12,1.155480,1.171712,N/A
13,1.147974,1.170103,N/A
14,1.141872,1.162608,N/A
15,1.135522,1.160552,N/A
16,1.129727,1.153273,N/A
17,1.123922,1.159082,N/A
18,1.119147,1.152460,N/A
19,1.113614,1.149266,N/A
20,1.108687,1.148633,N/A
21,1.102980,1.145312,N/A
22,1.099217,1.146228,N/A
23,1.094676,1.142009,N/A
24,1.089946,1.136984,N/A
25,1.085787,1.135470,1.070484
26,1.081480,1.141988,N/A
27,1.078466,1.134803,N/A
28,1.074121,1.137948,N/A
29,1.070004,1.137696,N/A
30,1.067120,1.135334,N/A
31,1.063527,1.135888,N/A
32,1.060098,1.132629,N/A
33,1.056371,1.132963,N/A
34,1.053930,1.136199,N/A
35,1.050569,1.129558,N/A
36,1.047731,1.130025,N/A
37,1.044865,1.128252,N/A
38,1.041675,1.130029,N/A
39,1.038817,1.129787,N/A
40,1.036326,1.129437,N/A
41,1.033560,1.127682,N/A
42,1.030868,1.127605,N/A
43,1.028148,1.133900,N/A
44,1.025810,1.127713,N/A
45,1.023639,1.130719,N/A
46,1.021483,1.127328,N/A
47,1.018508,1.126923,N/A
48,1.015562,1.126199,N/A
49,1.013524,1.129689,N/A
50,1.012030,1.130443,1.051534
51,1.009500,1.133751,N/A
52,1.007161,1.133181,N/A
53,1.005547,1.127563,N/A
54,1.002969,1.128107,N/A
55,1.001597,1.130486,N/A
56,0.999878,1.129411,N/A
57,0.998666,1.128936,N/A
58,0.995326,1.129524,N/A
59,0.994065,1.131523,N/A
60,0.991606,1.131219,N/A
61,0.989341,1.131832,N/A
62,0.988118,1.130578,N/A
63,0.986167,1.133409,N/A
64,0.984143,1.135470,N/A
65,0.983057,1.135571,N/A
66,0.980830,1.130122,N/A
67,0.978608,1.136902,N/A
68,0.979266,1.137099,N/A
