Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.446140,1.294186,1.327002,N/A
2,1.200550,1.140946,1.214023,N/A
3,1.109762,1.090693,1.180885,N/A
4,1.078574,1.076631,1.167631,N/A
5,1.066318,1.065833,1.161579,N/A
6,1.059521,1.062207,1.160251,N/A
7,1.055871,1.068995,1.160265,N/A
8,1.052716,1.050227,1.150900,N/A
9,1.049997,1.059774,1.152338,N/A
10,1.046059,1.048103,1.149458,N/A
11,1.041783,1.044667,1.148334,N/A
12,1.037692,1.041206,1.145346,N/A
13,1.032880,1.038733,1.142967,N/A
14,1.028887,1.039989,1.142387,N/A
15,1.024495,1.040223,1.141987,N/A
16,1.020291,1.041690,1.141312,N/A
17,1.017419,1.033567,1.135777,N/A
18,1.013251,1.032225,1.135452,N/A
19,1.008116,1.029848,1.133043,N/A
20,1.004815,1.038692,1.133196,N/A
21,1.000582,1.031615,1.131701,N/A
22,0.996752,1.028393,1.129168,N/A
23,0.992629,1.032812,1.129825,N/A
24,0.989422,1.028631,1.129077,N/A
25,0.985276,1.027618,1.125767,1.113681
26,0.982091,1.031500,1.126776,N/A
27,0.978438,1.033032,1.126914,N/A
28,0.975625,1.033499,1.125156,N/A
29,0.972564,1.029748,1.123898,N/A
30,0.967850,1.029727,1.123215,N/A
31,0.966338,1.029856,1.121838,N/A
32,0.962611,1.035691,1.122901,N/A
33,0.958731,1.034715,1.121657,N/A
34,0.957070,1.032957,1.121073,N/A
35,0.953866,1.034582,1.121243,N/A
36,0.950243,1.035793,1.121082,N/A
37,0.948234,1.032307,1.120276,N/A
38,0.945529,1.039758,1.122156,N/A
39,0.942317,1.035059,1.121443,N/A
40,0.939676,1.038575,1.119554,N/A
41,0.937311,1.039250,1.120413,N/A
42,0.934371,1.040105,1.120808,N/A
43,0.931740,1.043582,1.120597,N/A
44,0.930016,1.039873,1.118677,N/A
45,0.927194,1.037088,1.118186,N/A
