Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.586582,0.427452,N/A
2,0.357594,0.319351,N/A
3,0.302534,0.290861,N/A
4,0.287410,0.285183,N/A
5,0.281678,0.281863,1.157018
6,0.277976,0.277091,N/A
7,0.276034,0.274444,N/A
8,0.273858,0.276019,N/A
9,0.273252,0.276070,N/A
10,0.272274,0.272566,1.144619
11,0.271973,0.272297,N/A
12,0.271054,0.271272,N/A
13,0.270764,0.271487,N/A
14,0.270364,0.270565,N/A
15,0.269719,0.271707,1.143057
16,0.269646,0.270412,N/A
17,0.269284,0.268599,N/A
18,0.268645,0.266289,N/A
19,0.268309,0.268715,N/A
20,0.267617,0.270013,1.140313
21,0.266766,0.269715,N/A
22,0.265889,0.269098,N/A
23,0.264994,0.264316,N/A
24,0.264111,0.266912,N/A
25,0.262794,0.264835,1.127704
26,0.262444,0.263735,N/A
27,0.261321,0.264706,N/A
28,0.261046,0.263886,N/A
29,0.259741,0.264357,N/A
30,0.258870,0.264635,1.117422
31,0.258091,0.263691,N/A
32,0.257602,0.264190,N/A
33,0.256791,0.263829,N/A
34,0.256094,0.262854,N/A
35,0.255321,0.263405,1.106615
36,0.254394,0.262007,N/A
37,0.254006,0.264644,N/A
38,0.253064,0.264527,N/A
39,0.252507,0.265095,N/A
40,0.251806,0.262229,1.102306
41,0.251423,0.262318,N/A
42,0.250721,0.260311,N/A
43,0.249861,0.262918,N/A
44,0.249310,0.262394,N/A
45,0.249140,0.263508,1.098136
46,0.248332,0.262222,N/A
47,0.247713,0.262520,N/A
48,0.247189,0.263611,N/A
49,0.246698,0.264852,N/A
50,0.246021,0.263246,1.090729
51,0.245804,0.260981,N/A
52,0.245096,0.264079,N/A
53,0.244772,0.263469,N/A
54,0.243988,0.263978,N/A
55,0.243869,0.262277,1.090432
56,0.243415,0.265782,N/A
57,0.242832,0.262810,N/A
58,0.242099,0.264953,N/A
59,0.241858,0.266067,N/A
60,0.241575,0.265794,1.086972
61,0.241121,0.264334,N/A
62,0.240650,0.264344,N/A
63,0.240487,0.264129,N/A
64,0.239901,0.265598,N/A
65,0.239478,0.267163,1.084503
66,0.238644,0.268572,N/A
67,0.238823,0.263651,N/A
68,0.238225,0.267385,N/A
69,0.237709,0.268512,N/A
70,0.237894,0.269643,1.082483
71,0.237073,0.266805,N/A
72,0.236954,0.267318,N/A
73,0.236321,0.265479,N/A
74,0.235691,0.265477,N/A
75,0.235554,0.268534,1.082624
76,0.235658,0.269447,N/A
77,0.235135,0.268651,N/A
78,0.234612,0.269557,N/A
79,0.234355,0.264409,N/A
80,0.234294,0.266248,1.079700
81,0.233853,0.266471,N/A
82,0.233287,0.270701,N/A
83,0.233128,0.267004,N/A
84,0.232839,0.266356,N/A
85,0.232495,0.271791,1.080243
86,0.232230,0.266662,N/A
87,0.231649,0.268862,N/A
88,0.231809,0.269306,N/A
89,0.231185,0.271066,N/A
90,0.230919,0.270587,1.078718
91,0.230755,0.269591,N/A
92,0.230536,0.272531,N/A
93,0.229607,0.268449,N/A
94,0.229740,0.270706,N/A
95,0.229353,0.269495,1.080418
96,0.229091,0.275829,N/A
97,0.228980,0.275105,N/A
98,0.228509,0.274228,N/A
99,0.228236,0.270888,N/A
100,0.227785,0.272290,1.078612
