Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.592129,0.426867,N/A
2,0.359491,0.325927,N/A
3,0.303297,0.295096,N/A
4,0.289688,0.284692,N/A
5,0.283506,0.283578,1.150041
6,0.280689,0.281653,N/A
7,0.278933,0.279325,N/A
8,0.277446,0.276315,N/A
9,0.276411,0.275833,N/A
10,0.275527,0.275744,1.143872
11,0.275357,0.274152,N/A
12,0.274502,0.275658,N/A
13,0.274094,0.273196,N/A
14,0.273758,0.273169,N/A
15,0.273455,0.277841,1.142523
16,0.273351,0.272165,N/A
17,0.272896,0.275103,N/A
18,0.272319,0.270079,N/A
19,0.271714,0.272352,N/A
20,0.270707,0.272106,1.136621
21,0.269681,0.270881,N/A
22,0.268464,0.272302,N/A
23,0.267807,0.270792,N/A
24,0.266423,0.269269,N/A
25,0.265568,0.268642,1.120970
26,0.264868,0.264906,N/A
27,0.263924,0.269076,N/A
28,0.262549,0.266331,N/A
29,0.261899,0.264927,N/A
30,0.260701,0.266906,1.109167
31,0.259890,0.265845,N/A
32,0.259334,0.265544,N/A
33,0.258103,0.267261,N/A
34,0.257238,0.265530,N/A
35,0.256438,0.263261,1.097931
36,0.255868,0.261851,N/A
37,0.255210,0.265813,N/A
38,0.254222,0.264237,N/A
39,0.253574,0.264509,N/A
40,0.252574,0.267738,1.089217
41,0.252162,0.264248,N/A
42,0.251679,0.265009,N/A
43,0.251189,0.262321,N/A
44,0.249944,0.263744,N/A
45,0.249541,0.263883,1.084190
46,0.249530,0.264629,N/A
47,0.248418,0.263131,N/A
48,0.247918,0.263880,N/A
49,0.247363,0.264342,N/A
50,0.247092,0.262649,1.078850
