Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.604538,0.432322,N/A
2,0.359401,0.317912,N/A
3,0.301024,0.290445,N/A
4,0.285216,0.282700,N/A
5,0.278784,0.278269,1.158255
6,0.275039,0.275645,N/A
7,0.272665,0.271071,N/A
8,0.271282,0.272994,N/A
9,0.270035,0.272128,N/A
10,0.269172,0.267393,1.147861
11,0.268196,0.268186,N/A
12,0.267144,0.268839,N/A
13,0.266858,0.268522,N/A
14,0.265022,0.265593,N/A
15,0.263755,0.268721,1.134817
16,0.262450,0.264169,N/A
17,0.261318,0.266899,N/A
18,0.259657,0.265873,N/A
19,0.258129,0.263515,N/A
20,0.257090,0.265182,1.122632
21,0.255608,0.266957,N/A
22,0.254644,0.260722,N/A
23,0.253417,0.264603,N/A
24,0.251997,0.264619,N/A
25,0.250882,0.264268,1.115999
26,0.249912,0.261619,N/A
27,0.249043,0.264668,N/A
28,0.247568,0.264895,N/A
29,0.246571,0.264314,N/A
30,0.245891,0.264311,1.109989
31,0.244413,0.263444,N/A
32,0.243920,0.266347,N/A
33,0.243117,0.267965,N/A
34,0.242253,0.264061,N/A
35,0.241176,0.269597,1.105741
36,0.240083,0.270342,N/A
37,0.239718,0.268441,N/A
38,0.238861,0.271166,N/A
39,0.238430,0.270221,N/A
40,0.237185,0.270798,1.105872
41,0.236620,0.270692,N/A
42,0.235778,0.268348,N/A
43,0.234899,0.268025,N/A
44,0.234476,0.269577,N/A
45,0.233753,0.272364,1.106683
46,0.233050,0.269034,N/A
47,0.232233,0.270771,N/A
48,0.231807,0.270812,N/A
49,0.230950,0.273581,N/A
50,0.230536,0.273638,1.107262
