Epoch,Train_L1_Noise_Loss,Val_L1_Noise_Loss,Val_DDIM_Reconstruct_L1
1,0.654806,0.438381,N/A
1,0.653771,0.436680,N/A
2,0.331002,0.264303,N/A
3,0.240501,0.221176,N/A
4,0.216117,0.209949,N/A
5,0.203360,0.206106,2.436119
6,0.194168,0.191252,N/A
7,0.186513,0.182884,N/A
8,0.180667,0.178229,N/A
9,0.175101,0.172004,N/A
10,0.170929,0.169561,1.777938
11,0.166928,0.165627,N/A
12,0.164150,0.162556,N/A
13,0.160987,0.159197,N/A
14,0.158320,0.156139,N/A
15,0.155981,0.154682,1.622412
16,0.153954,0.151944,N/A
17,0.152048,0.150072,N/A
18,0.150326,0.149939,N/A
19,0.148878,0.149090,N/A
20,0.147404,0.141775,1.566626
21,0.145881,0.144499,N/A
22,0.144775,0.144892,N/A
23,0.143438,0.148043,N/A
24,0.142636,0.142646,N/A
25,0.141700,0.142086,1.539259
26,0.140489,0.141085,N/A
27,0.139960,0.140131,N/A
28,0.139299,0.137348,N/A
29,0.138209,0.137985,N/A
30,0.137614,0.135497,1.511131
31,0.136926,0.137244,N/A
32,0.136424,0.136588,N/A
33,0.135657,0.137511,N/A
34,0.135286,0.136465,N/A
35,0.134744,0.133700,1.505151
36,0.134350,0.133260,N/A
37,0.133665,0.136269,N/A
38,0.133151,0.134592,N/A
39,0.132744,0.133316,N/A
40,0.132425,0.133742,1.492145
41,0.131960,0.132362,N/A
42,0.131447,0.130861,N/A
43,0.131225,0.131770,N/A
44,0.130958,0.133800,N/A
45,0.130270,0.131186,1.493348
46,0.130094,0.132278,N/A
47,0.129978,0.128499,N/A
48,0.129381,0.130742,N/A
49,0.129230,0.129967,N/A
50,0.128955,0.129710,1.474231
51,0.128603,0.130423,N/A
52,0.128370,0.130696,N/A
53,0.128114,0.128701,N/A
54,0.127951,0.129237,N/A
55,0.127926,0.129537,1.463750
56,0.127546,0.128902,N/A
57,0.127215,0.127794,N/A
58,0.127015,0.126795,N/A
59,0.126753,0.129886,N/A
60,0.126273,0.128399,1.464812
61,0.126207,0.128051,N/A
62,0.125984,0.128005,N/A
63,0.125840,0.128850,N/A
64,0.125433,0.126645,N/A
65,0.125258,0.127428,1.453251
66,0.125151,0.126933,N/A
67,0.124969,0.127065,N/A
68,0.125067,0.125756,N/A
69,0.124607,0.125914,N/A
70,0.124413,0.124999,1.446807
71,0.124516,0.127681,N/A
72,0.123997,0.127222,N/A
73,0.124112,0.126975,N/A
74,0.123787,0.126352,N/A
75,0.123581,0.124636,1.449149
76,0.123398,0.124346,N/A
77,0.123406,0.126714,N/A
78,0.123084,0.121527,N/A
79,0.122954,0.124177,N/A
80,0.122759,0.125635,1.439737
81,0.122765,0.125026,N/A
82,0.122502,0.125444,N/A
83,0.122205,0.125327,N/A
84,0.122257,0.125183,N/A
85,0.121971,0.125401,1.417459
86,0.121942,0.124703,N/A
87,0.121747,0.125034,N/A
88,0.121537,0.125552,N/A
89,0.121527,0.125872,N/A
90,0.121290,0.123892,1.431049
91,0.121082,0.123971,N/A
92,0.120920,0.126639,N/A
93,0.120715,0.124285,N/A
94,0.120898,0.123808,N/A
95,0.120684,0.123971,1.426269
96,0.120522,0.124690,N/A
97,0.120384,0.123445,N/A
98,0.120139,0.123171,N/A
99,0.120128,0.122934,N/A
100,0.120037,0.124007,1.404631
