Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,0.463976,0.295251,N/A
2,0.246615,0.218147,N/A
3,0.207713,0.198187,N/A
4,0.195765,0.189560,N/A
5,0.190520,0.188731,1.153482
6,0.187873,0.187714,N/A
7,0.186104,0.187659,N/A
8,0.185171,0.186149,N/A
9,0.184243,0.185719,N/A
10,0.183425,0.184758,1.150207
11,0.182847,0.182181,N/A
12,0.182633,0.183009,N/A
13,0.182228,0.182774,N/A
14,0.181708,0.182736,N/A
15,0.181441,0.184447,1.143827
16,0.181478,0.183366,N/A
17,0.181294,0.180587,N/A
18,0.180904,0.183008,N/A
19,0.180655,0.180392,N/A
20,0.180377,0.182464,1.143638
21,0.179901,0.182532,N/A
22,0.179334,0.182059,N/A
23,0.178769,0.180403,N/A
24,0.178085,0.179813,N/A
25,0.177398,0.178616,1.131985
26,0.176905,0.179607,N/A
27,0.175969,0.177950,N/A
28,0.175456,0.177573,N/A
29,0.174665,0.176380,N/A
30,0.173828,0.176438,1.118751
31,0.172915,0.176211,N/A
32,0.172758,0.174883,N/A
33,0.171775,0.175771,N/A
34,0.171210,0.175933,N/A
35,0.170558,0.172728,1.105586
36,0.169694,0.173425,N/A
37,0.169210,0.174178,N/A
38,0.168706,0.172790,N/A
39,0.167908,0.173189,N/A
40,0.167638,0.172748,1.096592
41,0.166984,0.172521,N/A
42,0.166372,0.173514,N/A
43,0.166094,0.173013,N/A
44,0.165631,0.172575,N/A
45,0.164687,0.169796,1.086809
46,0.164310,0.172136,N/A
47,0.163985,0.172422,N/A
48,0.163526,0.171916,N/A
49,0.162934,0.174554,N/A
50,0.162534,0.171852,1.079679
