Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,0.626202,0.204500,0.948149,N/A
2,0.197355,0.191234,0.950989,N/A
3,0.190542,0.185981,0.952364,N/A
4,0.182177,0.174230,0.955543,N/A
5,0.167747,0.158448,0.959581,N/A
6,0.153700,0.145662,0.962900,N/A
7,0.142713,0.136281,0.965311,N/A
8,0.135731,0.130632,0.966801,N/A
9,0.128505,0.125144,0.968191,N/A
10,0.125856,0.121086,0.969207,N/A
11,0.120677,0.117022,0.970255,N/A
12,0.118722,0.114708,0.970838,N/A
13,0.116186,0.113013,0.971275,N/A
14,0.114766,0.111626,0.971631,N/A
15,0.113373,0.110228,0.971984,N/A
16,0.112284,0.109987,0.972155,N/A
17,0.110785,0.107396,0.972713,N/A
18,0.110227,0.107307,0.972724,N/A
19,0.109243,0.106293,0.972994,N/A
20,0.108815,0.105694,0.973150,N/A
21,0.108263,0.104739,0.973397,N/A
22,0.107915,0.104401,0.973473,N/A
23,0.107368,0.103995,0.973581,N/A
24,0.107145,0.104619,0.973412,N/A
25,0.106502,0.104075,0.973554,0.119001
26,0.106396,0.104581,0.973427,N/A
27,0.105714,0.102827,0.973873,N/A
28,0.105703,0.102399,0.973991,N/A
29,0.105275,0.102223,0.974031,N/A
30,0.105109,0.102713,0.973893,N/A
31,0.104916,0.102193,0.974043,N/A
32,0.104585,0.101908,0.974123,N/A
33,0.104641,0.102893,0.973888,N/A
34,0.104101,0.101769,0.974141,N/A
35,0.104065,0.101495,0.974203,N/A
36,0.103952,0.101389,0.974243,N/A
37,0.103748,0.101762,0.974142,N/A
38,0.103526,0.101590,0.974200,N/A
39,0.103372,0.100893,0.974366,N/A
40,0.103204,0.101394,0.974229,N/A
41,0.103079,0.100813,0.974382,N/A
42,0.103024,0.101483,0.974349,N/A
43,0.102745,0.100286,0.974516,N/A
44,0.102505,0.100406,0.974495,N/A
45,0.102372,0.099903,0.974614,N/A
46,0.102084,0.098676,0.974932,N/A
